x,y
"2015/01/02",24.697
"2015/01/05",24.001
"2015/01/06",24.003
"2015/01/07",24.34
"2015/01/08",25.275
"2015/01/09",25.302
"2015/01/12",24.679
"2015/01/13",24.898
"2015/01/14",24.803
"2015/01/15",24.13
"2015/01/16",23.942
"2015/01/20",24.559
"2015/01/21",24.747
"2015/01/22",25.39
"2015/01/23",25.521
"2015/01/26",25.548
"2015/01/27",24.654
"2015/01/28",26.048
"2015/01/29",26.859
"2015/01/30",26.466
"2015/02/02",26.798
"2015/02/03",26.802
"2015/02/04",27.008
"2015/02/05",27.2
"2015/02/06",26.971
"2015/02/09",27.151
"2015/02/10",27.672
"2015/02/11",28.321
"2015/02/12",28.679
"2015/02/13",28.82
"2015/02/17",28.99
"2015/02/18",29.192
"2015/02/19",29.13
"2015/02/20",29.368
"2015/02/23",30.162
"2015/02/24",29.974
"2015/02/25",29.207
"2015/02/26",29.577
"2015/02/27",29.133
"2015/03/02",29.275
"2015/03/03",29.337
"2015/03/04",29.151
"2015/03/05",28.668
"2015/03/06",28.711
"2015/03/09",28.833
"2015/03/10",28.237
"2015/03/11",27.722
"2015/03/12",28.223
"2015/03/13",28.028
"2015/03/16",28.337
"2015/03/17",28.811
"2015/03/18",29.135
"2015/03/19",28.915
"2015/03/20",28.552
"2015/03/23",28.849
"2015/03/24",28.731
"2015/03/25",27.981
"2015/03/26",28.176
"2015/03/27",27.951
"2015/03/30",28.659
"2015/03/31",28.219
"2015/04/01",28.178
"2015/04/02",28.421
"2015/04/06",28.881
"2015/04/07",28.577
"2015/04/08",28.484
"2015/04/09",28.702
"2015/04/10",28.824
"2015/04/13",28.767
"2015/04/14",28.643
"2015/04/15",28.752
"2015/04/16",28.613
"2015/04/17",28.291
"2015/04/20",28.938
"2015/04/21",28.781
"2015/04/22",29.169
"2015/04/23",29.407
"2015/04/24",29.545
"2015/04/27",30.083
"2015/04/28",29.609
"2015/04/29",29.173
"2015/04/30",28.382
"2015/05/01",29.244
"2015/05/04",29.187
"2015/05/05",28.529
"2015/05/06",28.35
"2015/05/07",28.526
"2015/05/08",29.063
"2015/05/11",28.767
"2015/05/12",28.664
"2015/05/13",28.696
"2015/05/14",29.366
"2015/05/15",29.325
"2015/05/18",29.648
"2015/05/19",29.621
"2015/05/20",29.619
"2015/05/21",29.922
"2015/05/22",30.183
"2015/05/26",29.518
"2015/05/27",30.07
"2015/05/28",30.01
"2015/05/29",29.669
"2015/06/01",29.728
"2015/06/02",29.596
"2015/06/03",29.632
"2015/06/04",29.459
"2015/06/05",29.298
"2015/06/08",29.104
"2015/06/09",29.017
"2015/06/10",29.35
"2015/06/11",29.284
"2015/06/12",28.961
"2015/06/15",28.904
"2015/06/16",29.058
"2015/06/17",28.99
"2015/06/18",29.122
"2015/06/19",28.831
"2015/06/22",29.061
"2015/06/23",28.929
"2015/06/24",29.175
"2015/06/25",29.036
"2015/06/26",28.865
"2015/06/29",28.359
"2015/06/30",28.564
"2015/07/01",28.831
"2015/07/02",28.794
"2015/07/06",28.694
"2015/07/07",28.624
"2015/07/08",27.913
"2015/07/09",27.344
"2015/07/10",28.075
"2015/07/13",28.617
"2015/07/14",28.605
"2015/07/15",28.881
"2015/07/16",29.266
"2015/07/17",29.518
"2015/07/20",30.076
"2015/07/21",29.776
"2015/07/22",28.516
"2015/07/23",28.503
"2015/07/24",28.352
"2015/07/27",27.959
"2015/07/28",28.097
"2015/07/29",28.009
"2015/07/30",27.867
"2015/07/31",27.624
"2015/08/03",26.972
"2015/08/04",26.107
"2015/08/05",26.28
"2015/08/06",26.337
"2015/08/07",26.427
"2015/08/10",27.387
"2015/08/11",25.962
"2015/08/12",26.363
"2015/08/13",26.342
"2015/08/14",26.527
"2015/08/17",26.802
"2015/08/18",26.651
"2015/08/19",26.31
"2015/08/20",25.77
"2015/08/21",24.194
"2015/08/24",23.59
"2015/08/25",23.732
"2015/08/26",25.093
"2015/08/27",25.832
"2015/08/28",25.916
"2015/08/31",25.795
"2015/09/01",24.642
"2015/09/02",25.699
"2015/09/03",25.248
"2015/09/04",24.997
"2015/09/08",25.692
"2015/09/09",25.198
"2015/09/10",25.752
"2015/09/11",26.127
"2015/09/14",26.379
"2015/09/15",26.6
"2015/09/16",26.63
"2015/09/17",26.061
"2015/09/18",25.953
"2015/09/21",26.356
"2015/09/22",25.942
"2015/09/23",26.152
"2015/09/24",26.308
"2015/09/25",26.241
"2015/09/28",25.722
"2015/09/29",24.949
"2015/09/30",25.232
"2015/10/01",25.068
"2015/10/02",25.251
"2015/10/05",25.342
"2015/10/06",25.464
"2015/10/07",25.342
"2015/10/08",25.049
"2015/10/09",25.649
"2015/10/12",25.53
"2015/10/13",25.573
"2015/10/14",25.212
"2015/10/15",25.589
"2015/10/16",25.402
"2015/10/19",25.56
"2015/10/20",26.026
"2015/10/21",26.024
"2015/10/22",26.422
"2015/10/23",27.241
"2015/10/26",26.372
"2015/10/27",26.205
"2015/10/28",27.284
"2015/10/29",27.573
"2015/10/30",27.337
"2015/11/02",27.721
"2015/11/03",28.039
"2015/11/04",27.909
"2015/11/05",27.78
"2015/11/06",27.812
"2015/11/09",27.7
"2015/11/10",26.827
"2015/11/11",26.675
"2015/11/12",26.586
"2015/11/13",25.809
"2015/11/16",26.232
"2015/11/17",26.119
"2015/11/18",26.946
"2015/11/19",27.289
"2015/11/20",27.408
"2015/11/23",27.052
"2015/11/24",27.312
"2015/11/25",27.116
"2015/11/27",27.066
"2015/11/30",27.178
"2015/12/01",26.958
"2015/12/02",26.714
"2015/12/03",26.466
"2015/12/04",27.346
"2015/12/07",27.174
"2015/12/08",27.162
"2015/12/09",26.563
"2015/12/10",26.689
"2015/12/11",26.002
"2015/12/14",25.841
"2015/12/15",25.384
"2015/12/16",25.579
"2015/12/17",25.037
"2015/12/18",24.36
"2015/12/21",24.658
"2015/12/22",24.635
"2015/12/23",24.952
"2015/12/24",24.819
"2015/12/28",24.541
"2015/12/29",24.982
"2015/12/30",24.656
"2015/12/31",24.183
