x,y
"2009/01/02",26.274
"2009/01/05",26.391
"2009/01/06",26.063
"2009/01/07",26.36
"2009/01/08",26.095
"2009/01/09",26.321
"2009/01/12",25.775
"2009/01/13",26.586
"2009/01/14",25.314
"2009/01/15",25.478
"2009/01/16",25.502
"2009/01/20",24.877
"2009/01/21",25.736
"2009/01/22",24.706
"2009/01/23",24.487
"2009/01/26",24.986
"2009/01/27",25.267
"2009/01/28",25.884
"2009/01/29",25.104
"2009/01/30",24.628
"2009/02/02",24.823
"2009/02/03",25.658
"2009/02/04",25.837
"2009/02/05",25.447
"2009/02/06",25.845
"2009/02/09",25.751
"2009/02/10",24.979
"2009/02/11",24.885
"2009/02/12",24.55
"2009/02/13",24.152
"2009/02/17",23.668
"2009/02/18",24.198
"2009/02/19",24.042
"2009/02/20",23.395
"2009/02/23",22.544
"2009/02/24",22.856
"2009/02/25",23.129
"2009/02/26",22.614
"2009/02/27",22.778
"2009/03/02",21.725
"2009/03/03",21.694
"2009/03/04",21.99
"2009/03/05",21.631
"2009/03/06",21.85
"2009/03/09",21.139
"2009/03/10",22.052
"2009/03/11",22.567
"2009/03/12",23.449
"2009/03/13",23.504
"2009/03/16",23.395
"2009/03/17",23.785
"2009/03/18",24.152
"2009/03/19",23.824
"2009/03/20",23.566
"2009/03/23",24.752
"2009/03/24",24.362
"2009/03/25",24.667
"2009/03/26",24.94
"2009/03/27",21.584
"2009/03/30",21.717
"2009/03/31",21.452
"2009/04/01",21.576
"2009/04/02",21.631
"2009/04/03",21.881
"2009/04/06",22.029
"2009/04/07",21.53
"2009/04/08",21.413
"2009/04/09",21.623
"2009/04/13",21.772
"2009/04/14",21.694
"2009/04/15",21.374
"2009/04/16",21.459
"2009/04/17",21.163
"2009/04/20",21.077
"2009/04/21",20.812
"2009/04/22",20.905
"2009/04/23",21.514
"2009/04/24",22.841
"2009/04/27",22.646
"2009/04/28",22.56
"2009/04/29",23.075
"2009/04/30",22.965
"2009/05/01",23.301
"2009/05/04",23.8
"2009/05/05",23.738
"2009/05/06",23.527
"2009/05/07",23.457
"2009/05/08",22.942
"2009/05/11",22.997
"2009/05/12",22.88
"2009/05/13",22.489
"2009/05/14",22.607
"2009/05/15",22.497
"2009/05/18",23.48
"2009/05/19",23.41
"2009/05/20",23.676
"2009/05/21",23.317
"2009/05/22",23.66
"2009/05/26",24.113
"2009/05/27",23.746
"2009/05/28",23.41
"2009/05/29",23.356
"2009/06/01",24.425
"2009/06/02",24.362
"2009/06/03",23.699
"2009/06/04",23.566
"2009/06/05",23.832
"2009/06/08",23.184
"2009/06/09",23.629
"2009/06/10",23.917
"2009/06/11",24.464
"2009/06/12",24.557
"2009/06/15",24.752
"2009/06/16",24.573
"2009/06/17",25.236
"2009/06/18",24.986
"2009/06/19",24.768
"2009/06/22",24.284
"2009/06/23",24.323
"2009/06/24",24.526
"2009/06/25",24.69
"2009/06/26",26.313
"2009/06/29",26.087
"2009/06/30",26.11
"2009/07/01",26.329
"2009/07/02",25.86
"2009/07/06",25.853
"2009/07/07",25.416
"2009/07/08",25.478
"2009/07/09",25.275
"2009/07/10",25.517
"2009/07/13",26.032
"2009/07/14",26.305
"2009/07/15",26.563
"2009/07/16",26.82
"2009/07/17",26.867
"2009/07/20",26.789
"2009/07/21",26.727
"2009/07/22",26.375
"2009/07/23",27.405
"2009/07/24",27.671
"2009/07/27",27.398
"2009/07/28",27.523
"2009/07/29",27.281
"2009/07/30",27.405
"2009/07/31",27.366
"2009/08/03",28.077
"2009/08/04",27.827
"2009/08/05",27.608
"2009/08/06",27.429
