x,y
"2011/01/03",31.291
"2011/01/04",31.511
"2011/01/05",32.221
"2011/01/06",32.271
"2011/01/07",32.041
"2011/01/10",32.96
"2011/01/11",32.98
"2011/01/12",33.57
"2011/01/13",33.381
"2011/01/14",33.791
"2011/01/18",34.181
"2011/01/19",33.91
"2011/01/20",33.491
"2011/01/21",33.271
"2011/01/24",34.03
"2011/01/25",33.561
"2011/01/26",33.521
"2011/01/27",33.85
"2011/01/28",32.491
"2011/01/31",33.05
"2011/02/01",33.51
"2011/02/02",33.431
"2011/02/03",33.53
"2011/02/04",33.361
"2011/02/07",33.561
"2011/02/08",33.57
"2011/02/09",33.01
"2011/02/10",33.57
"2011/02/11",33.67
"2011/02/14",33.861
"2011/02/15",33.94
"2011/02/16",34.69
"2011/02/17",34.98
"2011/02/18",35.39
"2011/02/22",33.741
"2011/02/23",33.381
"2011/02/24",33.451
"2011/02/25",34.631
"2011/02/28",34.5
"2011/03/01",33.971
"2011/03/02",34.48
"2011/03/03",35.05
"2011/03/04",35.271
"2011/03/07",34.721
"2011/03/08",35.291
"2011/03/09",35.131
"2011/03/10",34.861
"2011/03/11",34.611
"2011/03/14",34.081
"2011/03/15",33.041
"2011/03/16",32.091
"2011/03/17",31.841
"2011/03/18",31.99
"2011/03/21",32.341
"2011/03/22",32.881
"2011/03/23",31.681
"2011/03/24",32.591
"2011/03/25",32.64
"2011/03/28",32.431
"2011/03/29",32.62
"2011/03/30",32.951
"2011/03/31",33.16
"2011/04/01",34.16
"2011/04/04",34.37
"2011/04/05",34.181
"2011/04/06",34.241
"2011/04/07",34.48
"2011/04/08",34.151
"2011/04/11",34.381
"2011/04/12",34.091
"2011/04/13",34.21
"2011/04/14",34.331
"2011/04/15",34.51
"2011/04/18",33.85
"2011/04/19",33.651
"2011/04/20",33.69
"2011/04/21",33.48
"2011/04/25",33.23
"2011/04/26",33.131
"2011/04/27",33.651
"2011/04/28",34.021
"2011/04/29",33.55
"2011/05/02",33.55
"2011/05/03",33.491
"2011/05/04",33.221
"2011/05/05",32.94
"2011/05/06",33.401
"2011/05/09",33.971
"2011/05/10",34.75
"2011/05/11",35.401
"2011/05/12",35.861
"2011/05/13",35.331
"2011/05/16",34.39
"2011/05/17",34.721
"2011/05/18",34.87
"2011/05/19",35.41
"2011/05/20",35.311
"2011/05/23",34.431
"2011/05/24",34.14
"2011/05/25",34.131
"2011/05/26",34.541
"2011/05/27",34.291
"2011/05/31",34.631
"2011/06/01",34.12
"2011/06/02",34.26
"2011/06/03",33.271
"2011/06/06",32.841
"2011/06/07",33.01
"2011/06/08",32.241
"2011/06/09",32.221
"2011/06/10",31.671
"2011/06/13",31.66
"2011/06/14",32.091
"2011/06/15",31.13
"2011/06/16",30.8
"2011/06/17",30.47
"2011/06/20",30.951
"2011/06/21",32.01
"2011/06/22",30.011
"2011/06/23",30.441
"2011/06/24",29.97
"2011/06/27",30.89
"2011/06/28",30.791
"2011/06/29",31.15
"2011/06/30",31.451
"2011/07/01",31.531
"2011/07/05",31.521
"2011/07/06",31.65
"2011/07/07",32.07
"2011/07/08",31.541
"2011/07/11",30.98
"2011/07/12",30.351
"2011/07/13",30.07
"2011/07/14",29.351
"2011/07/15",29.291
"2011/07/18",28.771
"2011/07/19",29.4
"2011/07/20",29.16
"2011/07/21",29.56
"2011/07/22",29.72
"2011/07/25",29.65
"2011/07/26",29.63
"2011/07/27",28.5
"2011/07/28",28.021
"2011/07/29",27.71
"2011/08/01",27.671
"2011/08/02",27.031
"2011/08/03",27.371
"2011/08/04",26.15
"2011/08/05",25.621
"2011/08/08",23.91
"2011/08/09",24.81
"2011/08/10",22.8
"2011/08/11",24
"2011/08/12",24.101
"2011/08/15",24.65
"2011/08/16",24.63
"2011/08/17",24.56
"2011/08/18",23.281
"2011/08/19",22.691
"2011/08/22",23.171
"2011/08/23",23.781
"2011/08/24",24.101
"2011/08/25",23.871
"2011/08/26",24.541
"2011/08/29",25.521
"2011/08/30",25.191
"2011/08/31",25.24
"2011/09/01",24.771
"2011/09/02",24.15
"2011/09/06",23.74
"2011/09/07",25.3
"2011/09/08",24.99
"2011/09/09",24.64
"2011/09/12",25.201
"2011/09/13",25.181
"2011/09/14",25.761
"2011/09/15",26.121
"2011/09/16",25.521
"2011/09/19",25.271
"2011/09/20",24.64
"2011/09/21",24.89
"2011/09/22",24.31
"2011/09/23",24.88
"2011/09/26",25.13
"2011/09/27",25.56
"2011/09/28",25.111
"2011/09/29",24.99
"2011/09/30",24.171
"2011/10/03",23.261
"2011/10/04",24.041
"2011/10/05",24.681
"2011/10/06",25.33
"2011/10/07",25.281
"2011/10/10",25.761
"2011/10/11",25.841
"2011/10/12",25.88
"2011/10/13",25.8
"2011/10/14",26.81
"2011/10/17",26.24
"2011/10/18",26.761
"2011/10/19",26.021
"2011/10/20",26.08
"2011/10/21",27.3
"2011/10/24",28.201
"2011/10/25",27.851
"2011/10/26",27.81
"2011/10/27",28.341
"2011/10/28",29.021
"2011/10/31",29.41
"2011/11/01",28.591
"2011/11/02",29.351
"2011/11/03",30.16
"2011/11/04",29.791
"2011/11/07",29.921
"2011/11/08",30.421
"2011/11/09",28.08
"2011/11/10",28.031
"2011/11/11",28.431
"2011/11/14",28.24
"2011/11/15",28.47
"2011/11/16",28.541
"2011/11/17",27.691
"2011/11/18",27.181
"2011/11/21",26.63
"2011/11/22",26.33
"2011/11/23",25.941
"2011/11/25",25.83
"2011/11/28",26.621
"2011/11/29",26.07
"2011/11/30",27.421
"2011/12/01",27.14
"2011/12/02",27.111
"2011/12/05",27.91
"2011/12/06",27.96
"2011/12/07",27.861
"2011/12/08",27.38
"2011/12/09",28.041
"2011/12/12",27.39
"2011/12/13",26.99
"2011/12/14",26.521
"2011/12/15",26.46
"2011/12/16",28.201
"2011/12/19",27.511
"2011/12/20",28.441
"2011/12/21",27.97
"2011/12/22",27.89
"2011/12/23",28.291
"2011/12/27",28.5
"2011/12/28",28.021
"2011/12/29",28.31
"2011/12/30",28.271
