x,y
"2013/01/02",36.355
"2013/01/03",35.768
"2013/01/04",35.132
"2013/01/07",35.239
"2013/01/08",34.876
"2013/01/09",34.785
"2013/01/10",35.206
"2013/01/11",34.917
"2013/01/14",34.901
"2013/01/15",34.719
"2013/01/16",34.768
"2013/01/17",35.578
"2013/01/18",35.578
"2013/01/22",35.652
"2013/01/23",35.818
"2013/01/24",35.884
"2013/01/25",36.19
"2013/01/28",36.38
"2013/01/29",36.479
"2013/01/30",36.495
"2013/01/31",36.057
"2013/02/01",36.908
"2013/02/04",36.396
"2013/02/05",36.917
"2013/02/06",36.966
"2013/02/07",36.677
"2013/02/08",37.759
"2013/02/11",38.073
"2013/02/12",38.23
"2013/02/13",38.222
"2013/02/14",38.453
"2013/02/15",38.156
"2013/02/19",38.842
"2013/02/20",37.834
"2013/02/21",37.28
"2013/02/22",37.611
"2013/02/25",36.991
"2013/02/26",37.181
"2013/02/27",37.78
"2013/02/28",37.647
"2013/03/01",37.656
"2013/03/04",37.714
"2013/03/05",38.105
"2013/03/06",38.396
"2013/03/07",38.055
"2013/03/08",38.338
"2013/03/11",38.663
"2013/03/12",38.696
"2013/03/13",38.696
"2013/03/14",38.721
"2013/03/15",37.905
"2013/03/18",37.339
"2013/03/19",37.389
"2013/03/20",38.014
"2013/03/21",37.089
"2013/03/22",37.381
"2013/03/25",37.164
"2013/03/26",38.088
"2013/03/27",38.088
"2013/03/28",38.705
"2013/04/01",37.805
"2013/04/02",37.631
"2013/04/03",36.681
"2013/04/04",36.415
"2013/04/05",36.307
"2013/04/08",36.632
"2013/04/09",36.69
"2013/04/10",37.547
"2013/04/11",37.381
"2013/04/12",37.123
"2013/04/15",36.498
"2013/04/16",37.248
"2013/04/17",35.674
"2013/04/18",35.25
"2013/04/19",35.266
"2013/04/22",35.516
"2013/04/23",36.157
"2013/04/24",36.182
"2013/04/25",36.34
"2013/04/26",36.049
"2013/04/29",36.348
"2013/04/30",36.623
"2013/05/01",36.532
"2013/05/02",36.806
"2013/05/03",37.464
"2013/05/06",38.147
"2013/05/07",38.113
"2013/05/08",38.363
"2013/05/09",38.613
"2013/05/10",38.954
"2013/05/13",38.505
"2013/05/14",38.58
"2013/05/15",38.871
"2013/05/16",38.713
"2013/05/17",39.146
"2013/05/20",39.021
"2013/05/21",38.763
"2013/05/22",37.922
"2013/05/23",37.872
"2013/05/24",37.772
"2013/05/28",37.864
"2013/05/29",38.266
"2013/05/30",38.786
"2013/05/31",38.526
"2013/06/03",38.434
"2013/06/04",38.694
"2013/06/05",38.073
"2013/06/06",38.14
"2013/06/07",38.761
"2013/06/10",38.543
"2013/06/11",37.763
"2013/06/12",37.033
"2013/06/13",37.83
"2013/06/14",37.704
"2013/06/17",38.543
"2013/06/18",39.139
"2013/06/19",38.619
"2013/06/20",37.469
"2013/06/21",37.88
"2013/06/24",36.933
"2013/06/25",37.344
"2013/06/26",37.805
"2013/06/27",38.057
"2013/06/28",37.797
"2013/07/01",38.057
"2013/07/02",38.006
"2013/07/03",38.317
"2013/07/05",38.761
"2013/07/08",38.384
"2013/07/09",38.803
"2013/07/10",39.197
"2013/07/11",40.263
"2013/07/12",40.556
"2013/07/15",40.598
"2013/07/16",40.699
"2013/07/17",40.816
"2013/07/18",40.548
"2013/07/19",40.246
"2013/07/22",40.212
"2013/07/23",40.581
"2013/07/24",40.456
"2013/07/25",40.892
"2013/07/26",40.732
"2013/07/29",40.682
"2013/07/30",41.043
"2013/07/31",41.42
"2013/08/01",41.89
"2013/08/02",41.831
"2013/08/05",41.588
"2013/08/06",41.454
"2013/08/07",41.227
"2013/08/08",41.185
"2013/08/09",41.101
"2013/08/12",41.445
"2013/08/13",41.588
"2013/08/14",41.001
"2013/08/15",40.12
"2013/08/16",40.514
"2013/08/19",40.078
"2013/08/20",40.137
"2013/08/21",39.382
"2013/08/22",39.625
"2013/08/23",39.701
"2013/08/26",39.608
"2013/08/27",38.719
"2013/08/28",39.015
"2013/08/29",39.285
"2013/08/30",39.108
"2013/09/03",39.429
"2013/09/04",40.097
"2013/09/05",39.961
"2013/09/06",39.75
"2013/09/09",39.97
"2013/09/10",40.46
"2013/09/11",40.764
"2013/09/12",40.528
"2013/09/13",40.519
"2013/09/16",40.815
"2013/09/17",40.975
"2013/09/18",40.984
"2013/09/19",40.882
"2013/09/20",40.553
"2013/09/23",40.19
"2013/09/24",40.342
"2013/09/25",40.206
"2013/09/26",40.097
"2013/09/27",39.623
"2013/09/30",39.759
"2013/10/01",39.809
"2013/10/02",39.547
"2013/10/03",39.142
"2013/10/04",39.708
"2013/10/07",39.412
"2013/10/08",38.618
"2013/10/09",38.609
"2013/10/10",39.421
"2013/10/11",39.699
"2013/10/14",39.944
"2013/10/15",39.488
"2013/10/16",39.919
"2013/10/17",40.156
"2013/10/18",40.274
"2013/10/21",40.35
"2013/10/22",40.257
"2013/10/23",39.277
"2013/10/24",39.674
"2013/10/25",39.505
"2013/10/28",40.122
"2013/10/29",41.55
"2013/10/30",41.22
"2013/10/31",41.66
"2013/11/01",41.981
"2013/11/04",41.542
"2013/11/05",42.074
"2013/11/06",42.192
"2013/11/07",41.525
"2013/11/08",42.082
"2013/11/11",41.964
"2013/11/12",42.125
"2013/11/13",42.547
"2013/11/14",42.556
"2013/11/15",42.834
"2013/11/18",42.344
"2013/11/19",41.787
"2013/11/20",41.474
"2013/11/21",42.057
"2013/11/22",42.049
"2013/11/25",41.964
"2013/11/26",42.184
"2013/11/27",41.018
"2013/11/29",40.747
"2013/12/02",40.899
"2013/12/03",41.88
"2013/12/04",41.497
"2013/12/05",41.539
"2013/12/06",41.922
"2013/12/09",41.701
"2013/12/10",41.616
"2013/12/11",41.412
"2013/12/12",40.935
"2013/12/13",41.19
"2013/12/16",41.471
"2013/12/17",41.641
"2013/12/18",42.356
"2013/12/19",42.254
