x,y
"2014/01/02",49.25
"2014/01/03",48.901
"2014/01/06",48.55
"2014/01/07",49.681
"2014/01/08",50.241
"2014/01/09",51.081
"2014/01/10",51.471
"2014/01/13",51.57
"2014/01/14",52.64
"2014/01/15",53.291
"2014/01/16",53.6
"2014/01/17",53.241
"2014/01/21",53.3
"2014/01/22",52.37
"2014/01/23",51.861
"2014/01/24",50.44
"2014/01/27",50.591
"2014/01/28",51.241
"2014/01/29",49.651
"2014/01/30",51.521
"2014/01/31",51.25
"2014/02/03",49.331
"2014/02/04",50.12
"2014/02/05",49.96
"2014/02/06",50.96
"2014/02/07",51.991
"2014/02/10",52.28
"2014/02/11",52.92
"2014/02/12",53.771
"2014/02/13",54.131
"2014/02/14",54.17
"2014/02/18",54.521
"2014/02/19",54.471
"2014/02/20",54.901
"2014/02/21",55.401
"2014/02/24",54.471
"2014/02/25",54.66
"2014/02/26",54.721
"2014/02/27",54.28
"2014/02/28",52.48
"2014/03/03",51.67
"2014/03/04",53.5
"2014/03/05",53.44
"2014/03/06",53.741
"2014/03/07",53.611
"2014/03/10",52.591
"2014/03/11",52.811
"2014/03/12",52.341
"2014/03/13",50.471
"2014/03/14",50.471
"2014/03/17",51.28
"2014/03/18",52.431
"2014/03/19",51.05
"2014/03/20",51.611
"2014/03/21",50.041
"2014/03/24",49.741
"2014/03/25",49.78
"2014/03/26",48.681
"2014/03/27",48.28
"2014/03/28",48.341
"2014/03/31",49.181
"2014/04/01",50.07
"2014/04/02",49.581
"2014/04/03",48.311
"2014/04/04",47.32
"2014/04/07",46.591
"2014/04/08",47.151
"2014/04/09",48.491
"2014/04/10",45.971
"2014/04/11",45.19
"2014/04/14",45.831
"2014/04/15",46.82
"2014/04/16",47.55
"2014/04/17",48.491
"2014/04/21",48.401
"2014/04/22",49.01
"2014/04/23",48.23
"2014/04/24",47.721
"2014/04/25",47
"2014/04/28",46.62
"2014/04/29",47.57
"2014/04/30",48.021
"2014/05/01",48.42
"2014/05/02",47.681
"2014/05/05",47.521
"2014/05/06",47.03
"2014/05/07",46.76
"2014/05/08",46.82
"2014/05/09",46.85
"2014/05/12",48.611
"2014/05/13",48.32
"2014/05/14",48.07
"2014/05/15",47.82
"2014/05/16",51.67
"2014/05/19",51.55
"2014/05/20",51.07
"2014/05/21",50.931
"2014/05/22",51.51
"2014/05/23",52
"2014/05/27",52.471
"2014/05/28",51.721
"2014/05/29",52.69
"2014/05/30",52.37
"2014/06/02",52.521
"2014/06/03",53.151
"2014/06/04",53.03
"2014/06/05",53.721
"2014/06/06",54.87
"2014/06/09",54.51
"2014/06/10",54.081
"2014/06/11",54.091
"2014/06/12",53.85
"2014/06/13",54.25
"2014/06/16",54.581
"2014/06/17",54.631
"2014/06/18",56.96
"2014/06/19",56.311
"2014/06/20",56.19
"2014/06/23",56.17
"2014/06/24",55.8
"2014/06/25",55.62
"2014/06/26",56.25
"2014/06/27",56.401
"2014/06/30",56.381
"2014/07/01",57.131
"2014/07/02",56.831
"2014/07/03",56.881
"2014/07/07",55.931
"2014/07/08",55.64
"2014/07/09",55.631
"2014/07/10",55.44
"2014/07/11",55.57
"2014/07/14",56.041
"2014/07/15",55.48
"2014/07/16",55.42
"2014/07/17",55.42
"2014/07/18",57.361
"2014/07/21",56.201
"2014/07/22",56.39
"2014/07/23",55.881
"2014/07/24",56
"2014/07/25",55.23
"2014/07/28",55.19
"2014/07/29",55.471
"2014/07/30",55.611
"2014/07/31",53.35
"2014/08/01",53.341
"2014/08/04",54.151
"2014/08/05",54.151
"2014/08/06",54.23
"2014/08/07",53.631
"2014/08/08",53.91
"2014/08/11",54.341
"2014/08/12",54.62
"2014/08/13",55.791
"2014/08/14",56.28
"2014/08/15",52.66
"2014/08/18",53.791
"2014/08/19",53.75
"2014/08/20",53.591
"2014/08/21",53.78
"2014/08/22",53.46
"2014/08/25",53.541
"2014/08/26",54.241
"2014/08/27",53.78
"2014/08/28",54
"2014/08/29",53.64
"2014/09/02",53.46
"2014/09/03",54.361
"2014/09/04",54.181
"2014/09/05",54.181
"2014/09/08",54.37
"2014/09/09",53.64
"2014/09/10",53.37
"2014/09/11",54.131
"2014/09/12",53.541
"2014/09/15",53.73
"2014/09/16",54.75
"2014/09/17",54.89
"2014/09/18",55.73
"2014/09/19",55.611
"2014/09/22",54.881
"2014/09/23",54.951
"2014/09/24",55.66
"2014/09/25",54.431
"2014/09/26",54.28
"2014/09/29",55.041
"2014/09/30",55.1
"2014/10/01",55.66
"2014/10/02",57.741
"2014/10/03",58.12
"2014/10/06",58.181
"2014/10/07",56.591
"2014/10/08",57.081
"2014/10/09",56.07
"2014/10/10",53.721
"2014/10/13",51.94
"2014/10/14",50.131
"2014/10/15",50.521
"2014/10/16",49.89
"2014/10/17",50.791
"2014/10/20",51.82
"2014/10/21",52.8
"2014/10/22",52.25
"2014/10/23",53.55
"2014/10/24",54.451
"2014/10/27",54.771
"2014/10/28",56.1
"2014/10/29",55.96
"2014/10/30",57.37
"2014/10/31",57.541
"2014/11/03",57.771
"2014/11/04",58.241
"2014/11/05",58.32
"2014/11/06",59.201
"2014/11/07",59.42
