x,y
"2020/01/02",87.64
"2020/01/03",87.24
"2020/01/06",87.551
"2020/01/07",90.2
"2020/01/08",91.401
"2020/01/09",93.191
"2020/01/10",93.53
"2020/01/13",94.681
"2020/01/14",93.931
"2020/01/15",95.121
"2020/01/16",95.82
"2020/01/17",95.31
"2020/01/21",94.95
"2020/01/22",95.6
"2020/01/23",96.441
"2020/01/24",95.52
"2020/01/27",94.231
"2020/01/28",94.831
"2020/01/29",94.84
"2020/01/30",94.611
"2020/01/31",93.35
"2020/02/03",93.681
"2020/02/04",95.221
"2020/02/05",95.95
"2020/02/06",96.95
"2020/02/07",96.121
"2020/02/10",95.761
"2020/02/11",96.371
"2020/02/12",97.45
"2020/02/13",99.6
"2020/02/14",99.67
"2020/02/18",100.96
"2020/02/19",102.56
"2020/02/20",101.471
"2020/02/21",100.52
"2020/02/24",97.111
"2020/02/25",93.731
"2020/02/26",92.541
"2020/02/27",89.31
"2020/02/28",86.511
"2020/03/02",90.911
"2020/03/03",90.28
"2020/03/04",94.901
"2020/03/05",92.981
"2020/03/06",90.621
"2020/03/09",82.621
"2020/03/10",86.151
"2020/03/11",87.02
"2020/03/12",80.051
"2020/03/13",85.731
"2020/03/16",83.231
"2020/03/17",88.431
"2020/03/18",97.1
"2020/03/19",88.85
"2020/03/20",82.371
"2020/03/23",85.541
"2020/03/24",89.981
"2020/03/25",89.35
"2020/03/26",94.38
"2020/03/27",90.611
"2020/03/30",94.191
"2020/03/31",91.49
"2020/04/01",91.6
"2020/04/02",93.121
"2020/04/03",95.361
"2020/04/06",97.791
"2020/04/07",95.231
"2020/04/08",97.371
"2020/04/09",95.39
"2020/04/13",95.191
"2020/04/14",100.5
"2020/04/15",100.39
"2020/04/16",105.84
"2020/04/17",105.35
"2020/04/20",106.24
"2020/04/21",103.361
"2020/04/22",104.291
"2020/04/23",102.261
"2020/04/24",102.78
"2020/04/27",103.07
"2020/04/28",101.931
"2020/04/29",97.871
"2020/04/30",97.71
"2020/05/01",95.861
"2020/05/04",97.6
"2020/05/05",99.191
"2020/05/06",99.17
"2020/05/07",100.6
"2020/05/08",101.151
"2020/05/11",101.89
"2020/05/12",95.761
"2020/05/13",95.371
"2020/05/14",97.231
"2020/05/15",98.09
"2020/05/18",98.1
"2020/05/19",97.301
"2020/05/20",100.581
"2020/05/21",101
"2020/05/22",100.42
"2020/05/26",100.081
"2020/05/27",99.971
"2020/05/28",102.911
"2020/05/29",105.801
"2020/06/01",105.71
"2020/06/02",105.53
"2020/06/03",103.011
"2020/06/04",101.84
"2020/06/05",99
"2020/06/08",103.38
"2020/06/09",102.731
"2020/06/10",103.85
"2020/06/11",100.481
"2020/06/12",100.34
"2020/06/15",100.541
"2020/06/16",100.041
"2020/06/17",101.411
"2020/06/18",100.691
"2020/06/19",100.471
"2020/06/22",101.59
"2020/06/23",100.88
"2020/06/24",100.971
"2020/06/25",102.89
"2020/06/26",105.371
"2020/06/29",104.99
"2020/06/30",107.09
"2020/07/01",106.331
"2020/07/02",113.121
"2020/07/06",112.611
"2020/07/07",110.981
"2020/07/08",112.67
"2020/07/09",114.221
"2020/07/10",114.261
"2020/07/13",109.941
"2020/07/14",112.27
"2020/07/15",112.78
"2020/07/16",111.661
"2020/07/17",112.651
"2020/07/20",115.24
"2020/07/21",113.45
"2020/07/22",113.81
"2020/07/23",112.691
"2020/07/24",111.74
"2020/07/27",114.651
"2020/07/28",111.99
"2020/07/29",110.681
"2020/07/30",110.5
"2020/07/31",112.441
"2020/08/03",112.981
"2020/08/04",111.731
"2020/08/05",110.731
"2020/08/06",109.181
"2020/08/07",109.221
"2020/08/10",107.871
"2020/08/11",106.221
"2020/08/12",107
"2020/08/13",109.231
"2020/08/14",107.901
"2020/08/17",107.871
"2020/08/18",108.731
"2020/08/19",109.21
"2020/08/20",110.35
"2020/08/21",110.651
"2020/08/24",110.871
"2020/08/25",111
"2020/08/26",112.38
"2020/08/27",114.06
"2020/08/28",115.63
"2020/08/31",116.431
"2020/09/01",119.03
"2020/09/02",119.57
"2020/09/03",113.401
"2020/09/04",108.431
"2020/09/08",104.111
"2020/09/09",108.941
"2020/09/10",106.34
"2020/09/11",106.49
"2020/09/14",108.191
"2020/09/15",108.861
"2020/09/16",107.07
"2020/09/17",106.88
"2020/09/18",109.06
"2020/09/21",110.161
"2020/09/22",112.75
"2020/09/23",110.081
"2020/09/24",110.471
"2020/09/25",111.471
"2020/09/28",110.971
"2020/09/29",111.21
"2020/09/30",110.541
"2020/10/01",109.931
"2020/10/02",108.611
"2020/10/05",109.1
"2020/10/06",108.161
"2020/10/07",109.681
"2020/10/08",111.081
"2020/10/09",112.53
"2020/10/12",114.09
"2020/10/13",115.46
"2020/10/14",113.331
"2020/10/15",109.051
"2020/10/16",110.71
"2020/10/19",109.411
"2020/10/20",109.301
"2020/10/21",109.02
"2020/10/22",108
"2020/10/23",106.75
"2020/10/26",106.06
"2020/10/27",106.71
"2020/10/28",97.401
"2020/10/29",95.82
"2020/10/30",95.121
"2020/11/02",95.81
"2020/11/03",95.67
"2020/11/04",99.34
"2020/11/05",102.71
"2020/11/06",101.63
"2020/11/09",99.27
"2020/11/10",96.681
"2020/11/11",97.2
"2020/11/12",98.231
"2020/11/13",101.53
"2020/11/16",101.681
"2020/11/17",102.45
"2020/11/18",100.59
"2020/11/19",101.5
"2020/11/20",102.32
