x,y
"2008/01/02",13.498
"2008/01/03",13.257
"2008/01/04",13.001
"2008/01/07",12.97
"2008/01/08",12.66
"2008/01/09",12.901
"2008/01/10",12.715
"2008/01/11",12.715
"2008/01/14",13.056
"2008/01/15",13.141
"2008/01/16",13.505
"2008/01/17",13.591
"2008/01/18",13.97
"2008/01/22",13.955
"2008/01/23",14.032
"2008/01/24",13.924
"2008/01/25",13.505
"2008/01/28",13.916
"2008/01/29",13.707
"2008/01/30",13.893
"2008/01/31",13.893
"2008/02/01",14.637
"2008/02/04",14.327
"2008/02/05",14.032
"2008/02/06",13.552
"2008/02/07",13.684
"2008/02/08",13.901
"2008/02/11",14.335
"2008/02/12",14.055
"2008/02/13",15.486
"2008/02/14",14.926
"2008/02/15",14.809
"2008/02/19",14.374
"2008/02/20",15.12
"2008/02/21",14.996
"2008/02/22",15.307
"2008/02/25",15.284
"2008/02/26",15.439
"2008/02/27",15.634
"2008/02/28",15.424
"2008/02/29",14.91
"2008/03/03",14.685
"2008/03/04",15.805
"2008/03/05",15.945
"2008/03/06",15.657
"2008/03/07",15.626
"2008/03/10",15.805
"2008/03/11",16.287
"2008/03/12",16.318
"2008/03/13",16.38
"2008/03/14",16.007
"2008/03/17",16.077
"2008/03/18",16.746
"2008/03/19",16.077
"2008/03/20",16.411
"2008/03/24",16.264
"2008/03/25",16.069
"2008/03/26",15.813
"2008/03/27",15.54
"2008/03/28",15.183
"2008/03/31",15.175
"2008/04/01",15.634
"2008/04/02",16.015
"2008/04/03",16.217
"2008/04/04",16.248
"2008/04/07",15.704
"2008/04/08",15.167
"2008/04/09",15.307
"2008/04/10",15.696
"2008/04/11",14.864
"2008/04/14",14.693
"2008/04/15",14.591
"2008/04/16",15.043
"2008/04/17",14.91
"2008/04/18",14.879
"2008/04/21",14.778
"2008/04/22",14.311
"2008/04/23",14.623
"2008/04/24",14.98
"2008/04/25",14.856
"2008/04/28",14.77
"2008/04/29",14.778
"2008/04/30",14.514
"2008/05/01",15.175
"2008/05/02",15.323
"2008/05/05",15.136
"2008/05/06",15.081
"2008/05/07",14.98
"2008/05/08",15.175
"2008/05/09",15.004
"2008/05/12",15.455
"2008/05/13",15.494
"2008/05/14",15.525
"2008/05/15",15.322
"2008/05/16",15.268
"2008/05/19",15.213
"2008/05/20",14.885
"2008/05/21",14.737
"2008/05/22",14.956
"2008/05/23",14.76
"2008/05/27",15.26
"2008/05/28",15.244
"2008/05/29",15.314
"2008/05/30",15.455
"2008/06/02",15.174
"2008/06/03",14.784
"2008/06/04",15.01
"2008/06/05",15.057
"2008/06/06",14.737
"2008/06/09",14.768
"2008/06/10",14.799
"2008/06/11",14.612
"2008/06/12",15.104
"2008/06/13",15.673
"2008/06/16",16.219
"2008/06/17",15.954
"2008/06/18",15.876
"2008/06/19",15.993
"2008/06/20",15.681
"2008/06/23",15.408
"2008/06/24",15.587
"2008/06/25",16.079
"2008/06/26",15.135
"2008/06/27",15.049
"2008/06/30",14.893
"2008/07/01",15.041
"2008/07/02",14.667
"2008/07/03",14.589
"2008/07/07",14.714
"2008/07/08",14.698
"2008/07/09",13.926
"2008/07/10",14.308
"2008/07/11",13.973
"2008/07/14",13.863
"2008/07/15",14.097
