x,y
"2014/01/02",3.951
"2014/01/03",4
"2014/01/06",4.131
"2014/01/07",4.18
"2014/01/08",4.18
"2014/01/09",4.091
"2014/01/10",4.171
"2014/01/13",4.131
"2014/01/14",4.301
"2014/01/15",4.47
"2014/01/16",4.381
"2014/01/17",4.18
"2014/01/21",4.171
"2014/01/22",3.671
"2014/01/23",3.62
"2014/01/24",3.471
"2014/01/27",3.411
"2014/01/28",3.54
"2014/01/29",3.481
"2014/01/30",3.481
"2014/01/31",3.431
"2014/02/03",3.33
"2014/02/04",3.37
"2014/02/05",3.31
"2014/02/06",3.411
"2014/02/07",3.471
"2014/02/10",3.631
"2014/02/11",3.701
"2014/02/12",3.691
"2014/02/13",3.701
"2014/02/14",3.691
"2014/02/18",3.701
"2014/02/19",3.721
"2014/02/20",3.691
"2014/02/21",3.691
"2014/02/24",3.711
"2014/02/25",3.691
"2014/02/26",3.701
"2014/02/27",3.711
"2014/02/28",3.711
"2014/03/03",3.671
"2014/03/04",3.701
"2014/03/05",3.711
"2014/03/06",3.731
"2014/03/07",3.951
"2014/03/10",3.81
"2014/03/11",3.85
"2014/03/12",3.911
"2014/03/13",3.86
"2014/03/14",3.85
"2014/03/17",3.8
"2014/03/18",3.891
"2014/03/19",3.981
"2014/03/20",4.051
"2014/03/21",4.04
"2014/03/24",4.051
"2014/03/25",4.051
"2014/03/26",4.051
"2014/03/27",3.911
"2014/03/28",3.881
"2014/03/31",4.011
"2014/04/01",4.071
"2014/04/02",4.06
"2014/04/03",4
"2014/04/04",4.011
"2014/04/07",3.881
"2014/04/08",3.991
"2014/04/09",3.981
"2014/04/10",3.85
"2014/04/11",3.651
"2014/04/14",3.711
"2014/04/15",3.79
"2014/04/16",3.76
"2014/04/17",3.691
"2014/04/21",4.12
"2014/04/22",4.301
"2014/04/23",4.25
"2014/04/24",4.281
"2014/04/25",4.051
"2014/04/28",3.961
"2014/04/29",4.031
"2014/04/30",4.091
"2014/05/01",4.2
"2014/05/02",4.12
"2014/05/05",4.091
"2014/05/06",4.011
"2014/05/07",3.971
"2014/05/08",3.931
"2014/05/09",3.87
"2014/05/12",3.971
"2014/05/13",4.031
"2014/05/14",3.981
"2014/05/15",3.961
"2014/05/16",4.02
"2014/05/19",4.091
"2014/05/20",4.051
"2014/05/21",4.1
"2014/05/22",4.011
"2014/05/23",4.02
"2014/05/27",4.04
"2014/05/28",4
"2014/05/29",4.031
"2014/05/30",4
"2014/06/02",3.971
"2014/06/03",3.941
"2014/06/04",4.04
"2014/06/05",4.08
"2014/06/06",4.06
"2014/06/09",4.071
"2014/06/10",4.2
"2014/06/11",4.29
"2014/06/12",4.29
"2014/06/13",4.281
"2014/06/16",4.441
"2014/06/17",4.47
"2014/06/18",4.401
"2014/06/19",4.361
"2014/06/20",4.1
"2014/06/23",4.011
"2014/06/24",3.941
"2014/06/25",3.961
"2014/06/26",4.031
"2014/06/27",4.111
"2014/06/30",4.191
"2014/07/01",4.22
"2014/07/02",4.341
"2014/07/03",4.24
"2014/07/07",4.261
"2014/07/08",4.22
"2014/07/09",4.231
"2014/07/10",4.29
"2014/07/11",4.37
"2014/07/14",4.64
"2014/07/15",4.531
"2014/07/16",4.66
"2014/07/17",4.571
"2014/07/18",3.83
"2014/07/21",3.78
"2014/07/22",3.8
"2014/07/23",3.76
"2014/07/24",3.731
"2014/07/25",3.76
"2014/07/28",3.731
"2014/07/29",3.79
"2014/07/30",3.82
"2014/07/31",3.911
"2014/08/01",3.971
"2014/08/04",4
"2014/08/05",4.08
"2014/08/06",4.12
"2014/08/07",4.1
"2014/08/08",4.12
"2014/08/11",4.14
"2014/08/12",4.08
"2014/08/13",4.111
"2014/08/14",4.08
"2014/08/15",4.131
"2014/08/18",4.211
"2014/08/19",4.27
"2014/08/20",4.281
"2014/08/21",4.24
"2014/08/22",4.25
"2014/08/25",4.18
"2014/08/26",4.191
"2014/08/27",4.16
"2014/08/28",4.14
"2014/08/29",4.171
"2014/09/02",4.16
"2014/09/03",4.191
"2014/09/04",4.151
"2014/09/05",4.151
"2014/09/08",4.131
"2014/09/09",4.08
"2014/09/10",4.08
"2014/09/11",4.08
"2014/09/12",3.961
"2014/09/15",3.911
"2014/09/16",3.81
"2014/09/17",3.82
"2014/09/18",3.881
"2014/09/19",3.81
"2014/09/22",3.76
"2014/09/23",3.691
"2014/09/24",3.701
"2014/09/25",3.631
"2014/09/26",3.6
"2014/09/29",3.55
"2014/09/30",3.411
"2014/10/01",3.35
"2014/10/02",3.391
"2014/10/03",3.401
"2014/10/06",3.36
"2014/10/07",3.28
"2014/10/08",3.28
"2014/10/09",2.951
"2014/10/10",2.721
"2014/10/13",2.741
"2014/10/14",2.62
"2014/10/15",2.61
"2014/10/16",2.641
"2014/10/17",2.721
"2014/10/20",2.671
"2014/10/21",2.77
"2014/10/22",2.641
"2014/10/23",2.691
"2014/10/24",2.681
"2014/10/27",2.661
"2014/10/28",2.721
"2014/10/29",2.77
"2014/10/30",2.75
"2014/10/31",2.8
"2014/11/03",2.87
"2014/11/04",2.83
"2014/11/05",2.8
"2014/11/06",2.76
"2014/11/07",2.78
"2014/11/10",2.76
"2014/11/11",2.731
"2014/11/12",2.711
"2014/11/13",2.661
"2014/11/14",2.61
"2014/11/17",2.671
"2014/11/18",2.651
"2014/11/19",2.631
"2014/11/20",2.691
"2014/11/21",2.77
"2014/11/24",2.83
"2014/11/25",2.83
"2014/11/26",2.84
"2014/11/28",2.79
"2014/12/01",2.671
"2014/12/02",2.681
"2014/12/03",2.741
"2014/12/04",2.691
"2014/12/05",2.661
"2014/12/08",2.58
"2014/12/09",2.59
"2014/12/10",2.481
"2014/12/11",2.491
"2014/12/12",2.52
"2014/12/15",2.471
"2014/12/16",2.5
"2014/12/17",2.55
"2014/12/18",2.55
"2014/12/19",2.57
"2014/12/22",2.661
"2014/12/23",2.671
"2014/12/24",2.651
"2014/12/26",2.651
"2014/12/29",2.661
"2014/12/30",2.631
"2014/12/31",2.671
