x,y
"2020/01/02",204.721
"2020/01/03",200.851
"2020/01/06",202.861
"2020/01/07",204.851
"2020/01/08",206.98
"2020/01/09",206.801
"2020/01/10",207.461
"2020/01/13",211.15
"2020/01/14",213.051
"2020/01/15",213.39
"2020/01/16",219.25
"2020/01/17",221.87
"2020/01/21",221.241
"2020/01/22",222.721
"2020/01/23",230.06
"2020/01/24",238.051
"2020/01/27",234.971
"2020/01/28",236.721
"2020/01/29",235.051
"2020/01/30",231.741
"2020/01/31",223.34
"2020/02/03",225.271
"2020/02/04",231.321
"2020/02/05",229.911
"2020/02/06",232.521
"2020/02/07",231.771
"2020/02/10",232.411
"2020/02/11",231.5
"2020/02/12",234.461
"2020/02/13",237.62
"2020/02/14",223.471
"2020/02/18",225.79
"2020/02/19",225.021
"2020/02/20",228.28
"2020/02/21",223.461
"2020/02/24",213.75
"2020/02/25",205.991
"2020/02/26",203.14
"2020/02/27",193.18
"2020/02/28",193.12
"2020/03/02",196.59
"2020/03/03",191.75
"2020/03/04",201.631
"2020/03/05",196.56
"2020/03/06",190.78
"2020/03/09",185.691
"2020/03/10",199.961
"2020/03/11",182.2
"2020/03/12",162.89
"2020/03/13",176.76
"2020/03/16",157.04
"2020/03/17",168.2
"2020/03/18",177
"2020/03/19",177.881
"2020/03/20",164.48
"2020/03/23",161.881
"2020/03/24",186.56
"2020/03/25",188.331
"2020/03/26",200.571
"2020/03/27",191.29
"2020/03/30",205.73
"2020/03/31",202.551
"2020/04/01",192.771
"2020/04/02",194.101
"2020/04/03",194.64
"2020/04/06",207.601
"2020/04/07",209.14
"2020/04/08",214.59
"2020/04/09",209.911
"2020/04/13",202.081
"2020/04/14",207.31
"2020/04/15",204.191
"2020/04/16",205.211
"2020/04/17",210.021
"2020/04/20",211.991
"2020/04/21",200.051
"2020/04/22",211.37
"2020/04/23",209.23
"2020/04/24",216.81
"2020/04/27",217.911
"2020/04/28",218.03
"2020/04/29",222.04
"2020/04/30",219.301
"2020/05/01",207.64
"2020/05/04",211
"2020/05/05",220.441
"2020/05/06",208.01
"2020/05/07",210.43
"2020/05/08",218.01
"2020/05/11",224.581
"2020/05/12",221.101
"2020/05/13",213.721
"2020/05/14",205.59
"2020/05/15",210.45
"2020/05/18",215.62
"2020/05/19",219.76
"2020/05/20",224.7
"2020/05/21",223.081
"2020/05/22",220.17
"2020/05/26",222.351
"2020/05/27",227.31
"2020/05/28",222.92
"2020/05/29",233.461
"2020/06/01",234.64
"2020/06/02",230.45
"2020/06/03",231.271
"2020/06/04",228.661
"2020/06/05",235.17
"2020/06/08",231.79
"2020/06/09",231.4
"2020/06/10",232.771
"2020/06/11",218.801
"2020/06/12",222.78
"2020/06/15",225.851
"2020/06/16",229.56
"2020/06/17",226.54
"2020/06/18",219.45
"2020/06/19",218.01
"2020/06/22",216.87
"2020/06/23",215.62
"2020/06/24",209.25
"2020/06/25",211.98
"2020/06/26",210.631
"2020/06/29",206.911
"2020/06/30",210.03
"2020/07/01",209.441
"2020/07/02",210.51
"2020/07/06",214.45
"2020/07/07",210.78
"2020/07/08",214.101
"2020/07/09",218.79
"2020/07/10",216.111
"2020/07/13",211.301
"2020/07/14",215.73
"2020/07/15",215.14
"2020/07/16",215.12
"2020/07/17",219.571
"2020/07/20",225.441
"2020/07/21",228.79
"2020/07/22",233.831
"2020/07/23",239.301
"2020/07/24",236.81
"2020/07/27",245.831
"2020/07/28",240.84
"2020/07/29",246.92
"2020/07/30",249.39
"2020/07/31",259.77
"2020/08/03",260.511
"2020/08/04",263.99
"2020/08/05",235.131
"2020/08/06",236.381
"2020/08/07",230.801
"2020/08/10",222.471
"2020/08/11",219.98
"2020/08/12",216.241
"2020/08/13",216.31
"2020/08/14",212.67
"2020/08/17",215.01
"2020/08/18",219.461
"2020/08/19",220.65
"2020/08/20",221.381
"2020/08/21",222.571
"2020/08/24",218.831
"2020/08/25",219.43
"2020/08/26",222.051
"2020/08/27",222.18
"2020/08/28",222.04
"2020/08/31",223.45
"2020/09/01",224.101
"2020/09/02",228.521
"2020/09/03",216.821
"2020/09/04",211.101
"2020/09/08",207.191
"2020/09/09",211.81
"2020/09/10",206.131
"2020/09/11",203.81
"2020/09/14",205.53
"2020/09/15",206.381
"2020/09/16",205.81
"2020/09/17",202.461
"2020/09/18",200.98
"2020/09/21",195.101
"2020/09/22",199.93
"2020/09/23",198.48
"2020/09/24",198.461
"2020/09/25",200.64
"2020/09/28",205.051
"2020/09/29",210.461
"2020/09/30",206.93
"2020/10/01",207.051
"2020/10/02",203.9
"2020/10/05",206
"2020/10/06",206.801
"2020/10/07",211.991
"2020/10/08",222.491
"2020/10/09",227.611
"2020/10/12",228.25
"2020/10/13",225.84
"2020/10/14",228.03
"2020/10/15",226.23
"2020/10/16",225.45
"2020/10/19",221.631
"2020/10/20",221.98
"2020/10/21",214.31
"2020/10/22",213.971
"2020/10/23",214.111
"2020/10/26",208.87
"2020/10/27",210.551
"2020/10/28",204.381
"2020/10/29",203.161
"2020/10/30",208.9
"2020/11/02",216.12
"2020/11/03",249.491
"2020/11/04",254.441
"2020/11/05",257
"2020/11/06",263
"2020/11/09",261.68
"2020/11/10",257.4
"2020/11/11",265.21
"2020/11/12",267.09
"2020/11/13",273.86
"2020/11/16",273.261
"2020/11/17",277.78
"2020/11/18",272.03
"2020/11/19",272.87
"2020/11/20",268.5
