x,y
"2019/01/02",143.01
"2019/01/03",137.64
"2019/01/04",143.661
"2019/01/07",147.321
"2019/01/08",148.051
"2019/01/09",150.64
"2019/01/10",152.601
"2019/01/11",154.75
"2019/01/14",153.601
"2019/01/15",156.161
"2019/01/16",157.131
"2019/01/17",158.31
"2019/01/18",161.711
"2019/01/22",161.03
"2019/01/23",158.631
"2019/01/24",158.101
"2019/01/25",161.65
"2019/01/28",160.7
"2019/01/29",158.861
"2019/01/30",162.991
"2019/01/31",164.351
"2019/02/01",167.551
"2019/02/04",169.051
"2019/02/05",170.221
"2019/02/06",170.78
"2019/02/07",169.551
"2019/02/08",171.73
"2019/02/11",171.23
"2019/02/12",175.01
"2019/02/13",173.111
"2019/02/14",173.2
"2019/02/15",174.491
"2019/02/19",174.461
"2019/02/20",174.661
"2019/02/21",174.491
"2019/02/22",175.48
"2019/02/25",175.01
"2019/02/26",174.831
"2019/02/27",176.831
"2019/02/28",177.26
"2019/03/01",182.23
"2019/03/04",180.131
"2019/03/05",178.75
"2019/03/06",178.68
"2019/03/07",178.79
"2019/03/08",177.43
"2019/03/11",178.73
"2019/03/12",180.961
"2019/03/13",180.81
"2019/03/14",180.62
"2019/03/15",180.381
"2019/03/18",180.9
"2019/03/19",181.12
"2019/03/20",180.23
"2019/03/21",182.331
"2019/03/22",177.18
"2019/03/25",177.441
"2019/03/26",179.691
"2019/03/27",178.551
"2019/03/28",180.29
"2019/03/29",182.711
"2019/04/01",187.45
"2019/04/02",187.611
"2019/04/03",188.54
"2019/04/04",184.98
"2019/04/05",185.831
"2019/04/08",186.411
"2019/04/09",186.661
"2019/04/10",187.92
"2019/04/11",188.59
"2019/04/12",189.551
"2019/04/15",189.961
"2019/04/16",189.4
"2019/04/17",187.09
"2019/04/18",186.59
"2019/04/22",189.04
"2019/04/23",192.2
"2019/04/24",192.911
"2019/04/25",191.93
"2019/04/26",194.661
"2019/04/29",193.59
"2019/04/30",195.801
"2019/05/01",192.51
"2019/05/02",191.381
"2019/05/03",192.491
"2019/05/06",192.601
"2019/05/07",188.92
"2019/05/08",190.93
"2019/05/09",190.51
"2019/05/10",191.881
"2019/05/13",183.971
"2019/05/14",186.03
"2019/05/15",186.95
"2019/05/16",191.441
"2019/05/17",187.53
"2019/05/20",184.67
"2019/05/21",185.861
"2019/05/22",185.53
"2019/05/23",180.111
"2019/05/24",182.15
"2019/05/28",180.4
"2019/05/29",179.361
"2019/05/30",180.691
"2019/05/31",179.5
"2019/06/03",175.241
"2019/06/04",182.361
"2019/06/05",185.851
"2019/06/06",189.2
"2019/06/07",193.29
"2019/06/10",195.081
"2019/06/11",194.81
"2019/06/12",197.771
"2019/06/13",198.471
"2019/06/14",197.131
"2019/06/17",198.721
"2019/06/18",201.89
"2019/06/19",204.051
"2019/06/20",203.7
"2019/06/21",200.961
"2019/06/24",201.39
