x,y
"2006/01/03",10.167
"2006/01/04",10.498
"2006/01/05",10.428
"2006/01/06",10.62
"2006/01/09",10.839
"2006/01/10",10.7
"2006/01/11",10.604
"2006/01/12",10.553
"2006/01/13",10.546
"2006/01/17",10.553
"2006/01/18",10.4
"2006/01/19",11.5
"2006/01/20",11.269
"2006/01/23",11.223
"2006/01/24",11.392
"2006/01/25",11.271
"2006/01/26",11.408
"2006/01/27",11.456
"2006/01/30",11.564
"2006/01/31",11.621
"2006/02/01",11.776
"2006/02/02",11.605
"2006/02/03",11.436
"2006/02/06",11.399
"2006/02/07",11.264
"2006/02/08",11.34
"2006/02/09",11.235
"2006/02/10",11.212
"2006/02/13",11.079
"2006/02/14",10.951
"2006/02/15",11.205
"2006/02/16",11.468
"2006/02/17",11.408
"2006/02/21",11.363
"2006/02/22",11.308
"2006/02/23",11.312
"2006/02/24",11.568
"2006/02/27",11.587
"2006/02/28",11.484
"2006/03/01",11.847
"2006/03/02",11.671
"2006/03/03",11.509
"2006/03/06",11.388
"2006/03/07",11.317
"2006/03/08",11.344
"2006/03/09",11.184
"2006/03/10",11.488
"2006/03/13",11.465
"2006/03/14",11.518
"2006/03/15",11.61
"2006/03/16",11.76
"2006/03/17",11.6
"2006/03/20",11.55
"2006/03/21",11.452
"2006/03/22",11.436
"2006/03/23",11.385
"2006/03/24",11.491
"2006/03/27",11.52
"2006/03/28",11.493
"2006/03/29",11.932
"2006/03/30",11.907
"2006/03/31",11.937
"2006/04/03",11.859
"2006/04/04",11.895
"2006/04/05",11.957
"2006/04/06",12.062
"2006/04/07",11.895
"2006/04/10",11.758
"2006/04/11",11.591
"2006/04/12",11.582
"2006/04/13",11.927
"2006/04/17",11.836
"2006/04/18",11.937
"2006/04/19",13.391
"2006/04/20",13.767
"2006/04/21",13.462
"2006/04/24",13.254
"2006/04/25",13.197
"2006/04/26",13.08
"2006/04/27",13.112
"2006/04/28",13.222
"2006/05/01",13.318
"2006/05/02",13.433
"2006/05/03",13.57
"2006/05/04",13.954
"2006/05/05",14.014
"2006/05/08",13.792
"2006/05/09",13.719
"2006/05/10",13.51
"2006/05/11",13.284
"2006/05/12",12.829
"2006/05/15",12.817
"2006/05/16",12.783
"2006/05/17",12.454
"2006/05/18",12.309
"2006/05/19",12.449
"2006/05/22",12.378
"2006/05/23",12.39
"2006/05/24",12.264
"2006/05/25",12.291
"2006/05/26",12.563
"2006/05/30",12.39
"2006/05/31",12.707
"2006/06/01",13.138
"2006/06/02",13.11
"2006/06/05",12.893
"2006/06/06",12.467
"2006/06/07",12.248
"2006/06/08",12.106
"2006/06/09",12.101
"2006/06/12",11.584
"2006/06/13",11.49
"2006/06/14",11.671
"2006/06/15",12.303
"2006/06/16",12.255
"2006/06/19",11.985
"2006/06/20",11.957
"2006/06/21",12.442
"2006/06/22",12.342
"2006/06/23",12.321
"2006/06/26",12.552
"2006/06/27",12.44
"2006/06/28",12.278
"2006/06/29",12.783
"2006/06/30",12.809
"2006/07/03",13.008
"2006/07/05",12.587
"2006/07/06",12.557
"2006/07/07",12.362
"2006/07/10",12.369
"2006/07/11",12.337
"2006/07/12",11.975
"2006/07/13",11.872
"2006/07/14",11.646
"2006/07/17",11.687
"2006/07/18",11.74
"2006/07/19",12.559
"2006/07/20",12.662
"2006/07/21",12.234
"2006/07/24",12.577
"2006/07/25",12.763
"2006/07/26",12.676
"2006/07/27",12.744
"2006/07/28",12.916
"2006/07/31",12.836
"2006/08/01",12.545
"2006/08/02",12.875
"2006/08/03",12.946
"2006/08/04",13.026
"2006/08/07",12.955
"2006/08/08",12.829
"2006/08/09",12.735
"2006/08/10",13.003
"2006/08/11",12.909
"2006/08/14",13.083
"2006/08/15",13.504
"2006/08/16",13.733
"2006/08/17",13.669
"2006/08/18",13.594
"2006/08/21",13.255
"2006/08/22",13.433
"2006/08/23",13.415
"2006/08/24",13.273
"2006/08/25",13.234
"2006/08/28",13.424
"2006/08/29",13.259
"2006/08/30",13.266
"2006/08/31",13.154
"2006/09/01",13.113
"2006/09/05",13.413
"2006/09/06",13.172
"2006/09/07",13.255
"2006/09/08",13.193
"2006/09/11",13.25
"2006/09/12",13.397
"2006/09/13",13.55
"2006/09/14",13.614
"2006/09/15",13.912
"2006/09/18",13.768
"2006/09/19",13.685
"2006/09/20",14.008
"2006/09/21",14.166
"2006/09/22",13.981
"2006/09/25",14.148
"2006/09/26",14.464
"2006/09/27",14.606
"2006/09/28",14.368
"2006/09/29",14.182
"2006/10/02",14.32
"2006/10/03",14.267
"2006/10/04",14.482
"2006/10/05",14.718
"2006/10/06",14.666
"2006/10/09",14.824
"2006/10/10",14.597
"2006/10/11",14.659
"2006/10/12",14.968
"2006/10/13",15.114
"2006/10/16",15.089
"2006/10/17",14.862
"2006/10/18",15.598
"2006/10/19",15.859
"2006/10/20",15.458
"2006/10/23",15.366
"2006/10/24",15.6
"2006/10/25",15.744
"2006/10/26",15.856
"2006/10/27",15.762
"2006/10/30",15.632
"2006/10/31",15.549
"2006/11/01",14.959
"2006/11/02",15.032
"2006/11/03",15.172
"2006/11/06",15.298
"2006/11/07",15.428
"2006/11/08",15.394
"2006/11/09",15.435
"2006/11/10",15.556
"2006/11/13",15.662
