x,y
"2011/01/03",27.77
"2011/01/04",26.858
"2011/01/05",26.312
"2011/01/06",26.089
"2011/01/07",26.082
"2011/01/10",25.787
"2011/01/11",26.398
"2011/01/12",26.922
"2011/01/13",26.786
"2011/01/14",29.329
"2011/01/18",28.804
"2011/01/19",26.714
"2011/01/20",27.705
"2011/01/21",27.978
"2011/01/24",28.517
"2011/01/25",29.48
"2011/01/26",30.069
"2011/01/27",30.801
"2011/01/28",30.227
"2011/01/31",30.176
"2011/02/01",31.57
"2011/02/02",31.29
"2011/02/03",30.959
"2011/02/04",31.196
"2011/02/07",31.491
"2011/02/08",31.124
"2011/02/09",30.916
"2011/02/10",30.801
"2011/02/11",31.275
"2011/02/14",31.843
"2011/02/15",31.218
"2011/02/16",32.037
"2011/02/17",32.195
"2011/02/18",32.374
"2011/02/22",31.182
"2011/02/23",30.816
"2011/02/24",30.981
"2011/02/25",31.268
"2011/02/28",31.318
"2011/03/01",31.096
"2011/03/02",31.749
"2011/03/03",32.913
"2011/03/04",32.698
"2011/03/07",31.462
"2011/03/08",31.326
"2011/03/09",31.081
"2011/03/10",29.329
"2011/03/11",29.616
"2011/03/14",29.846
"2011/03/15",29.278
"2011/03/16",28.179
"2011/03/17",29.465
"2011/03/18",29.372
"2011/03/21",30.198
"2011/03/22",30.004
"2011/03/23",30.744
"2011/03/24",30.938
"2011/03/25",30.923
"2011/03/28",31.168
"2011/03/29",31.254
"2011/03/30",31.857
"2011/03/31",31.965
"2011/04/01",31.821
"2011/04/04",31.735
"2011/04/05",31.915
"2011/04/06",31.505
"2011/04/07",30.772
"2011/04/08",30.428
"2011/04/11",30.816
"2011/04/12",30.464
"2011/04/13",28.467
"2011/04/14",28.56
"2011/04/15",28.761
"2011/04/18",27.82
"2011/04/19",27.504
"2011/04/20",29.939
"2011/04/21",29.286
"2011/04/25",29.444
"2011/04/26",30.309
"2011/04/27",30.549
"2011/04/28",30.142
"2011/04/29",30.396
"2011/05/02",29.865
"2011/05/03",30.265
"2011/05/04",30.302
"2011/05/05",29.931
"2011/05/06",29.356
"2011/05/09",29.996
"2011/05/10",30.36
"2011/05/11",28.773
"2011/05/12",29.501
"2011/05/13",28.853
"2011/05/16",29.021
"2011/05/17",28.846
"2011/05/18",29.37
"2011/05/19",29.246
"2011/05/20",28.795
"2011/05/23",27.478
"2011/05/24",27.601
"2011/05/25",27.696
"2011/05/26",27.536
"2011/05/27",27.711
"2011/05/31",28.395
"2011/06/01",27.812
"2011/06/02",27.943
"2011/06/03",27.834
"2011/06/06",27.601
"2011/06/07",28.162
"2011/06/08",27.419
"2011/06/09",27.58
"2011/06/10",26.619
"2011/06/13",26.575
"2011/06/14",27.456
"2011/06/15",26.313
"2011/06/16",25.745
"2011/06/17",25.753
"2011/06/20",25.527
"2011/06/21",25.905
"2011/06/22",25.694
"2011/06/23",25.884
"2011/06/24",25.461
"2011/06/27",26.415
"2011/06/28",26.415
"2011/06/29",26.641
"2011/06/30",26.903
"2011/07/01",27.616
"2011/07/05",27.478
"2011/07/06",26.888
"2011/07/07",28.125
"2011/07/08",27.252
"2011/07/11",26.881
"2011/07/12",25.389
"2011/07/13",25.243
"2011/07/14",24.704
"2011/07/15",24.981
"2011/07/18",24.901
"2011/07/19",25.84
"2011/07/20",25.913
"2011/07/21",26.983
"2011/07/22",27.492
"2011/07/25",27.23
"2011/07/26",27.492
"2011/07/27",27.114
"2011/07/28",26.007
"2011/07/29",25.949
"2011/08/01",25.592
"2011/08/02",25.017
"2011/08/03",25.447
"2011/08/04",24.173
"2011/08/05",24.326
"2011/08/08",22.623
"2011/08/09",24.421
"2011/08/10",23.656
"2011/08/11",25.345
"2011/08/12",25.811
"2011/08/15",26.066
"2011/08/16",25.512
"2011/08/17",25.461
"2011/08/18",24.057
"2011/08/19",23.94
"2011/08/22",23.991
"2011/08/23",25.207
"2011/08/24",25.127
"2011/08/25",24.035
"2011/08/26",25.105
"2011/08/29",26.058
"2011/08/30",25.44
"2011/08/31",25.673
"2011/09/01",25.199
"2011/09/02",24.69
"2011/09/06",24.348
"2011/09/07",25.214
"2011/09/08",24.865
"2011/09/09",24.821
"2011/09/12",25.454
"2011/09/13",25.964
"2011/09/14",26.582
"2011/09/15",26.48
"2011/09/16",26.641
"2011/09/19",26.211
"2011/09/20",25.942
"2011/09/21",26.029
"2011/09/22",25.243
"2011/09/23",25.607
"2011/09/26",26.313
"2011/09/27",27.019
"2011/09/28",26.182
"2011/09/29",26.24
"2011/09/30",25.141
"2011/10/03",24.384
"2011/10/04",25.549
"2011/10/05",25.425
"2011/10/06",25.898
"2011/10/07",26.451
"2011/10/10",26.917
"2011/10/11",26.328
"2011/10/12",28.213
"2011/10/13",29.159
"2011/10/14",29.348
"2011/10/17",28.853
"2011/10/18",29.312
"2011/10/19",28.744
"2011/10/20",28.679
"2011/10/21",29.479
"2011/10/24",30.054
"2011/10/25",29.814
"2011/10/26",29.872
"2011/10/27",31.648
"2011/10/28",31.699
"2011/10/31",30.52
"2011/11/01",29.588
"2011/11/02",29.45
"2011/11/03",30.702
"2011/11/04",30.833
"2011/11/07",30.382
"2011/11/08",31.284
"2011/11/09",29.188
"2011/11/10",29.516
"2011/11/11",30.251
"2011/11/14",29.239
"2011/11/15",29.45
"2011/11/16",28.759
"2011/11/17",27.922
"2011/11/18",27.711
"2011/11/21",27.689
"2011/11/22",26.983
"2011/11/23",26.728
"2011/11/25",26.357
"2011/11/28",27.296
"2011/11/29",27.07
"2011/11/30",28.773
"2011/12/01",28.628
"2011/12/02",29.596
"2011/12/05",30.098
"2011/12/06",30.294
"2011/12/07",30.578
"2011/12/08",29.894
"2011/12/09",30.28
"2011/12/12",29.166
"2011/12/13",28.468
"2011/12/14",28.431
"2011/12/15",28.577
"2011/12/16",28.635
"2011/12/19",28.424
"2011/12/20",30.025
"2011/12/21",29.683
"2011/12/22",29.96
"2011/12/23",30.171
"2011/12/27",30.265
"2011/12/28",30.171
"2011/12/29",30.753
"2011/12/30",30.418
