x,y
"2019/01/02",235.463
"2019/01/03",214.518
"2019/01/04",216.626
"2019/01/07",221.038
"2019/01/08",219.264
"2019/01/09",228.747
"2019/01/10",231.757
"2019/01/11",232.732
"2019/01/14",233.011
"2019/01/15",238.23
"2019/01/16",233.781
"2019/01/17",237.153
"2019/01/18",242.252
"2019/01/22",239.902
"2019/01/23",239.187
"2019/01/24",244.788
"2019/01/25",248.865
"2019/01/28",248.568
"2019/01/29",247.361
"2019/01/30",251.54
"2019/01/31",249.153
"2019/02/01",247.816
"2019/02/04",252.748
"2019/02/05",250.779
"2019/02/06",256.546
"2019/02/07",249.933
"2019/02/08",254.55
"2019/02/11",256.091
"2019/02/12",259.5
"2019/02/13",261.293
"2019/02/14",261.46
"2019/02/15",261.859
"2019/02/19",261.609
"2019/02/20",263.243
"2019/02/21",260.94
"2019/02/22",256.816
"2019/02/25",258.766
"2019/02/26",255.423
"2019/02/27",252.163
"2019/02/28",255.757
"2019/03/01",253.333
"2019/03/04",255.32
"2019/03/05",257.29
"2019/03/06",252.033
"2019/03/07",246.608
"2019/03/08",245.382
"2019/03/11",249.906
"2019/03/12",250.435
"2019/03/13",251.902
"2019/03/14",249.107
"2019/03/15",269.624
"2019/03/18",272.921
"2019/03/19",278.002
"2019/03/20",272.726
"2019/03/21",278.133
"2019/03/22",274.244
"2019/03/25",273.785
"2019/03/26",278.349
"2019/03/27",277.355
"2019/03/28",280.26
"2019/03/29",281.797
"2019/04/01",286.558
"2019/04/02",283.99
"2019/04/03",285.068
"2019/04/04",283.006
"2019/04/05",285.143
"2019/04/08",285.33
"2019/04/09",284.365
"2019/04/10",288.17
"2019/04/11",289.95
"2019/04/12",297.091
"2019/04/15",296.5
"2019/04/16",298.468
"2019/04/17",300.371
"2019/04/18",298.581
"2019/04/22",295.188
"2019/04/23",295.788
"2019/04/24",294.561
"2019/04/25",292.209
"2019/04/26",290.887
"2019/04/29",293.052
"2019/04/30",298.375
"2019/05/01",298.843
"2019/05/02",295.957
"2019/05/03",295.854
"2019/05/06",291.974
"2019/05/07",287.963
"2019/05/08",284.309
"2019/05/09",284.937
"2019/05/10",284.843
"2019/05/13",274.928
"2019/05/14",283.006
"2019/05/15",285.227
"2019/05/16",278.592
"2019/05/17",271.658
"2019/05/20",255.446
"2019/05/21",258.014
"2019/05/22",252.288
"2019/05/23",243.732
"2019/05/24",239.843
"2019/05/28",238.475
"2019/05/29",238.138
"2019/05/30",240.48
"2019/05/31",235.814
"2019/06/03",237.257
"2019/06/04",248.989
"2019/06/05",249.008
"2019/06/06",255.633
"2019/06/07",257.583
"2019/06/10",262.587
"2019/06/11",265.651
"2019/06/12",262.137
"2019/06/13",263.899
"2019/06/14",249.205
"2019/06/17",249.242
"2019/06/18",260.562
"2019/06/19",260.038
"2019/06/20",261.5
"2019/06/21",259.219
"2019/06/24",264.149
"2019/06/25",261.604
"2019/06/26",266.268
"2019/06/27",270.308
"2019/06/28",272.342
"2019/07/01",284.158
"2019/07/02",279.409
"2019/07/03",269.532
"2019/07/05",267.422
"2019/07/08",260.137
"2019/07/09",260.676
"2019/07/10",259.702
"2019/07/11",261.178
"2019/07/12",270.005
"2019/07/15",272.796
"2019/07/16",268.813
"2019/07/17",269.712
"2019/07/18",274.158
"2019/07/19",274.366
"2019/07/22",280.185
"2019/07/23",284.565
"2019/07/24",287.394
"2019/07/25",284.196
"2019/07/26",284.698
"2019/07/29",285.473
"2019/07/30",283.411
"2019/07/31",274.357
"2019/08/01",269.958
"2019/08/02",263.515
"2019/08/05",253.231
"2019/08/06",252.077
"2019/08/07",255.492
"2019/08/08",256.372
"2019/08/09",260.866
"2019/08/12",260.781
"2019/08/13",268.406
"2019/08/14",256.921
"2019/08/15",254.158
"2019/08/16",259.021
"2019/08/19",263.751
"2019/08/20",265.256
"2019/08/21",272.001
"2019/08/22",272.115
"2019/08/23",257.46
"2019/08/26",262.275
"2019/08/27",260.714
"2019/08/28",261.178
"2019/08/29",268.094
"2019/08/30",267.403
"2019/09/03",259.276
"2019/09/04",267.763
"2019/09/05",275.331
"2019/09/06",276.173
"2019/09/09",276.836
"2019/09/10",278.567
"2019/09/11",281.945
"2019/09/12",284.376
"2019/09/13",274.669
"2019/09/16",273.099
"2019/09/17",273.259
"2019/09/18",272.228
"2019/09/19",274.972
"2019/09/20",271.411
"2019/09/23",272.556
"2019/09/24",269.549
"2019/09/25",263.304
"2019/09/26",264.393
"2019/09/27",261.748
"2019/09/30",263.591
"2019/10/01",262.426
"2019/10/02",257.862
"2019/10/03",262.025
"2019/10/04",268.708
"2019/10/07",263.6
"2019/10/08",258.11
"2019/10/09",260.803
"2019/10/10",262.044
"2019/10/11",268.212
"2019/10/14",268.928
"2019/10/15",277.197
"2019/10/16",275.44
"2019/10/17",276.347
"2019/10/18",273.769
"2019/10/21",276.48
"2019/10/22",274.466
"2019/10/23",267.649
"2019/10/24",269.549
"2019/10/25",276.719
"2019/10/28",278.371
"2019/10/29",275.134
"2019/10/30",277.12
"2019/10/31",279.612
"2019/11/01",283.183
"2019/11/04",291.213
"2019/11/05",299.844
"2019/11/06",299.004
"2019/11/07",297.648
"2019/11/08",299.243
"2019/11/11",298.613
"2019/11/12",301.267
"2019/11/13",299.491
"2019/11/14",295.003
"2019/11/15",298.765
"2019/11/18",297.009
"2019/11/19",303.339
"2019/11/20",297.581
"2019/11/21",301
"2019/11/22",300.685
"2019/11/25",305.172
"2019/11/26",301.973
"2019/11/27",304.045
"2019/11/29",301.916
"2019/12/02",296.674
"2019/12/03",292.664
"2019/12/04",295.72
"2019/12/05",297.123
"2019/12/06",301.763
"2019/12/09",300.169
"2019/12/10",300.818
"2019/12/11",305.267
"2019/12/12",312.982
"2019/12/13",301.162
"2019/12/16",308.523
"2019/12/17",309.163
"2019/12/18",312.639
"2019/12/19",309.45
"2019/12/20",307.665
"2019/12/23",308.176
"2019/12/24",309.112
"2019/12/26",306.682
"2019/12/27",305.283
"2019/12/30",302.322
"2019/12/31",304.791
