x,y
"2020/01/02",78.051
"2020/01/03",78.861
"2020/01/06",80.07
"2020/01/07",82.511
"2020/01/08",82.14
"2020/01/09",84.471
"2020/01/10",83.6
"2020/01/13",85.401
"2020/01/14",85.181
"2020/01/15",86.511
"2020/01/16",85.88
"2020/01/17",84.651
"2020/01/21",84.831
"2020/01/22",84.25
"2020/01/23",83.221
"2020/01/24",82.361
"2020/01/27",81.911
"2020/01/28",83.34
"2020/01/29",84.801
"2020/01/30",87.481
"2020/01/31",85.14
"2020/02/03",87.231
"2020/02/04",92.77
"2020/02/05",88.5
"2020/02/06",88.64
"2020/02/07",89.831
"2020/02/10",91.81
"2020/02/11",90.85
"2020/02/12",92.681
"2020/02/13",91.25
"2020/02/14",92.471
"2020/02/18",91.941
"2020/02/19",90.181
"2020/02/20",89.111
"2020/02/21",87.71
"2020/02/24",84.85
"2020/02/25",84
"2020/02/26",86.611
"2020/02/27",82.971
"2020/02/28",84.75
"2020/03/02",84.99
"2020/03/03",80.89
"2020/03/04",84.13
"2020/03/05",80.511
"2020/03/06",77.1
"2020/03/09",71.541
"2020/03/10",77.941
"2020/03/11",73.151
"2020/03/12",67.27
"2020/03/13",72.971
"2020/03/16",66.24
"2020/03/17",67.651
"2020/03/18",58.19
"2020/03/19",57.89
"2020/03/20",62
"2020/03/23",66.661
"2020/03/24",74.13
"2020/03/25",74.761
"2020/03/26",78.56
"2020/03/27",79.49
"2020/03/30",80.34
"2020/03/31",74.6
"2020/04/01",66.261
"2020/04/02",65.57
"2020/04/03",63.631
"2020/04/06",71
"2020/04/07",70.82
"2020/04/08",75.5
"2020/04/09",73.721
"2020/04/13",75.541
"2020/04/14",78.39
"2020/04/15",79.59
"2020/04/16",78.041
"2020/04/17",84.361
"2020/04/20",85.32
"2020/04/21",81.481
"2020/04/22",81.82
"2020/04/23",82.35
"2020/04/24",85.111
"2020/04/27",87.761
"2020/04/28",87.181
"2020/04/29",89.081
"2020/04/30",89.371
"2020/05/01",88.221
"2020/05/04",88.63
"2020/05/05",90.361
"2020/05/06",93.111
"2020/05/07",101.761
"2020/05/08",96.441
"2020/05/11",102.551
"2020/05/12",97.621
"2020/05/13",99.291
"2020/05/14",97.621
"2020/05/15",102.981
"2020/05/18",101.2
"2020/05/19",105.361
"2020/05/20",103.81
"2020/05/21",102.471
"2020/05/22",107.02
"2020/05/26",102
"2020/05/27",94.081
"2020/05/28",99.28
"2020/05/29",107.06
"2020/06/01",109.49
"2020/06/02",110.371
"2020/06/03",109.151
"2020/06/04",101.471
"2020/06/05",99.1
"2020/06/08",99.56
"2020/06/09",100.901
"2020/06/10",102.27
"2020/06/11",99.651
"2020/06/12",105.95
"2020/06/15",113.35
"2020/06/16",116.74
"2020/06/17",119.581
"2020/06/18",124.011
"2020/06/19",124.45
"2020/06/22",126.57
"2020/06/23",127.931
"2020/06/24",131.131
"2020/06/25",137.59
"2020/06/26",134.14
"2020/06/29",133.59
"2020/06/30",133.09
"2020/07/01",139.2
"2020/07/02",136.26
"2020/07/06",133.29
"2020/07/07",136.39
"2020/07/08",141.271
"2020/07/09",140.37
"2020/07/10",136.54
"2020/07/13",126.901
"2020/07/14",128.25
"2020/07/15",125.791
"2020/07/16",124.31
"2020/07/17",125.371
"2020/07/20",130.581
"2020/07/21",126.17
"2020/07/22",126.5
"2020/07/23",123.81
"2020/07/24",123.931
"2020/07/27",126.191
"2020/07/28",124.35
"2020/07/29",130.191
"2020/07/30",131.601
"2020/07/31",134.45
"2020/08/03",138.831
"2020/08/04",137.571
"2020/08/05",133.441
"2020/08/06",129.31
"2020/08/07",122.71
"2020/08/10",119.511
"2020/08/11",118.89
"2020/08/12",120.06
"2020/08/13",122.431
"2020/08/14",119.27
"2020/08/17",123.2
"2020/08/18",121.931
"2020/08/19",121.39
"2020/08/20",123.75
"2020/08/21",122.931
"2020/08/24",120.691
"2020/08/25",122.84
"2020/08/26",128.571
"2020/08/27",128.881
"2020/08/28",130.821
"2020/08/31",132.411
"2020/09/01",139.991
"2020/09/02",136.081
"2020/09/03",126.901
"2020/09/04",123.371
"2020/09/08",117.96
"2020/09/09",121.371
"2020/09/10",120.42
"2020/09/11",117.331
"2020/09/14",119.181
"2020/09/15",120.221
"2020/09/16",119.151
"2020/09/17",117.85
"2020/09/18",119.49
"2020/09/21",123.731
"2020/09/22",124.731
"2020/09/23",124.051
"2020/09/24",123.71
"2020/09/25",130.5
"2020/09/28",132.45
"2020/09/29",131.43
"2020/09/30",127.34
"2020/10/01",134.7
"2020/10/02",130.78
"2020/10/05",133.211
"2020/10/06",138.5
"2020/10/07",142.79
"2020/10/08",145.271
"2020/10/09",152.2
"2020/10/12",152.84
"2020/10/13",156.021
"2020/10/14",155.93
"2020/10/15",158.15
"2020/10/16",157.551
"2020/10/19",153.5
"2020/10/20",155.661
"2020/10/21",153.31
"2020/10/22",151.67
"2020/10/23",154.51
"2020/10/26",151.25
"2020/10/27",151.76
"2020/10/28",149.861
"2020/10/29",151.721
"2020/10/30",149.051
"2020/11/02",142.771
"2020/11/03",144.14
"2020/11/04",157.861
"2020/11/05",162.26
"2020/11/06",169.661
"2020/11/09",153.84
"2020/11/10",150.87
"2020/11/11",154.9
"2020/11/12",155.911
"2020/11/13",151.601
"2020/11/16",151.381
"2020/11/17",157.331
"2020/11/18",156.78
"2020/11/19",164.051
"2020/11/20",168.14
