x,y
"2011/01/03",17.987
"2011/01/04",17.826
"2011/01/05",17.85
"2011/01/06",18.044
"2011/01/07",17.947
"2011/01/10",18.012
"2011/01/11",18.068
"2011/01/12",18.173
"2011/01/13",18.076
"2011/01/14",18.456
"2011/01/18",18.859
"2011/01/19",18.665
"2011/01/20",18.423
"2011/01/21",18.391
"2011/01/24",18.633
"2011/01/25",18.585
"2011/01/26",18.391
"2011/01/27",18.512
"2011/01/28",18.375
"2011/01/31",18.48
"2011/02/01",18.536
"2011/02/02",18.52
"2011/02/03",18.674
"2011/02/04",18.488
"2011/02/07",18.77
"2011/02/08",17.6
"2011/02/09",17.479
"2011/02/10",18.076
"2011/02/11",18.238
"2011/02/14",18.472
"2011/02/15",18.496
"2011/02/16",18.633
"2011/02/17",18.835
"2011/02/18",18.762
"2011/02/22",18.48
"2011/02/23",18.286
"2011/02/24",18.456
"2011/02/25",18.762
"2011/02/28",18.504
"2011/03/01",18.439
"2011/03/02",18.48
"2011/03/03",18.891
"2011/03/04",18.504
"2011/03/07",18.254
"2011/03/08",18.262
"2011/03/09",18.238
"2011/03/10",17.761
"2011/03/11",17.639
"2011/03/14",17.574
"2011/03/15",17.379
"2011/03/16",17.07
"2011/03/17",17.233
"2011/03/18",17.168
"2011/03/21",17.257
"2011/03/22",17.2
"2011/03/23",17.233
"2011/03/24",17.461
"2011/03/25",17.444
"2011/03/28",17.339
"2011/03/29",17.574
"2011/03/30",18.306
"2011/03/31",18.444
"2011/04/01",18.655
"2011/04/04",18.59
"2011/04/05",18.582
"2011/04/06",18.745
"2011/04/07",18.672
"2011/04/08",18.55
"2011/04/11",18.598
"2011/04/12",18.558
"2011/04/13",18.558
"2011/04/14",18.59
"2011/04/15",18.631
"2011/04/18",18.412
"2011/04/19",18.468
"2011/04/20",18.558
"2011/04/21",18.558
"2011/04/25",18.623
"2011/04/26",18.883
"2011/04/27",19.046
"2011/04/28",19.054
"2011/04/29",18.891
"2011/05/02",18.899
"2011/05/03",18.916
"2011/05/04",18.826
"2011/05/05",18.664
"2011/05/06",18.753
"2011/05/09",19.037
"2011/05/10",18.769
"2011/05/11",18.355
"2011/05/12",18.615
"2011/05/13",18.485
"2011/05/16",18.208
"2011/05/17",18.233
"2011/05/18",18.273
"2011/05/19",18.46
"2011/05/20",18.428
"2011/05/23",18.208
"2011/05/24",18.249
"2011/05/25",18.395
"2011/05/26",18.525
"2011/05/27",18.55
"2011/05/31",18.598
