x,y
"2007/01/03",33.094
"2007/01/04",32.866
"2007/01/05",32.169
"2007/01/08",32.35
"2007/01/09",32.303
"2007/01/10",31.864
"2007/01/11",31.858
"2007/01/12",32.034
"2007/01/16",31.348
"2007/01/17",31.184
"2007/01/18",31.249
"2007/01/19",31.313
"2007/01/22",30.944
"2007/01/23",31.741
"2007/01/24",32.268
"2007/01/25",31.43
"2007/01/26",31.46
"2007/01/29",31.483
"2007/01/30",30.95
"2007/01/31",30.944
"2007/02/01",31.067
"2007/02/02",30.622
"2007/02/05",29.971
"2007/02/06",30.346
"2007/02/07",29.795
"2007/02/08",29.971
"2007/02/09",30.545
"2007/02/12",30.487
"2007/02/13",30.557
"2007/02/14",30.891
"2007/02/15",31.085
"2007/02/16",32.139
"2007/02/20",32.42
"2007/02/21",31.489
"2007/02/22",31.887
"2007/02/23",32.256
"2007/02/26",32.151
"2007/02/27",31.301
"2007/02/28",31.682
"2007/03/01",31.29
"2007/03/02",30.745
"2007/03/05",30.844
"2007/03/06",31.559
"2007/03/07",30.528
"2007/03/08",31.12
"2007/03/09",31.354
"2007/03/12",31.559
"2007/03/13",30.973
"2007/03/14",30.903
"2007/03/15",30.997
"2007/03/16",31.407
"2007/03/19",32.163
"2007/03/20",32.086
"2007/03/21",32.585
"2007/03/22",32.772
"2007/03/23",32.76
"2007/03/26",32.362
"2007/03/27",32.11
"2007/03/28",31.788
"2007/03/29",31.835
"2007/03/30",31.454
"2007/04/02",31.295
"2007/04/03",31.284
"2007/04/04",31.981
"2007/04/05",31.887
"2007/04/09",32.227
"2007/04/10",32.356
"2007/04/11",32.362
"2007/04/12",32.227
"2007/04/13",32.104
"2007/04/16",32.825
"2007/04/17",32.637
"2007/04/18",32.79
"2007/04/19",32.368
"2007/04/20",32.69
"2007/04/23",32.426
"2007/04/24",33.018
"2007/04/25",34.102
"2007/04/26",33.463
"2007/04/27",33.106
"2007/04/30",32.93
"2007/05/01",33.294
"2007/05/02",33.51
"2007/05/03",33.504
"2007/05/04",33.633
"2007/05/07",34.536
"2007/05/08",34.307
"2007/05/09",35.098
"2007/05/10",33.885
"2007/05/11",34.02
"2007/05/14",33.874
"2007/05/15",33.452
"2007/05/16",34.126
"2007/05/17",33.95
"2007/05/18",34.161
"2007/05/21",34.172
"2007/05/22",34.313
"2007/05/23",34.155
"2007/05/24",34.096
"2007/05/25",33.727
"2007/05/29",33.967
"2007/05/30",34.178
"2007/05/31",34.489
"2007/06/01",34.682
"2007/06/04",34.641
"2007/06/05",34.489
"2007/06/06",34.12
"2007/06/07",33.704
"2007/06/08",34.489
"2007/06/11",34.542
