x,y
"2019/01/02",9.58
"2019/01/03",9.58
"2019/01/04",9.601
"2019/01/07",9.58
"2019/01/08",9.591
"2019/01/09",9.591
"2019/01/10",9.601
"2019/01/11",9.591
"2019/01/14",9.9
"2019/01/15",9.931
"2019/01/16",10.051
"2019/01/17",10.24
"2019/01/18",10.44
"2019/01/22",10.44
"2019/01/23",10.4
"2019/01/24",10.4
"2019/01/25",10.4
"2019/01/28",10.37
"2019/01/29",10.37
"2019/01/30",10.44
"2019/01/31",10.58
"2019/02/01",10.74
"2019/02/04",10.921
"2019/02/05",11.051
"2019/02/06",11.29
"2019/02/07",11.07
"2019/02/08",11.08
"2019/02/11",11.051
"2019/02/12",11.24
"2019/02/13",11.391
"2019/02/14",11.511
"2019/02/15",11.54
"2019/02/19",11.53
"2019/02/20",11.25
"2019/02/21",11
"2019/02/22",11.15
"2019/02/25",11.101
"2019/02/26",11.15
"2019/02/27",11.15
"2019/02/28",11.021
"2019/03/01",10.94
"2019/03/04",10.86
"2019/03/05",10.95
"2019/03/06",10.921
"2019/03/07",10.99
"2019/03/08",11.011
"2019/03/11",11.061
"2019/03/12",11.681
"2019/03/13",12.23
"2019/03/14",12.261
"2019/03/15",12.4
"2019/03/18",12.551
"2019/03/19",12.48
"2019/03/20",12.681
"2019/03/21",12.641
"2019/03/22",12.66
"2019/03/25",12.75
"2019/03/26",13.101
"2019/03/27",13.591
"2019/03/28",13.461
"2019/03/29",13.44
"2019/04/01",13.54
"2019/04/02",13.53
"2019/04/03",13.5
"2019/04/04",13.591
"2019/04/05",13.5
"2019/04/08",13.591
"2019/04/09",13.521
"2019/04/10",13.44
"2019/04/11",13.641
"2019/04/12",13.601
"2019/04/15",13.7
"2019/04/16",13.75
"2019/04/17",13.9
"2019/04/18",13.931
"2019/04/22",13.931
"2019/04/23",13.94
"2019/04/24",13.801
"2019/04/25",13.851
"2019/04/26",14.061
"2019/04/29",14.261
"2019/04/30",14.4
"2019/05/01",14.381
"2019/05/02",14.41
"2019/05/03",14.45
"2019/05/06",14.41
"2019/05/07",14.12
"2019/05/08",13.87
"2019/05/09",13.73
"2019/05/10",13.65
"2019/05/13",13.341
"2019/05/14",13.48
"2019/05/15",13.311
"2019/05/16",13.37
"2019/05/17",13.351
"2019/05/20",13.301
"2019/05/21",13.33
"2019/05/22",13.211
"2019/05/23",13.19
"2019/05/24",12.961
"2019/05/28",13.04
"2019/05/29",13.051
"2019/05/30",13.101
"2019/05/31",12.921
"2019/06/03",13.25
"2019/06/04",13.69
"2019/06/05",14.101
"2019/06/06",14.561
"2019/06/07",14.7
"2019/06/10",14.95
"2019/06/11",14.73
"2019/06/12",14.9
"2019/06/13",14.79
"2019/06/14",14.801
"2019/06/17",14.471
"2019/06/18",14.061
"2019/06/19",14.28
"2019/06/20",14.36
"2019/06/21",14.95
"2019/06/24",14.921
"2019/06/25",15
"2019/06/26",14.961
"2019/06/27",14.86
"2019/06/28",15.381
"2019/07/01",15.03
"2019/07/02",15.28
"2019/07/03",15.49
"2019/07/05",15.431
"2019/07/08",15.221
"2019/07/09",15.051
"2019/07/10",15.15
"2019/07/11",15.32
"2019/07/12",15.101
"2019/07/15",15.16
"2019/07/16",15.381
"2019/07/17",15.07
"2019/07/18",15.5
"2019/07/19",15.54
"2019/07/22",15.801
"2019/07/23",15.811
"2019/07/24",15.961
"2019/07/25",16.201
"2019/07/26",16.271
"2019/07/29",16.56
"2019/07/30",16.601
"2019/07/31",16.451
"2019/08/01",16.101
"2019/08/02",16.16
"2019/08/05",15.681
"2019/08/06",15.841
"2019/08/07",16.541
"2019/08/08",17.13
"2019/08/09",17.101
"2019/08/12",16.97
"2019/08/13",17.23
"2019/08/14",17.08
"2019/08/15",17.371
"2019/08/16",17.31
"2019/08/19",17.511
"2019/08/20",17.55
"2019/08/21",17.66
"2019/08/22",17.681
"2019/08/23",17.63
"2019/08/26",17.55
"2019/08/27",17.55
"2019/08/28",17.601
"2019/08/29",17.66
"2019/08/30",17.621
"2019/09/03",16.38
"2019/09/04",16.531
"2019/09/05",16.16
"2019/09/06",17.281
"2019/09/09",16.941
"2019/09/10",16.9
"2019/09/11",17.24
"2019/09/12",17.49
"2019/09/13",17.171
"2019/09/16",17
"2019/09/17",17.16
"2019/09/18",17.21
"2019/09/19",17.371
"2019/09/20",17.15
"2019/09/23",17.13
"2019/09/24",16.97
"2019/09/25",16.97
"2019/09/26",16.97
"2019/09/27",17.031
"2019/09/30",16.871
"2019/10/01",16.511
"2019/10/02",16.15
"2019/10/03",16.25
"2019/10/04",16.601
"2019/10/07",16.421
"2019/10/08",16.3
"2019/10/09",16.31
"2019/10/10",16.431
"2019/10/11",16.371
"2019/10/14",16.271
"2019/10/15",16.05
"2019/10/16",15.86
"2019/10/17",16
"2019/10/18",15.721
"2019/10/21",15.75
"2019/10/22",15.83
"2019/10/23",15.75
"2019/10/24",16.05
"2019/10/25",16.31
"2019/10/28",16.681
"2019/10/29",16.611
"2019/10/30",16.71
"2019/10/31",16.74
"2019/11/01",16.71
"2019/11/04",16.101
"2019/11/05",16.82
"2019/11/06",17.111
"2019/11/07",17.021
"2019/11/08",16.89
"2019/11/11",17.08
"2019/11/12",16.841
"2019/11/13",16.9
"2019/11/14",16.82
"2019/11/15",16.931
"2019/11/18",17.091
