x,y
"2009/01/02",3.84
"2009/01/05",3.981
"2009/01/06",4.171
"2009/01/07",4.031
"2009/01/08",4.12
"2009/01/09",4.29
"2009/01/12",4.12
"2009/01/13",4.111
"2009/01/14",4.071
"2009/01/15",3.941
"2009/01/16",3.991
"2009/01/20",3.631
"2009/01/21",3.79
"2009/01/22",3.53
"2009/01/23",3.86
"2009/01/26",3.901
"2009/01/27",4.06
"2009/01/28",4.18
"2009/01/29",4.011
"2009/01/30",3.78
"2009/02/02",3.641
"2009/02/03",3.681
"2009/02/04",3.651
"2009/02/05",4.2
"2009/02/06",4.5
"2009/02/09",4.551
"2009/02/10",4.261
"2009/02/11",4.301
"2009/02/12",4.35
"2009/02/13",4.231
"2009/02/17",4.011
"2009/02/18",3.86
"2009/02/19",3.941
"2009/02/20",3.85
"2009/02/23",3.79
"2009/02/24",3.981
"2009/02/25",4.111
"2009/02/26",4.25
"2009/02/27",4.2
"2009/03/02",3.971
"2009/03/03",3.83
"2009/03/04",3.83
"2009/03/05",3.731
"2009/03/06",3.701
"2009/03/09",3.6
"2009/03/10",3.83
"2009/03/11",3.82
"2009/03/12",4.12
"2009/03/13",4.111
"2009/03/16",4.04
"2009/03/17",4.231
"2009/03/18",4.39
"2009/03/19",4.2
"2009/03/20",3.931
"2009/03/23",4.261
"2009/03/24",4.16
"2009/03/25",4.16
"2009/03/26",4.5
"2009/03/27",4.231
"2009/03/30",4.08
"2009/03/31",4.2
"2009/04/01",4.25
"2009/04/02",4.43
"2009/04/03",4.54
"2009/04/06",4.481
"2009/04/07",4.281
"2009/04/08",4.62
"2009/04/09",4.87
"2009/04/13",4.89
"2009/04/14",4.841
"2009/04/15",4.85
"2009/04/16",4.81
"2009/04/17",4.87
"2009/04/20",4.591
"2009/04/21",4.75
"2009/04/22",4.74
"2009/04/23",4.651
"2009/04/24",4.68
"2009/04/27",4.591
"2009/04/28",4.611
"2009/04/29",4.81
"2009/04/30",5.58
"2009/05/01",5.33
"2009/05/04",5.671
