x,y
"2015/01/02",32.654
"2015/01/05",32.307
"2015/01/06",31.839
"2015/01/07",32.504
"2015/01/08",33.319
"2015/01/09",33.45
"2015/01/12",33.45
"2015/01/13",33.984
"2015/01/14",33.263
"2015/01/15",33.141
"2015/01/16",33.506
"2015/01/20",33.263
"2015/01/21",33.207
"2015/01/22",33.478
"2015/01/23",33.478
"2015/01/26",33.431
"2015/01/27",32.42
"2015/01/28",32.382
"2015/01/29",32.56
"2015/01/30",32.092
"2015/02/02",32.101
"2015/02/03",33.038
"2015/02/04",32.907
"2015/02/05",33.216
"2015/02/06",33.703
"2015/02/09",33.769
"2015/02/10",34.096
"2015/02/11",33.712
"2015/02/12",34.096
"2015/02/13",34.687
"2015/02/17",35.305
"2015/02/18",35.539
"2015/02/19",35.398
"2015/02/20",35.361
"2015/02/23",35.641
"2015/02/24",35.744
"2015/02/25",35.688
"2015/02/26",35.819
"2015/02/27",35.312
"2015/03/02",35.659
"2015/03/03",35.828
"2015/03/04",35.688
"2015/03/05",35.425
"2015/03/06",35.087
"2015/03/09",35.012
"2015/03/10",34.139
"2015/03/11",33.876
"2015/03/12",33.379
"2015/03/13",33.736
"2015/03/16",34.102
"2015/03/17",34.027
"2015/03/18",34.477
"2015/03/19",35.021
"2015/03/20",35.444
"2015/03/23",35.641
"2015/03/24",35.5
"2015/03/25",35.068
"2015/03/26",34.693
"2015/03/27",35.49
"2015/03/30",35.425
"2015/03/31",34.946
"2015/04/01",34.477
"2015/04/02",34.411
"2015/04/06",34.646
"2015/04/07",34.89
"2015/04/08",35.612
"2015/04/09",36.007
"2015/04/10",36.054
"2015/04/13",36.1
"2015/04/14",35.688
"2015/04/15",36.091
"2015/04/16",35.838
"2015/04/17",35.5
"2015/04/20",35.95
"2015/04/21",36.335
"2015/04/22",36.532
"2015/04/23",36.617
"2015/04/24",36.476
"2015/04/27",36.344
"2015/04/28",36.344
"2015/04/29",36.213
"2015/04/30",35.96
"2015/05/01",36.288
"2015/05/04",36.429
"2015/05/05",36.476
"2015/05/06",36.26
"2015/05/07",34.693
"2015/05/08",34.439
"2015/05/11",34.449
"2015/05/12",34.655
"2015/05/13",34.712
"2015/05/14",35.068
"2015/05/15",35.265
"2015/05/18",35.228
"2015/05/19",34.505
"2015/05/20",34.458
"2015/05/21",34.879
"2015/05/22",34.814
"2015/05/26",34.24
"2015/05/27",34.663
"2015/05/28",34.738
"2015/05/29",34.879
"2015/06/01",34.785
"2015/06/02",34.673
"2015/06/03",34.757
"2015/06/04",34.297
"2015/06/05",34.391
"2015/06/08",34.221
"2015/06/09",34.391
"2015/06/10",34.879
"2015/06/11",34.663
"2015/06/12",34.522
"2015/06/15",34.4
"2015/06/16",34.25
"2015/06/17",34.503
"2015/06/18",35.199
"2015/06/19",34.597
"2015/06/22",34.757
"2015/06/23",34.879
"2015/06/24",34.325
"2015/06/25",34.287
"2015/06/26",33.187
"2015/06/29",32.51
"2015/06/30",32.228
"2015/07/01",32.576
"2015/07/02",32.388
"2015/07/06",32.078
"2015/07/07",32.332
"2015/07/08",31.815
"2015/07/09",31.721
"2015/07/10",31.909
"2015/07/13",32.322
"2015/07/14",32.736
"2015/07/15",32.256
"2015/07/16",32.341
"2015/07/17",32.106
"2015/07/20",31.956
"2015/07/21",31.711
"2015/07/22",32.153
"2015/07/23",32.181
"2015/07/24",31.598
"2015/07/27",31.316
"2015/07/28",32.435
"2015/07/29",32.952
"2015/07/30",33.319
"2015/07/31",33.779
"2015/08/03",36.318
"2015/08/04",36.76
"2015/08/05",37.343
"2015/08/06",36.976
"2015/08/07",36.581
"2015/08/10",36.938
"2015/08/11",37.032
"2015/08/12",36.572
"2015/08/13",36.496
"2015/08/14",36.835
"2015/08/17",37.352
"2015/08/18",37.089
"2015/08/19",37.089
"2015/08/20",36.346
"2015/08/21",36.024
"2015/08/24",35.233
"2015/08/25",35.365
