x,y
"2015/01/02",78.46
"2015/01/05",78.011
"2015/01/06",77.95
"2015/01/07",78.59
"2015/01/08",80.53
"2015/01/09",80.581
"2015/01/12",80.681
"2015/01/13",79.471
"2015/01/14",79.661
"2015/01/15",79
"2015/01/16",80.81
"2015/01/20",80.191
"2015/01/21",80.67
"2015/01/22",79.99
"2015/01/23",80.06
"2015/01/26",80.03
"2015/01/27",79.191
"2015/01/28",77.081
"2015/01/29",78.5
"2015/01/30",77.17
"2015/02/02",76.5
"2015/02/03",77.411
"2015/02/04",76.84
"2015/02/05",77.24
"2015/02/06",76.721
"2015/02/09",76.17
"2015/02/10",76.96
"2015/02/11",77.181
"2015/02/12",78.2
"2015/02/13",80.331
"2015/02/17",80.74
"2015/02/18",81.291
"2015/02/19",82.1
"2015/02/20",82.481
"2015/02/23",82.39
"2015/02/24",82.84
"2015/02/25",83.38
"2015/02/26",83.911
"2015/02/27",83.49
"2015/03/02",84.35
"2015/03/03",83.221
"2015/03/04",82.471
"2015/03/05",83.151
"2015/03/06",82
"2015/03/09",82.431
"2015/03/10",82.03
"2015/03/11",81.63
"2015/03/12",81.46
"2015/03/13",81.221
"2015/03/16",83.09
"2015/03/17",83.46
"2015/03/18",84.6
"2015/03/19",84.96
"2015/03/20",85.121
"2015/03/23",84.691
"2015/03/24",83.78
"2015/03/25",81.38
"2015/03/26",82.191
"2015/03/27",82.371
"2015/03/30",83.481
"2015/03/31",81.971
"2015/04/01",81.871
"2015/04/02",82.49
"2015/04/06",82.84
"2015/04/07",83.99
"2015/04/08",85.221
"2015/04/09",85.14
"2015/04/10",84.931
"2015/04/13",82.911
"2015/04/14",83.77
"2015/04/15",84.621
"2015/04/16",84.761
"2015/04/17",81.75
"2015/04/20",85.88
"2015/04/21",86.691
"2015/04/22",87.17
"2015/04/23",87.121
"2015/04/24",87.551
"2015/04/27",87.38
"2015/04/28",87.32
"2015/04/29",85.721
"2015/04/30",83.481
"2015/05/01",83.95
"2015/05/04",83.99
