x,y
"2016/10/06",33.28
"2016/10/07",29.691
"2016/10/10",28.16
"2016/10/11",27.74
"2016/10/12",29.25
"2016/10/13",30.531
"2016/10/14",29.031
"2016/10/17",27.431
"2016/10/18",27.171
"2016/10/19",26.451
"2016/10/20",25.781
"2016/10/21",25.3
"2016/10/24",26.81
"2016/10/25",27
"2016/10/26",26.781
"2016/10/27",25.9
"2016/10/28",25.32
"2016/10/31",25
"2016/11/01",24.98
"2016/11/02",25.111
"2016/11/03",25.06
"2016/11/04",25.261
"2016/11/07",25.58
"2016/11/08",25.3
"2016/11/09",25.49
"2016/11/10",25.791
"2016/11/11",26.3
"2016/11/14",27.72
"2016/11/15",28.3
"2016/11/16",29.5
"2016/11/17",29.64
"2016/11/18",29.511
"2016/11/21",31.451
"2016/11/22",31.421
"2016/11/23",32.25
"2016/11/25",32.841
"2016/11/28",31.31
"2016/11/29",31.921
"2016/11/30",31.74
"2016/12/01",27.781
"2016/12/02",26.291
"2016/12/05",26.021
"2016/12/06",27.74
"2016/12/07",27.25
"2016/12/08",26.23
"2016/12/09",26.101
"2016/12/12",26.15
"2016/12/13",26.3
"2016/12/14",25.451
"2016/12/15",26.33
"2016/12/16",26.4
"2016/12/19",26.38
"2016/12/20",25.261
"2016/12/21",25.171
"2016/12/22",25.041
"2016/12/23",25.441
"2016/12/27",25.81
"2016/12/28",25.5
"2016/12/29",25.441
"2016/12/30",25.011
