x,y
"2018/01/02",104.411
"2018/01/03",105.291
"2018/01/04",106.681
"2018/01/05",108.1
"2018/01/08",108.861
"2018/01/09",109.151
"2018/01/10",108.801
"2018/01/11",109.1
"2018/01/12",110.24
"2018/01/16",108.89
"2018/01/17",110.041
"2018/01/18",111.77
"2018/01/19",111.931
"2018/01/22",112.89
"2018/01/23",113.24
"2018/01/24",112.85
"2018/01/25",111.96
"2018/01/26",113.7
"2018/01/29",113.301
"2018/01/30",112.231
"2018/01/31",113.911
"2018/02/01",112.74
"2018/02/02",110.78
"2018/02/05",107.651
"2018/02/06",109.57
"2018/02/07",110.051
"2018/02/08",104.03
"2018/02/09",106.981
"2018/02/12",108.551
"2018/02/13",107.691
"2018/02/14",109.02
"2018/02/15",113.121
"2018/02/16",112.861
"2018/02/20",114.35
"2018/02/21",114.481
"2018/02/22",113
"2018/02/23",114.96
"2018/02/26",116.651
"2018/02/27",116.471
"2018/02/28",116.25
"2018/03/01",119.431
"2018/03/02",121.92
"2018/03/05",122.5
"2018/03/06",124.481
"2018/03/07",125.331
"2018/03/08",126.361
"2018/03/09",127.411
"2018/03/12",126.78
"2018/03/13",126.731
"2018/03/14",127.99
"2018/03/15",127.221
"2018/03/16",125.971
"2018/03/19",124.981
"2018/03/20",125.121
"2018/03/21",121.7
"2018/03/22",118.041
"2018/03/23",114.431
"2018/03/26",118.971
"2018/03/27",113.81
"2018/03/28",112.88
"2018/03/29",116.301
"2018/04/02",115.301
"2018/04/03",116.49
"2018/04/04",119.481
"2018/04/05",119.041
"2018/04/06",116.1
"2018/04/09",117.191
"2018/04/10",119.49
"2018/04/11",119.161
"2018/04/12",121.401
"2018/04/13",119.011
"2018/04/16",119.411
"2018/04/17",123.35
"2018/04/18",124.46
"2018/04/19",124.06
"2018/04/20",122.82
"2018/04/23",121.89
"2018/04/24",117.88
"2018/04/25",117.32
"2018/04/26",120.831
"2018/04/27",120.221
"2018/04/30",120.99
"2018/05/01",123.111
"2018/05/02",122.82
"2018/05/03",124.411
"2018/05/04",125.121
"2018/05/07",126.971
"2018/05/08",128.75
"2018/05/09",129.73
"2018/05/10",130.62
"2018/05/11",130.631
"2018/05/14",127.691
"2018/05/15",128.131
"2018/05/16",128.771
"2018/05/17",126.051
"2018/05/18",126.96
"2018/05/21",126.371
"2018/05/22",125.441
"2018/05/23",128.09
"2018/05/24",128.741
"2018/05/25",127.96
"2018/05/29",126.88
"2018/05/30",129.301
"2018/05/31",129.331
"2018/06/01",130.521
"2018/06/04",132.65
"2018/06/05",134.12
"2018/06/06",135.551
"2018/06/07",132.911
"2018/06/08",133.53
"2018/06/11",133.98
"2018/06/12",136.26
"2018/06/13",136.5
"2018/06/14",138.411
"2018/06/15",138.411
"2018/06/18",139.801
"2018/06/19",139.521
"2018/06/20",138.941
"2018/06/21",137.881
"2018/06/22",135.01
"2018/06/25",133.191
"2018/06/26",135.48
"2018/06/27",133.221
"2018/06/28",135.12
"2018/06/29",136.4
"2018/07/02",140.43
"2018/07/03",137.84
"2018/07/05",139.771
"2018/07/06",141.4
"2018/07/09",141.76
"2018/07/10",142.45
"2018/07/11",145.25
"2018/07/12",148.161
"2018/07/13",147.611
"2018/07/16",146.961
"2018/07/17",147.021
"2018/07/18",147.84
"2018/07/19",147.161
"2018/07/20",146.87
"2018/07/23",147.56
"2018/07/24",146
"2018/07/25",148.87
"2018/07/26",147.571
"2018/07/27",143.911
"2018/07/30",138.03
"2018/07/31",137.15
"2018/08/01",137.68
"2018/08/02",141.14
"2018/08/03",141.04
"2018/08/06",142.711
"2018/08/07",144.441
"2018/08/08",145.17
"2018/08/09",145.821
"2018/08/10",145.51
"2018/08/13",144.45
"2018/08/14",146.571
"2018/08/15",145.04
"2018/08/16",145.73
"2018/08/17",145.021
"2018/08/20",145.711
"2018/08/21",145.53
"2018/08/22",146.461
"2018/08/23",147.831
"2018/08/24",152.301
"2018/08/27",151.68
"2018/08/28",152.991
"2018/08/29",154.801
"2018/08/30",152.14
"2018/08/31",152.68
"2018/09/04",153.211
"2018/09/05",148.65
"2018/09/06",148.831
"2018/09/07",150.43
"2018/09/10",151.321
"2018/09/11",152.84
"2018/09/12",155.37
"2018/09/13",158.18
"2018/09/14",157.491
"2018/09/17",154.92
"2018/09/18",156
"2018/09/19",152.9
"2018/09/20",155.5
"2018/09/21",155.521
"2018/09/24",158.78
"2018/09/25",158.87
"2018/09/26",158.331
"2018/09/27",160.43
"2018/09/28",159.03
"2018/10/01",159.861
"2018/10/02",157.26
"2018/10/03",159.101
"2018/10/04",154.9
"2018/10/05",155.071
"2018/10/08",148.65
"2018/10/09",148.5
"2018/10/10",137.81
"2018/10/11",139.241
"2018/10/12",146.741
"2018/10/15",141.95
"2018/10/16",147.441
"2018/10/17",147.01
"2018/10/18",142.84
"2018/10/19",140.491
"2018/10/22",142.95
"2018/10/23",140.661
"2018/10/24",133.26
"2018/10/25",140.801
"2018/10/26",135.521
"2018/10/29",130.991
"2018/10/30",132.17
"2018/10/31",137.241
"2018/11/01",139.59
"2018/11/02",136.79
"2018/11/05",135.441
"2018/11/06",133.95
"2018/11/07",141.79
"2018/11/08",141.87
"2018/11/09",136.92
"2018/11/12",130.5
"2018/11/13",132.161
"2018/11/14",129.351
"2018/11/15",132.491
"2018/11/16",132.551
"2018/11/19",121.011
"2018/11/20",120.67
"2018/11/21",123.59
"2018/11/23",122.03
"2018/11/26",126.411
"2018/11/27",127.541
"2018/11/28",140.64
"2018/11/29",139.721
"2018/11/30",142.76
"2018/12/03",144.15
"2018/12/04",139.241
"2018/12/06",142.06
"2018/12/07",135.95
"2018/12/10",137.271
"2018/12/11",136.79
"2018/12/12",140.09
"2018/12/13",141.14
"2018/12/14",137.04
"2018/12/17",130.831
"2018/12/18",132.321
"2018/12/19",131.161
"2018/12/20",127.731
"2018/12/21",122.911
"2018/12/24",121.331
"2018/12/26",130.84
"2018/12/27",135.2
"2018/12/28",134.68
"2018/12/31",136.971
