x,y
"2020/01/02",47.156
"2020/01/03",46.387
"2020/01/06",46.552
"2020/01/07",46.25
"2020/01/08",46.279
"2020/01/09",46.085
"2020/01/10",45.9
"2020/01/13",46.718
"2020/01/14",46.542
"2020/01/15",46.757
"2020/01/16",47.769
"2020/01/17",47.74
"2020/01/21",47.526
"2020/01/22",47.789
"2020/01/23",47.721
"2020/01/24",47.575
"2020/01/27",46.231
"2020/01/28",46.523
"2020/01/29",45.822
"2020/01/30",46.007
"2020/01/31",44.77
"2020/02/03",45.315
"2020/02/04",46.377
"2020/02/05",47.185
"2020/02/06",47.419
"2020/02/07",46.718
"2020/02/10",47.594
"2020/02/11",47.847
"2020/02/12",48.626
"2020/02/13",46.085
"2020/02/14",45.744
"2020/02/18",45.374
"2020/02/19",45.082
"2020/02/20",45.627
"2020/02/21",45.091
"2020/02/24",42.851
"2020/02/25",41.624
"2020/02/26",41.059
"2020/02/27",38.995
"2020/02/28",38.888
"2020/03/02",40.095
"2020/03/03",38.995
"2020/03/04",40.31
"2020/03/05",38.537
"2020/03/06",38.644
"2020/03/09",36.969
"2020/03/10",39.034
"2020/03/11",36.083
"2020/03/12",32.333
"2020/03/13",36.657
"2020/03/16",32.83
"2020/03/17",34.573
"2020/03/18",36.151
"2020/03/19",36.726
"2020/03/20",34.671
"2020/03/23",33.697
"2020/03/24",37.592
"2020/03/25",36.687
"2020/03/26",39.521
"2020/03/27",37.807
"2020/03/30",39.267
"2020/03/31",38.284
"2020/04/01",37.329
"2020/04/02",39.129
"2020/04/03",38.401
"2020/04/06",40.731
"2020/04/07",39.954
"2020/04/08",41.036
"2020/04/09",40.505
"2020/04/13",40.525
"2020/04/14",42.058
"2020/04/15",40.819
"2020/04/16",40.8
"2020/04/17",41.763
"2020/04/20",41.822
"2020/04/21",39.866
"2020/04/22",41.055
"2020/04/23",40.918
"2020/04/24",41.803
"2020/04/27",42.333
"2020/04/28",41.773
"2020/04/29",42.609
"2020/04/30",41.665
"2020/05/01",40.23
"2020/05/04",40.652
"2020/05/05",40.76
"2020/05/06",40.456
"2020/05/07",40.672
"2020/05/08",42.265
"2020/05/11",42.589
"2020/05/12",42.491
"2020/05/13",41.242
"2020/05/14",43.11
"2020/05/15",43.523
"2020/05/18",44.3
"2020/05/19",43.857
"2020/05/20",44.673
"2020/05/21",43.887
"2020/05/22",44.142
"2020/05/26",44.083
"2020/05/27",45.185
"2020/05/28",44.831
"2020/05/29",47.013
"2020/06/01",45.519
"2020/06/02",46.099
"2020/06/03",46.148
"2020/06/04",46.069
"2020/06/05",47.023
"2020/06/08",47.318
"2020/06/09",47.239
"2020/06/10",46.62
"2020/06/11",42.933
"2020/06/12",44.31
"2020/06/15",44.585
"2020/06/16",45.696
"2020/06/17",45.391
"2020/06/18",45.057
"2020/06/19",44.555
"2020/06/22",44.398
"2020/06/23",44.703
"2020/06/24",43.995
"2020/06/25",44.457
"2020/06/26",45.529
"2020/06/29",45.371
"2020/06/30",45.853
"2020/07/01",45.283
"2020/07/02",45.213
"2020/07/06",45.996
"2020/07/07",45.213
"2020/07/08",45.392
"2020/07/09",46.274
"2020/07/10",46.234
"2020/07/13",45.511
"2020/07/14",45.838
"2020/07/15",45.976
"2020/07/16",45.362
"2020/07/17",46.323
"2020/07/20",46.541
"2020/07/21",46.591
"2020/07/22",46.472
"2020/07/23",46.977
"2020/07/24",45.976
"2020/07/27",46.759
"2020/07/28",45.858
"2020/07/29",46.284
"2020/07/30",46.016
"2020/07/31",46.67
"2020/08/03",46.729
"2020/08/04",47.235
"2020/08/05",46.898
"2020/08/06",47.334
"2020/08/07",46.997
"2020/08/10",47.294
"2020/08/11",46.759
"2020/08/12",47.661
"2020/08/13",42.33
"2020/08/14",42.112
"2020/08/17",41.706
"2020/08/18",41.597
"2020/08/19",41.488
"2020/08/20",41.924
"2020/08/21",41.864
"2020/08/24",41.795
"2020/08/25",41.577
"2020/08/26",41.864
"2020/08/27",41.904
"2020/08/28",41.815
"2020/08/31",41.835
"2020/09/01",41.646
"2020/09/02",42.033
"2020/09/03",40.576
"2020/09/04",40.447
"2020/09/08",39.635
"2020/09/09",39.764
"2020/09/10",39.209
"2020/09/11",39.516
"2020/09/14",40.002
"2020/09/15",40.229
"2020/09/16",40.051
"2020/09/17",40.002
"2020/09/18",39.447
"2020/09/21",38.684
"2020/09/22",38.961
"2020/09/23",37.931
"2020/09/24",37.505
"2020/09/25",38.099
"2020/09/28",38.773
"2020/09/29",38.704
"2020/09/30",39.03
"2020/10/01",38.8
"2020/10/02",38.271
"2020/10/05",38.57
"2020/10/06",38.57
"2020/10/07",39.401
"2020/10/08",39.791
"2020/10/09",39.85
"2020/10/12",40.361
"2020/10/13",39.811
"2020/10/14",39.89
"2020/10/15",39.971
"2020/10/16",40.16
"2020/10/19",39.3
"2020/10/20",39.201
"2020/10/21",39.061
"2020/10/22",38.82
"2020/10/23",38.82
"2020/10/26",37.67
"2020/10/27",36.87
"2020/10/28",35.71
"2020/10/29",35.69
"2020/10/30",35.901
"2020/11/02",35.901
"2020/11/03",36.681
"2020/11/04",36.57
"2020/11/05",37.23
"2020/11/06",37.53
"2020/11/09",38.201
"2020/11/10",38.721
"2020/11/11",39.331
"2020/11/12",38.67
"2020/11/13",41.401
"2020/11/16",42.541
"2020/11/17",41.881
"2020/11/18",41.32
"2020/11/19",41.17
"2020/11/20",40.971
