x,y
"2006/01/03",12.103
"2006/01/04",12.177
"2006/01/05",12.012
"2006/01/06",12.265
"2006/01/09",12.48
"2006/01/10",12.346
"2006/01/11",12.033
"2006/01/12",11.876
"2006/01/13",11.787
"2006/01/17",11.751
"2006/01/18",12.062
"2006/01/19",12.42
"2006/01/20",11.933
"2006/01/23",11.816
"2006/01/24",12.107
"2006/01/25",11.888
"2006/01/26",12.045
"2006/01/27",12.157
"2006/01/30",12.298
"2006/01/31",12.509
"2006/02/01",12.497
"2006/02/02",12.296
"2006/02/03",12.093
"2006/02/06",12.134
"2006/02/07",12.365
"2006/02/08",11.978
"2006/02/09",13.149
"2006/02/10",13.196
"2006/02/13",13.029
"2006/02/14",13.063
"2006/02/15",13.165
"2006/02/16",13.189
"2006/02/17",13.194
"2006/02/21",13.055
"2006/02/22",13.536
"2006/02/23",13.55
"2006/02/24",13.715
"2006/02/27",13.949
"2006/02/28",13.76
"2006/03/01",14.042
"2006/03/02",13.915
"2006/03/03",14.028
"2006/03/06",13.493
"2006/03/07",13.497
"2006/03/08",13.299
"2006/03/09",13.227
"2006/03/10",13.407
"2006/03/13",13.528
"2006/03/14",13.641
"2006/03/15",13.727
"2006/03/16",13.555
"2006/03/17",13.631
"2006/03/20",13.359
"2006/03/21",13.223
"2006/03/22",13.462
"2006/03/23",13.669
"2006/03/24",13.777
"2006/03/27",13.772
"2006/03/28",14.078
"2006/03/29",14.369
"2006/03/30",14.228
"2006/03/31",14.209
"2006/04/03",14.231
"2006/04/04",14.577
"2006/04/05",14.257
"2006/04/06",14.032
"2006/04/07",13.868
"2006/04/10",13.722
"2006/04/11",13.586
"2006/04/12",14.226
"2006/04/13",14.24
"2006/04/17",14.902
"2006/04/18",15.119
"2006/04/19",15.191
"2006/04/20",15.27
"2006/04/21",15.024
"2006/04/24",15.138
"2006/04/25",15.138
"2006/04/26",14.976
"2006/04/27",15.129
"2006/04/28",15.193
"2006/05/01",14.83
"2006/05/02",14.584
"2006/05/03",15.977
"2006/05/04",16.337
"2006/05/05",16.483
"2006/05/08",16.435
"2006/05/09",16.471
"2006/05/10",16.383
"2006/05/11",16.325
"2006/05/12",15.659
"2006/05/15",15.773
"2006/05/16",15.883
"2006/05/17",15.356
"2006/05/18",15.277
"2006/05/19",15.334
"2006/05/22",14.813
"2006/05/23",15.107
"2006/05/24",14.529
"2006/05/25",14.641
"2006/05/26",14.333
"2006/05/30",13.879
"2006/05/31",14.092
"2006/06/01",14.821
"2006/06/02",15.007
"2006/06/05",14.613
"2006/06/06",14.828
"2006/06/07",14.584
"2006/06/08",14.632
"2006/06/09",14.758
"2006/06/12",14.14
"2006/06/13",13.973
"2006/06/14",14.104
"2006/06/15",15.05
"2006/06/16",15.195
