x,y
"2013/01/02",52.924
"2013/01/03",51.138
"2013/01/04",51.666
"2013/01/07",52.916
"2013/01/08",53.149
"2013/01/09",54.927
"2013/01/10",54.717
"2013/01/11",55.485
"2013/01/14",54.895
"2013/01/15",54.127
"2013/01/16",53.467
"2013/01/17",53.265
"2013/01/18",52.52
"2013/01/22",52.458
"2013/01/23",53.451
"2013/01/24",53.902
"2013/01/25",55.548
"2013/01/28",55.439
"2013/01/29",53.358
"2013/01/30",52
"2013/01/31",56.798
"2013/02/01",57.473
"2013/02/04",56.425
"2013/02/05",56.914
"2013/02/06",56.402
"2013/02/07",55.804
"2013/02/08",56.603
"2013/02/11",56.207
"2013/02/12",57.131
"2013/02/13",56.2
"2013/02/14",55.905
"2013/02/15",56.378
"2013/02/19",57.03
"2013/02/20",56.029
"2013/02/21",55.431
"2013/02/22",56.603
"2013/02/25",55.284
"2013/02/26",54.934
"2013/02/27",55.152
"2013/02/28",55.043
"2013/03/01",55.4
"2013/03/04",56.588
"2013/03/05",57.325
"2013/03/06",57.706
"2013/03/07",57.651
"2013/03/08",57.783
"2013/03/11",57.954
"2013/03/12",57.488
"2013/03/13",57.877
"2013/03/14",58.342
"2013/03/15",57.287
"2013/03/18",56.044
"2013/03/19",55.354
"2013/03/20",56.332
"2013/03/21",55.905
"2013/03/22",55.128
"2013/03/25",54.43
"2013/03/26",55.113
"2013/03/27",55.431
"2013/03/28",56.013
"2013/04/01",55.454
"2013/04/02",55.517
"2013/04/03",54.694
"2013/04/04",54.135
"2013/04/05",53.49
"2013/04/08",52.823
"2013/04/09",52.186
"2013/04/10",53.374
"2013/04/11",53.669
"2013/04/12",54.647
"2013/04/15",53.537
"2013/04/16",55.198
"2013/04/17",53.622
"2013/04/18",52.271
"2013/04/19",52.147
"2013/04/22",52.132
"2013/04/23",52.652
"2013/04/24",52.528
"2013/04/25",48.863
"2013/04/26",47.978
"2013/04/29",48.25
"2013/04/30",48.258
"2013/05/01",48.297
"2013/05/02",48.708
"2013/05/03",49.29
"2013/05/06",49.818
"2013/05/07",49.779
"2013/05/08",50.129
"2013/05/09",50.89
"2013/05/10",51.674
"2013/05/13",51.084
"2013/05/14",51.084
"2013/05/15",50.595
"2013/05/16",51.883
"2013/05/17",51.891
"2013/05/20",51.386
"2013/05/21",51.526
"2013/05/22",50.005
"2013/05/23",49.415
"2013/05/24",49.244
"2013/05/28",50.098
"2013/05/29",49.873
"2013/05/30",50.711
