x,y
"2020/01/02",75.901
"2020/01/03",75.56
"2020/01/06",75.39
"2020/01/07",75.24
"2020/01/08",76.27
"2020/01/09",75.801
"2020/01/10",74.831
"2020/01/13",74.151
"2020/01/14",72.801
"2020/01/15",73.03
"2020/01/16",73.081
"2020/01/17",72.53
"2020/01/21",73.13
"2020/01/22",74.401
"2020/01/23",74.331
"2020/01/24",74.181
"2020/01/27",72.77
"2020/01/28",74.931
"2020/01/29",76.92
"2020/01/30",79.111
"2020/01/31",78.511
"2020/02/03",80.63
"2020/02/04",82.02
"2020/02/05",80.74
"2020/02/06",81.441
"2020/02/07",83.161
"2020/02/10",84.611
"2020/02/11",85.331
"2020/02/12",87.331
"2020/02/13",88.03
"2020/02/14",89.411
"2020/02/18",90.761
"2020/02/19",91.49
"2020/02/20",90.31
"2020/02/21",88.731
"2020/02/24",86.371
"2020/02/25",83.06
"2020/02/26",83.581
"2020/02/27",83.21
"2020/02/28",86.31
"2020/03/02",87.96
"2020/03/03",85.81
"2020/03/04",89.551
"2020/03/05",88.6
"2020/03/06",84.02
"2020/03/09",77.63
"2020/03/10",79.82
"2020/03/11",75
"2020/03/12",68.681
"2020/03/13",77.32
"2020/03/16",72.31
"2020/03/17",70.941
"2020/03/18",76.611
"2020/03/19",75.88
"2020/03/20",79.7
"2020/03/23",83.5
"2020/03/24",85
"2020/03/25",81.371
"2020/03/26",83.661
"2020/03/27",82.57
"2020/03/30",88.14
"2020/03/31",92.401
"2020/04/01",92.09
"2020/04/02",84.041
"2020/04/03",79
"2020/04/06",90.151
"2020/04/07",87.971
"2020/04/08",88.371
"2020/04/09",90.63
"2020/04/13",93.971
"2020/04/14",98.431
"2020/04/15",100.53
"2020/04/16",100.681
"2020/04/17",100.35
"2020/04/20",101.801
"2020/04/21",99.331
"2020/04/22",101.791
"2020/04/23",102.191
"2020/04/24",105.07
"2020/04/27",108.25
"2020/04/28",103.941
"2020/04/29",103.401
"2020/04/30",104.75
"2020/05/01",103.52
"2020/05/04",107.081
"2020/05/05",109.35
"2020/05/06",115.49
"2020/05/07",117.7
"2020/05/08",116.56
"2020/05/11",120.651
"2020/05/12",120.261
"2020/05/13",119.07
"2020/05/14",122.011
"2020/05/15",125.88
"2020/05/18",122.92
"2020/05/19",127.221
"2020/05/20",128.771
"2020/05/21",132.851
"2020/05/22",133
"2020/05/26",128.95
"2020/05/27",126.541
"2020/05/28",127.801
"2020/05/29",139.741
"2020/06/01",147.221
"2020/06/02",147.68
"2020/06/03",147.45
"2020/06/04",140.06
"2020/06/05",139.64
"2020/06/08",146.54
"2020/06/09",141.92
"2020/06/10",148.051
"2020/06/11",148.9
"2020/06/12",150.601
"2020/06/15",162.691
"2020/06/16",163.051
"2020/06/17",161.711
"2020/06/18",162.301
"2020/06/19",161.42
"2020/06/22",168.301
"2020/06/23",166.801
"2020/06/24",163.911
"2020/06/25",168.4
"2020/06/26",177.581
"2020/06/29",171.67
"2020/06/30",172.211
"2020/07/01",178.961
"2020/07/02",190.991
"2020/07/06",190.661
"2020/07/07",197.75
"2020/07/08",206.351
"2020/07/09",212.42
"2020/07/10",210.111
"2020/07/13",190.021
"2020/07/14",196.43
"2020/07/15",192.831
"2020/07/16",191.721
"2020/07/17",196.411
"2020/07/20",201.991
"2020/07/21",201.03
"2020/07/22",203.98
"2020/07/23",198.491
"2020/07/24",190.95
"2020/07/27",196.271
"2020/07/28",196.73
"2020/07/29",209.15
"2020/07/30",213.941
"2020/07/31",216.831
"2020/08/03",226.28
"2020/08/04",227.68
"2020/08/05",226.021
"2020/08/06",215.68
"2020/08/07",204.76
"2020/08/10",198.381
"2020/08/11",191.821
"2020/08/12",193.301
"2020/08/13",199.381
"2020/08/14",199.711
"2020/08/17",207.7
"2020/08/18",209.471
"2020/08/19",208.211
"2020/08/20",214.48
"2020/08/21",210.18
"2020/08/24",204.491
"2020/08/25",205.09
"2020/08/26",214.411
"2020/08/27",214.771
"2020/08/28",215.241
"2020/08/31",223
"2020/09/01",268.8
"2020/09/02",265.161
"2020/09/03",242.01
"2020/09/04",216.26
"2020/09/08",205.631
"2020/09/09",211.79
"2020/09/10",205.95
"2020/09/11",197.941
"2020/09/14",202.95
"2020/09/15",202.021
"2020/09/16",197.01
"2020/09/17",193.39
"2020/09/18",194.861
"2020/09/21",205.021
"2020/09/22",212.131
"2020/09/23",211.521
"2020/09/24",203.851
"2020/09/25",212.361
"2020/09/28",213.241
"2020/09/29",212.93
"2020/09/30",215.241
"2020/10/01",222.26
"2020/10/02",218.271
"2020/10/05",225.92
"2020/10/06",221.2
"2020/10/07",224.051
"2020/10/08",220.39
"2020/10/09",225.601
"2020/10/12",231.861
"2020/10/13",238.211
"2020/10/14",237.101
"2020/10/15",240.45
"2020/10/16",234.601
"2020/10/19",228.411
"2020/10/20",227.801
"2020/10/21",218.12
"2020/10/22",214.801
"2020/10/23",219.821
"2020/10/26",220.17
"2020/10/27",222.185
"2020/10/28",218.25
"2020/10/29",213.65
"2020/10/30",202.25
"2020/11/02",201.56
"2020/11/03",208.43
"2020/11/04",235.01
"2020/11/05",236.771
"2020/11/06",231.691
"2020/11/09",197.601
"2020/11/10",198.31
"2020/11/11",208.551
"2020/11/12",212.62
"2020/11/13",205.7
"2020/11/16",208.131
"2020/11/17",211.911
"2020/11/18",214.321
"2020/11/19",219.7
"2020/11/20",221.59
