x,y
"2013/01/02",18.98
"2013/01/03",18.99
"2013/01/04",19.191
"2013/01/07",19.021
"2013/01/08",19.16
"2013/01/09",19.601
"2013/01/10",19.791
"2013/01/11",20.191
"2013/01/14",20.121
"2013/01/15",20.22
"2013/01/16",20.22
"2013/01/17",20.181
"2013/01/18",20.261
"2013/01/22",20.371
"2013/01/23",20.41
"2013/01/24",20.9
"2013/01/25",20.921
"2013/01/28",20.98
"2013/01/29",20.951
"2013/01/30",20.97
"2013/01/31",20.72
"2013/02/01",21.83
"2013/02/04",21.601
"2013/02/05",21.791
"2013/02/06",21.47
"2013/02/07",21.521
"2013/02/08",21.49
"2013/02/11",19.931
"2013/02/12",20.3
"2013/02/13",20.3
"2013/02/14",20.521
"2013/02/15",21.05
"2013/02/19",20.941
"2013/02/20",20.8
"2013/02/21",20.851
"2013/02/22",21.06
"2013/02/25",20.621
"2013/02/26",20.63
"2013/02/27",21.511
"2013/02/28",20.98
"2013/03/01",22.451
"2013/03/04",22.101
"2013/03/05",22.98
"2013/03/06",23.521
"2013/03/07",23.41
"2013/03/08",23.681
"2013/03/11",23.39
"2013/03/12",23.14
"2013/03/13",23.49
"2013/03/14",23.031
"2013/03/15",22.89
"2013/03/18",22.73
"2013/03/19",22.82
"2013/03/20",22.83
"2013/03/21",22.671
"2013/03/22",22.72
"2013/03/25",22.511
"2013/03/26",22.89
"2013/03/27",23.341
"2013/03/28",23.23
"2013/04/01",23.25
"2013/04/02",23.591
"2013/04/03",23.291
"2013/04/04",23.421
"2013/04/05",23.4
"2013/04/08",23.06
"2013/04/09",22.871
"2013/04/10",23.23
"2013/04/11",22.99
"2013/04/12",23
"2013/04/15",22.091
"2013/04/16",22.701
"2013/04/17",21.371
"2013/04/18",21.21
"2013/04/19",20.97
"2013/04/22",21.15
"2013/04/23",21.791
"2013/04/24",22.07
"2013/04/25",21.46
"2013/04/26",21.341
"2013/04/29",21.431
"2013/04/30",21.5
"2013/05/01",21.361
"2013/05/02",21.591
"2013/05/03",22.39
"2013/05/06",23.021
"2013/05/07",23
"2013/05/08",23.07
"2013/05/09",22.98
"2013/05/10",23.101
"2013/05/13",22.691
"2013/05/14",22.82
"2013/05/15",22.75
"2013/05/16",22.66
"2013/05/17",23
"2013/05/20",23.021
"2013/05/21",23.931
"2013/05/22",23.541
"2013/05/23",23.041
"2013/05/24",23.291
"2013/05/28",23.361
"2013/05/29",23.201
"2013/05/30",23.3
"2013/05/31",23.16
"2013/06/03",23.23
"2013/06/04",24.31
"2013/06/05",24.361
"2013/06/06",25.111
"2013/06/07",25.55
"2013/06/10",25.55
"2013/06/11",25.74
"2013/06/12",25.611
"2013/06/13",25.521
"2013/06/14",24.97
"2013/06/17",26.15
"2013/06/18",26.511
"2013/06/19",26.65
"2013/06/20",26.441
"2013/06/21",26.941
"2013/06/24",26
"2013/06/25",26.81
"2013/06/26",26.9
"2013/06/27",27.521
"2013/06/28",27.181
"2013/07/01",25.761
"2013/07/02",25.361
"2013/07/03",25.781
"2013/07/05",26.13
"2013/07/08",27.761
"2013/07/09",27.951
"2013/07/10",28.41
"2013/07/11",28.591
"2013/07/12",28.72
"2013/07/15",29.101
"2013/07/16",28.83
"2013/07/17",28.941
"2013/07/18",29.23
"2013/07/19",29.041
"2013/07/22",29.15
"2013/07/23",29
"2013/07/24",28.871
"2013/07/25",29.21
"2013/07/26",29.21
"2013/07/29",29.08
"2013/07/30",29.121
"2013/07/31",28.951
"2013/08/01",29.021
"2013/08/02",28.65
"2013/08/05",29.701
"2013/08/06",29.39
"2013/08/07",29.441
"2013/08/08",29.72
"2013/08/09",31.521
"2013/08/12",31.181
"2013/08/13",31.64
"2013/08/14",31.871
"2013/08/15",30.46
"2013/08/16",30.671
"2013/08/19",30.271
"2013/08/20",30.361
"2013/08/21",30.73
"2013/08/22",31.4
