x,y
"2012/01/03",7.489
"2012/01/04",7.186
"2012/01/05",7.02
"2012/01/06",6.927
"2012/01/09",7.006
"2012/01/10",7.049
"2012/01/11",7.092
"2012/01/12",7.071
"2012/01/13",6.883
"2012/01/17",6.876
"2012/01/18",7.099
"2012/01/19",7.337
"2012/01/20",7.366
"2012/01/23",7.308
"2012/01/24",7.373
"2012/01/25",6.235
"2012/01/26",6.451
"2012/01/27",6.472
"2012/01/30",6.581
"2012/01/31",6.681
"2012/02/01",6.79
"2012/02/02",6.595
"2012/02/03",6.854
"2012/02/06",6.754
"2012/02/07",6.927
"2012/02/08",6.833
"2012/02/09",6.84
"2012/02/10",6.905
"2012/02/13",6.977
"2012/02/14",6.905
"2012/02/15",6.826
"2012/02/16",7.02
"2012/02/17",7.164
"2012/02/21",7.179
"2012/02/22",6.977
"2012/02/23",7.258
"2012/02/24",7.402
"2012/02/27",7.236
"2012/02/28",7.294
"2012/02/29",7.193
"2012/03/01",7.092
"2012/03/02",7.092
"2012/03/05",6.999
"2012/03/06",6.645
"2012/03/07",6.84
"2012/03/08",6.963
"2012/03/09",7.042
"2012/03/12",7.136
"2012/03/13",7.287
"2012/03/14",7.15
"2012/03/15",7.186
"2012/03/16",7.215
"2012/03/19",7.316
"2012/03/20",7.258
"2012/03/21",7.157
"2012/03/22",7.136
"2012/03/23",7.2
"2012/03/26",7.388
"2012/03/27",7.395
"2012/03/28",7.402
"2012/03/29",7.323
"2012/03/30",7.431
"2012/04/02",7.46
"2012/04/03",7.474
"2012/04/04",7.193
"2012/04/05",6.999
"2012/04/09",6.977
"2012/04/10",6.898
"2012/04/11",7.056
"2012/04/12",7.049
"2012/04/13",6.775
"2012/04/16",6.818
"2012/04/17",6.883
"2012/04/18",6.948
"2012/04/19",6.898
"2012/04/20",6.89
"2012/04/23",6.66
"2012/04/24",6.811
"2012/04/25",6.876
"2012/04/26",6.991
"2012/04/27",7.179
"2012/04/30",7.208
"2012/05/01",7.164
"2012/05/02",7.013
"2012/05/03",6.912
"2012/05/04",6.918
"2012/05/07",6.888
"2012/05/08",6.873
"2012/05/09",6.753
"2012/05/10",6.79
"2012/05/11",6.798
"2012/05/14",6.535
"2012/05/15",6.355
"2012/05/16",6.258
"2012/05/17",6.235
"2012/05/18",6.273
"2012/05/21",6.498
"2012/05/22",6.46
"2012/05/23",6.445
"2012/05/24",6.468
"2012/05/25",6.438
"2012/05/29",6.7
"2012/05/30",6.468
"2012/05/31",6.363
"2012/06/01",6.22
"2012/06/04",6.258
"2012/06/05",6.333
"2012/06/06",6.498
"2012/06/07",6.408
"2012/06/08",6.423
"2012/06/11",6.408
"2012/06/12",6.7
"2012/06/13",6.655
"2012/06/14",6.603
"2012/06/15",6.715
"2012/06/18",6.708
"2012/06/19",6.88
"2012/06/20",6.956
"2012/06/21",6.595
"2012/06/22",6.685
"2012/06/25",6.55
"2012/06/26",6.475
"2012/06/27",6.475
"2012/06/28",6.468
"2012/06/29",6.85
"2012/07/02",6.82
"2012/07/03",6.933
"2012/07/05",6.768
"2012/07/06",6.655
"2012/07/09",6.678
"2012/07/10",6.588
"2012/07/11",6.595
"2012/07/12",6.408
"2012/07/13",6.408
"2012/07/16",6.288
"2012/07/17",6.235
"2012/07/18",6.49
"2012/07/19",6.603
"2012/07/20",6.535
"2012/07/23",6.468
"2012/07/24",6.378
"2012/07/25",6.505
"2012/07/26",6.708
"2012/07/27",6.918
"2012/07/30",6.85
"2012/07/31",6.941
"2012/08/01",6.993
"2012/08/02",6.941
"2012/08/03",7.158
"2012/08/06",7.083
"2012/08/07",7.136
"2012/08/08",7.248
"2012/08/09",7.271
"2012/08/10",7.331
"2012/08/13",7.203
"2012/08/14",7.196
"2012/08/15",7.241
"2012/08/16",7.346
"2012/08/17",7.526
"2012/08/20",7.458
"2012/08/21",7.376
"2012/08/22",7.331
"2012/08/23",7.353
"2012/08/24",7.241
"2012/08/27",7.353
"2012/08/28",7.158
"2012/08/29",7.203
"2012/08/30",6.911
"2012/08/31",6.978
"2012/09/04",6.805
"2012/09/05",6.715
"2012/09/06",6.82
"2012/09/07",6.926
"2012/09/10",6.805
"2012/09/11",6.918
"2012/09/12",7.046
"2012/09/13",7.166
"2012/09/14",7.248
"2012/09/17",7.248
"2012/09/18",7.151
"2012/09/19",7.203
"2012/09/20",7.203
"2012/09/21",7.173
"2012/09/24",7.083
"2012/09/25",6.911
"2012/09/26",6.85
"2012/09/27",6.993
"2012/09/28",6.843
"2012/10/01",6.783
"2012/10/02",6.775
"2012/10/03",6.693
"2012/10/04",6.828
"2012/10/05",6.775
"2012/10/08",6.708
"2012/10/09",6.558
"2012/10/10",6.49
"2012/10/11",6.46
"2012/10/12",6.565
"2012/10/15",6.58
"2012/10/16",6.708
"2012/10/17",6.745
"2012/10/18",6.88
"2012/10/19",6.79
"2012/10/22",6.805
"2012/10/23",6.648
"2012/10/24",6.558
"2012/10/25",6.805
"2012/10/26",6.513
"2012/10/31",6.67
"2012/11/01",6.64
"2012/11/02",6.64
"2012/11/05",6.7
"2012/11/06",6.633
"2012/11/07",6.775
"2012/11/08",6.61
"2012/11/09",6.595
"2012/11/12",6.565
"2012/11/13",6.483
"2012/11/14",6.438
"2012/11/15",6.408
"2012/11/16",6.348
"2012/11/19",6.513
"2012/11/20",6.445
"2012/11/21",6.565
"2012/11/23",6.76
"2012/11/26",6.813
"2012/11/27",6.67
"2012/11/28",6.82
"2012/11/29",6.941
