x,y
"2008/01/02",18.986
"2008/01/03",19.089
"2008/01/04",18.774
"2008/01/07",18.181
"2008/01/08",17.922
"2008/01/09",18.082
"2008/01/10",17.78
"2008/01/11",17.521
"2008/01/14",18.124
"2008/01/15",17.418
"2008/01/16",17.634
"2008/01/17",17.86
"2008/01/18",18.105
"2008/01/22",17.95
"2008/01/23",18.369
"2008/01/24",18.981
"2008/01/25",18.915
"2008/01/28",19.475
"2008/01/29",19.847
"2008/01/30",19.588
"2008/01/31",19.975
"2008/02/01",20.474
"2008/02/04",20.483
"2008/02/05",19.932
"2008/02/06",19.772
"2008/02/07",19.753
"2008/02/08",19.584
"2008/02/11",19.829
"2008/02/12",20.05
"2008/02/13",20.106
"2008/02/14",19.118
"2008/02/15",19.796
"2008/02/19",19.141
"2008/02/20",19.499
"2008/02/21",19.57
"2008/02/22",19.551
"2008/02/25",19.918
"2008/02/26",19.989
"2008/02/27",20.059
"2008/02/28",19.894
"2008/02/29",19.537
"2008/03/03",19.311
"2008/03/04",19.212
"2008/03/05",19.358
"2008/03/06",18.877
"2008/03/07",18.364
"2008/03/10",18.03
"2008/03/11",18.581
"2008/03/12",18.426
"2008/03/13",18.336
"2008/03/14",17.761
"2008/03/17",17.12
"2008/03/18",17.563
"2008/03/19",17.893
"2008/03/20",18.27
"2008/03/24",18.954
"2008/03/25",18.926
"2008/03/26",18.388
"2008/03/27",18.124
"2008/03/28",17.846
"2008/03/31",17.983
"2008/04/01",17.917
"2008/04/02",17.841
"2008/04/03",17.789
"2008/04/04",17.987
"2008/04/07",17.775
"2008/04/08",17.507
"2008/04/09",17.224
"2008/04/10",17.03
"2008/04/11",16.611
"2008/04/14",16.46
"2008/04/15",16.455
"2008/04/16",16.941
"2008/04/17",16.936
"2008/04/18",17.95
"2008/04/21",17.907
"2008/04/22",17.573
"2008/04/23",17.907
"2008/04/24",18.119
"2008/04/25",17.153
"2008/04/28",17.45
"2008/04/29",17.129
"2008/04/30",17.002
"2008/05/01",17.464
"2008/05/02",17.676
"2008/05/05",17.549
"2008/05/06",17.898
"2008/05/07",17.587
"2008/05/08",17.606
"2008/05/09",17.445
"2008/05/12",17.695
"2008/05/13",17.997
"2008/05/14",18.44
"2008/05/15",18.723
"2008/05/16",18.492
"2008/05/19",18.567
"2008/05/20",18.294
"2008/05/21",18.327
"2008/05/22",18.332
"2008/05/23",17.973
"2008/05/27",18.365
"2008/05/28",18.945
"2008/05/29",19.095
"2008/05/30",18.992
"2008/06/02",19.02
"2008/06/03",18.978
"2008/06/04",19.402
"2008/06/05",19.878
"2008/06/06",18.912
"2008/06/09",18.218
"2008/06/10",18.421
"2008/06/11",18.129
"2008/06/12",18.473
"2008/06/13",18.879
"2008/06/16",18.794
"2008/06/17",18.582
"2008/06/18",18.317
"2008/06/19",18.577
"2008/06/20",18.176
"2008/06/23",17.907
"2008/06/24",17.774
"2008/06/25",18.072
"2008/06/26",17.534
"2008/06/27",17.453
"2008/06/30",17.425
"2008/07/01",17.52
"2008/07/02",17.586
"2008/07/03",17.069
"2008/07/07",16.73
"2008/07/08",17.84
"2008/07/09",18.442
"2008/07/10",17.797
"2008/07/11",17.628
"2008/07/14",17.264
"2008/07/15",16.755
"2008/07/16",16.95
"2008/07/17",17.425
"2008/07/18",17.662
"2008/07/21",16.814
"2008/07/22",17.289
"2008/07/23",17.382
"2008/07/24",17.052
"2008/07/25",16.577
"2008/07/28",16.467
"2008/07/29",17.043
"2008/07/30",16.696
"2008/07/31",16.06
"2008/08/01",16.213
"2008/08/04",16.077
"2008/08/05",16.077
"2008/08/06",19.069
"2008/08/07",18.984
"2008/08/08",19.67
"2008/08/11",19.755
"2008/08/12",19.442
"2008/08/13",19.314
"2008/08/14",19.442
"2008/08/15",19.569
"2008/08/18",19.247
"2008/08/19",18.992
"2008/08/20",18.84
"2008/08/21",18.781
"2008/08/22",18.925
"2008/08/25",18.62
"2008/08/26",18.467
"2008/08/27",18.628
"2008/08/28",19.043
"2008/08/29",18.518
"2008/09/02",18.696
"2008/09/03",18.391
"2008/09/04",17.865
"2008/09/05",17.679
"2008/09/08",18.153
"2008/09/09",17.916
"2008/09/10",18.289
"2008/09/11",18.34
"2008/09/12",18.544
"2008/09/15",17.737
"2008/09/16",17.941
"2008/09/17",16.785
"2008/09/18",17.159
"2008/09/19",17.295
"2008/09/22",16.174
"2008/09/23",16.48
"2008/09/24",16.548
"2008/09/25",16.913
"2008/09/26",16.769
"2008/09/29",15.367
"2008/09/30",15.681
"2008/10/01",15.443
"2008/10/02",14.866
"2008/10/03",14.475
"2008/10/06",13.719
"2008/10/07",12.971
"2008/10/08",12.997
"2008/10/09",12.47
"2008/10/10",12.861
"2008/10/13",14.22
"2008/10/14",14.433
"2008/10/15",12.912
"2008/10/16",12.929
"2008/10/17",13.218
"2008/10/20",13.753
"2008/10/21",12.921
"2008/10/22",11.884
"2008/10/23",11.621
"2008/10/24",11.358
"2008/10/27",10.593
"2008/10/28",13.481
"2008/10/29",12.19
"2008/10/30",12.589
"2008/10/31",12.819
"2008/11/03",13.133
"2008/11/04",14.237
"2008/11/05",13.744
"2008/11/06",13.218
"2008/11/07",13.727
"2008/11/10",13.651
"2008/11/11",12.955
"2008/11/12",12.827
"2008/11/13",14.288
"2008/11/14",13.464
"2008/11/17",13.133
"2008/11/18",13.048
"2008/11/19",12.266
"2008/11/20",11.383
"2008/11/21",11.723
"2008/11/24",13.039
"2008/11/25",13.328
"2008/11/26",14.331
"2008/11/28",14.594
"2008/12/01",13.558
"2008/12/02",14.084
"2008/12/03",14.399
"2008/12/04",13.694
"2008/12/05",14.484
"2008/12/08",14.441
"2008/12/09",14.127
"2008/12/10",14.084
"2008/12/11",13.616
"2008/12/12",14.042
"2008/12/15",13.207
"2008/12/16",13.726
"2008/12/17",14.246
"2008/12/18",14.11
"2008/12/19",14.442
"2008/12/22",13.914
"2008/12/23",13.684
"2008/12/24",13.675
"2008/12/26",13.709
"2008/12/29",13.394
"2008/12/30",13.513
"2008/12/31",13.863
