x,y
"2012/01/03",14.641
"2012/01/04",14.535
"2012/01/05",14.673
"2012/01/06",14.601
"2012/01/09",14.733
"2012/01/10",14.798
"2012/01/11",14.931
"2012/01/12",15.261
"2012/01/13",15.198
"2012/01/17",15.315
"2012/01/18",15.471
"2012/01/19",15.641
"2012/01/20",15.66
"2012/01/23",15.708
"2012/01/24",15.73
"2012/01/25",15.851
"2012/01/26",15.815
"2012/01/27",15.763
"2012/01/30",15.653
"2012/01/31",15.723
"2012/02/01",15.963
"2012/02/02",15.778
"2012/02/03",16.47
"2012/02/06",16.303
"2012/02/07",16.233
"2012/02/08",16.223
"2012/02/09",16.223
"2012/02/10",16.058
"2012/02/13",16.236
"2012/02/14",16.343
"2012/02/15",16.163
"2012/02/16",16.306
"2012/02/17",16.278
"2012/02/21",16.328
"2012/02/22",16.318
"2012/02/23",16.46
"2012/02/24",16.718
"2012/02/27",16.621
"2012/02/28",16.636
"2012/02/29",16.576
"2012/03/01",16.681
"2012/03/02",16.603
"2012/03/05",16.636
"2012/03/06",16.525
"2012/03/07",16.71
"2012/03/08",16.97
"2012/03/09",16.993
"2012/03/12",17.053
"2012/03/13",17.218
"2012/03/14",17.323
"2012/03/15",17.361
"2012/03/16",17.293
"2012/03/19",17.23
"2012/03/20",17.193
"2012/03/21",17.248
"2012/03/22",17.25
"2012/03/23",17.316
"2012/03/26",17.49
"2012/03/27",17.425
"2012/03/28",17.373
"2012/03/29",17.398
"2012/03/30",17.348
"2012/04/02",17.603
"2012/04/03",17.556
"2012/04/04",17.303
"2012/04/05",17.335
"2012/04/09",17.193
"2012/04/10",16.898
"2012/04/11",17.088
"2012/04/12",17.278
"2012/04/13",17.125
"2012/04/16",17.185
"2012/04/17",17.508
"2012/04/18",17.306
"2012/04/19",17.183
"2012/04/20",17.23
"2012/04/23",17.25
"2012/04/24",17.263
"2012/04/25",17.33
"2012/04/26",17.518
"2012/04/27",17.668
"2012/04/30",17.573
"2012/05/01",17.688
"2012/05/02",17.458
"2012/05/03",17.268
"2012/05/04",16.878
"2012/05/07",16.765
"2012/05/08",16.636
"2012/05/09",16.57
"2012/05/10",16.618
"2012/05/11",16.64
"2012/05/14",16.511
"2012/05/15",16.546
"2012/05/16",16.49
"2012/05/17",16.333
"2012/05/18",16.153
"2012/05/21",16.496
"2012/05/22",16.558
"2012/05/23",16.675
"2012/05/24",16.74
"2012/05/25",16.793
"2012/05/29",16.906
"2012/05/30",16.675
"2012/05/31",16.858
"2012/06/01",16.396
"2012/06/04",16.603
"2012/06/05",16.783
"2012/06/06",17.118
"2012/06/07",17.118
"2012/06/08",17.275
"2012/06/11",17.113
"2012/06/12",17.275
"2012/06/13",17.115
"2012/06/14",17.433
"2012/06/15",17.718
"2012/06/18",17.591
"2012/06/19",17.703
"2012/06/20",17.73
"2012/06/21",17.218
"2012/06/22",17.421
"2012/06/25",17.216
"2012/06/26",17.298
"2012/06/27",17.608
"2012/06/28",17.453
"2012/06/29",18.056
"2012/07/02",18.15
"2012/07/03",18.216
"2012/07/05",18.198
"2012/07/06",18.021
"2012/07/09",18.021
"2012/07/10",17.63
"2012/07/11",17.74
"2012/07/12",17.621
"2012/07/13",17.738
"2012/07/16",17.768
"2012/07/17",17.798
"2012/07/18",17.988
"2012/07/19",17.88
"2012/07/20",17.775
"2012/07/23",17.418
"2012/07/24",17.3
"2012/07/25",17.243
"2012/07/26",17.701
"2012/07/27",18.095
"2012/07/30",18.063
"2012/07/31",17.533
"2012/08/01",17.413
"2012/08/02",17.048
"2012/08/03",17.406
"2012/08/06",17.398
"2012/08/07",17.355
"2012/08/08",17.541
"2012/08/09",17.508
"2012/08/10",17.47
"2012/08/13",17.703
"2012/08/14",17.693
"2012/08/15",17.791
"2012/08/16",17.873
"2012/08/17",17.853
"2012/08/20",17.688
"2012/08/21",17.703
"2012/08/22",17.595
"2012/08/23",17.618
"2012/08/24",17.718
"2012/08/27",17.653
"2012/08/28",17.513
"2012/08/29",17.793
"2012/08/30",17.71
"2012/08/31",17.828
"2012/09/04",17.868
"2012/09/05",17.861
"2012/09/06",18.191
"2012/09/07",18.203
"2012/09/10",18.101
"2012/09/11",18.095
"2012/09/12",17.988
"2012/09/13",18.038
"2012/09/14",17.948
"2012/09/17",17.96
"2012/09/18",18.015
"2012/09/19",18.173
"2012/09/20",18.361
"2012/09/21",18.548
"2012/09/24",18.496
"2012/09/25",18.233
"2012/09/26",18.268
"2012/09/27",18.433
"2012/09/28",18.508
"2012/10/01",18.528
"2012/10/02",18.455
"2012/10/03",18.543
"2012/10/04",18.648
"2012/10/05",18.553
"2012/10/08",18.658
"2012/10/09",18.418
"2012/10/10",18.21
"2012/10/11",18.375
"2012/10/12",18.441
"2012/10/15",18.803
"2012/10/16",18.943
"2012/10/17",18.938
"2012/10/18",18.966
"2012/10/19",18.828
"2012/10/22",18.89
"2012/10/23",18.761
"2012/10/24",18.703
"2012/10/25",18.783
"2012/10/26",18.813
"2012/10/31",18.716
"2012/11/01",18.848
"2012/11/02",18.81
"2012/11/05",18.705
"2012/11/06",18.878
"2012/11/07",18.605
"2012/11/08",18.425
"2012/11/09",18.478
"2012/11/12",18.49
"2012/11/13",18.458
"2012/11/14",18.146
"2012/11/15",18.148
"2012/11/16",18.388
"2012/11/19",18.406
"2012/11/20",18.573
"2012/11/21",18.666
"2012/11/23",18.858
"2012/11/26",18.845
"2012/11/27",18.783
"2012/11/28",18.898
"2012/11/29",19.033
"2012/11/30",19.248
"2012/12/03",19.226
"2012/12/04",19.421
"2012/12/05",19.928
"2012/12/06",19.973
"2012/12/07",19.953
"2012/12/10",20.028
"2012/12/11",20.168
"2012/12/12",20.06
"2012/12/13",19.983
"2012/12/14",19.918
"2012/12/17",20.125
"2012/12/18",20.278
"2012/12/19",19.923
"2012/12/20",20.056
"2012/12/21",19.925
"2012/12/24",19.935
"2012/12/26",19.736
