x,y
"2013/01/02",55.181
"2013/01/03",54.89
"2013/01/04",55
"2013/01/07",55.811
"2013/01/08",55.741
"2013/01/09",55.98
"2013/01/10",56.71
"2013/01/11",56.57
"2013/01/14",56.931
"2013/01/15",57.201
"2013/01/16",57.17
"2013/01/17",58.19
"2013/01/18",59.081
"2013/01/22",58.73
"2013/01/23",58.021
"2013/01/24",59.361
"2013/01/25",60.26
"2013/01/28",59.341
"2013/01/29",59.081
"2013/01/30",59.51
"2013/01/31",59.841
"2013/02/01",60.03
"2013/02/04",59.78
"2013/02/05",59.89
"2013/02/06",59.901
"2013/02/07",59.55
"2013/02/08",66.011
"2013/02/11",66.151
"2013/02/12",66.03
"2013/02/13",66.041
"2013/02/14",66.53
"2013/02/15",68.471
"2013/02/19",69.551
"2013/02/20",68.651
"2013/02/21",67.7
"2013/02/22",67.971
"2013/02/25",67.28
"2013/02/26",67.45
"2013/02/27",68.231
"2013/02/28",69.81
"2013/03/01",70.34
"2013/03/04",71.181
"2013/03/05",72.07
"2013/03/06",72.25
"2013/03/07",69.88
"2013/03/08",70.52
"2013/03/11",70.411
"2013/03/12",70.401
"2013/03/13",70.5
"2013/03/14",70.56
"2013/03/15",69.52
"2013/03/18",69.46
"2013/03/19",68.831
"2013/03/20",69.74
"2013/03/21",72.38
"2013/03/22",75.82
"2013/03/25",75.46
"2013/03/26",76.691
"2013/03/27",76.051
"2013/03/28",76.67
"2013/04/01",77.24
"2013/04/02",77.831
"2013/04/03",77.27
"2013/04/04",77.261
"2013/04/05",75.25
"2013/04/08",76.441
"2013/04/09",77.081
"2013/04/10",78.361
"2013/04/11",77.57
"2013/04/12",77.03
"2013/04/15",73.81
"2013/04/16",75.051
"2013/04/17",74.1
"2013/04/18",72.42
"2013/04/19",73.441
"2013/04/22",75.301
"2013/04/23",77.221
"2013/04/24",75.931
"2013/04/25",74.99
"2013/04/26",75.481
"2013/04/29",75.441
"2013/04/30",76.901
"2013/05/01",74.901
"2013/05/02",77.2
"2013/05/03",80.34
"2013/05/06",81.971
"2013/05/07",82.17
"2013/05/08",82.84
"2013/05/09",81.581
"2013/05/10",81.25
"2013/05/13",82.35
"2013/05/14",84.21
"2013/05/15",81.901
"2013/05/16",81.221
"2013/05/17",82.051
"2013/05/20",83.431
"2013/05/21",84.011
"2013/05/22",81.84
"2013/05/23",82.06
"2013/05/24",82.541
"2013/05/28",84.35
"2013/05/29",85.911
"2013/05/30",87.39
"2013/05/31",87.081
"2013/06/03",86.14
"2013/06/04",85.331
"2013/06/05",84.13
"2013/06/06",85.42
"2013/06/07",87.111
"2013/06/10",88.1
"2013/06/11",87.581
"2013/06/12",87.541
"2013/06/13",87.791
"2013/06/14",87.651
"2013/06/17",88.07
"2013/06/18",89.121
"2013/06/19",88.151
"2013/06/20",83.941
"2013/06/21",83.801
"2013/06/24",82.38
"2013/06/25",83.401
"2013/06/26",84.911
"2013/06/27",83.17
"2013/06/28",81.301
"2013/07/01",82.88
"2013/07/02",82.411
"2013/07/03",83.24
"2013/07/05",84.34
"2013/07/08",84.261
"2013/07/09",85.801
"2013/07/10",85.67
"2013/07/11",86.651
"2013/07/12",85.971
"2013/07/15",86.13
"2013/07/16",84.941
"2013/07/17",85.57
"2013/07/18",87
"2013/07/19",86.871
"2013/07/22",87.611
"2013/07/23",87.081
"2013/07/24",87.74
"2013/07/25",87.611
"2013/07/26",90.46
"2013/07/29",89.121
"2013/07/30",89.57
"2013/07/31",89.77
"2013/08/01",91.85
"2013/08/02",98.441
"2013/08/05",98.78
"2013/08/06",98.191
"2013/08/07",97.941
"2013/08/08",98.901
"2013/08/09",98.67
"2013/08/12",97.25
"2013/08/13",97.45
"2013/08/14",99.431
"2013/08/15",97.52
"2013/08/16",97.67
"2013/08/19",97.511
"2013/08/20",97.801
"2013/08/21",96.96
"2013/08/22",103.121
"2013/08/23",102.82
"2013/08/26",104.7
"2013/08/27",103.17
"2013/08/28",103.09
"2013/08/29",104.481
"2013/08/30",103.111
"2013/09/03",105.801
"2013/09/04",103.99
"2013/09/05",104.011
"2013/09/06",103.331
"2013/09/09",103.21
"2013/09/10",106.09
"2013/09/11",107.411
"2013/09/12",107.24
"2013/09/13",107.231
"2013/09/16",108.471
"2013/09/17",109.57
"2013/09/18",110.981
"2013/09/19",110.731
"2013/09/20",110.681
"2013/09/23",109.871
"2013/09/24",110.42
"2013/09/25",110.931
"2013/09/26",110.1
"2013/09/27",111.17
"2013/09/30",110.161
"2013/10/01",111.371
"2013/10/02",113.6
"2013/10/03",111.151
"2013/10/04",112.041
"2013/10/07",111.81
"2013/10/08",104.57
"2013/10/09",103.09
"2013/10/10",107.081
"2013/10/11",106.59
"2013/10/14",106.1
"2013/10/15",106.791
"2013/10/16",110.411
"2013/10/17",111.301
"2013/10/18",112.49
"2013/10/21",112.32
"2013/10/22",113.361
"2013/10/23",111.09
"2013/10/24",110.411
"2013/10/25",109.581
"2013/10/28",108.471
"2013/10/29",111.24
"2013/10/30",107.161
"2013/10/31",115.35
"2013/11/01",114.161
"2013/11/04",114.401
"2013/11/05",116.27
"2013/11/06",114.71
"2013/11/07",111.181
"2013/11/08",113.6
"2013/11/11",114.861
"2013/11/12",114.82
"2013/11/13",116.99
"2013/11/14",117.49
"2013/11/15",118.2
"2013/11/18",118.03
"2013/11/19",116.081
"2013/11/20",116.981
"2013/11/21",119.361
"2013/11/22",120.931
"2013/11/25",120.721
"2013/11/26",120.52
"2013/11/27",121.2
"2013/11/29",121.78
"2013/12/02",122.7
"2013/12/03",122.051
"2013/12/04",121.99
"2013/12/05",122.191
"2013/12/06",118.731
"2013/12/09",118.31
"2013/12/10",118.481
"2013/12/11",116.78
"2013/12/12",116.59
"2013/12/13",118.121
"2013/12/16",118.6
"2013/12/17",118.151
"2013/12/18",119.121
"2013/12/19",117.06
"2013/12/20",117.871
"2013/12/23",118.621
"2013/12/24",118.09
"2013/12/26",118.53
"2013/12/27",115.95
"2013/12/30",114.27
"2013/12/31",117.17
