x,y
"2020/01/02",938.034
"2020/01/03",934.228
"2020/01/06",931.194
"2020/01/07",937.912
"2020/01/08",937.22
"2020/01/09",951.034
"2020/01/10",951.034
"2020/01/13",952.22
"2020/01/14",950.03
"2020/01/15",945.074
"2020/01/16",946.329
"2020/01/17",950.661
"2020/01/21",950.661
"2020/01/22",950.661
"2020/01/23",942.845
"2020/01/24",937.297
"2020/01/27",916.969
"2020/01/28",920.747
"2020/01/29",926.277
"2020/01/30",928.439
"2020/01/31",921.809
"2020/02/03",918.298
"2020/02/04",934.494
"2020/02/05",943.41
"2020/02/06",942.855
"2020/02/07",952.986
"2020/02/10",958.984
"2020/02/11",958.984
"2020/02/12",954.239
"2020/02/13",941.229
"2020/02/14",941.229
"2020/02/18",941.229
"2020/02/19",941.229
"2020/02/20",937.746
"2020/02/21",926.334
"2020/02/24",900.495
"2020/02/25",878.981
"2020/02/26",884.367
"2020/02/27",893.359
"2020/02/28",851.812
"2020/03/02",883.86
"2020/03/03",874.963
"2020/03/04",898.544
"2020/03/05",859.418
"2020/03/06",854.003
"2020/03/09",787.67
"2020/03/10",801.513
"2020/03/11",752.093
"2020/03/12",722.279
"2020/03/13",759.948
"2020/03/16",683.863
"2020/03/17",680.46
"2020/03/18",541.647
"2020/03/19",558.95
"2020/03/20",556.753
"2020/03/23",539.965
"2020/03/24",630.962
"2020/03/25",659.852
"2020/03/26",659.852
"2020/03/27",650.218
"2020/03/30",679.255
"2020/03/31",699.64
"2020/04/01",702.07
"2020/04/02",710.498
"2020/04/03",670.837
"2020/04/06",736.452
"2020/04/07",749.955
"2020/04/08",759.199
"2020/04/09",791.045
"2020/04/13",791.045
"2020/04/14",782.014
"2020/04/15",745.224
"2020/04/16",728.336
"2020/04/17",770.33
"2020/04/20",761.144
"2020/04/21",761.144
"2020/04/22",761.144
"2020/04/23",760.123
"2020/04/24",763.224
"2020/04/27",807.084
"2020/04/28",807.084
"2020/04/29",833.331
"2020/04/30",806.618
"2020/05/01",768.648
"2020/05/04",778.933
"2020/05/05",778.933
"2020/05/06",752.784
"2020/05/07",752.784
"2020/05/08",761.289
"2020/05/11",758.354
"2020/05/12",762.082
"2020/05/13",712.977
"2020/05/14",712.977
"2020/05/15",712.977
"2020/05/18",712.977
"2020/05/19",712.977
"2020/05/20",764.167
"2020/05/21",748.934
"2020/05/22",748.934
"2020/05/26",787.39
"2020/05/27",801.582
"2020/05/28",779.215
"2020/05/29",789.83
"2020/06/01",800.046
"2020/06/02",814.103
"2020/06/03",814.103
"2020/06/04",843.333
"2020/06/05",893.736
"2020/06/08",875.995
"2020/06/09",875.995
"2020/06/10",875.995
"2020/06/11",805.509
"2020/06/12",802.884
"2020/06/15",801.877
"2020/06/16",854.236
"2020/06/17",854.236
"2020/06/18",854.236
"2020/06/19",865.261
"2020/06/22",860.237
"2020/06/23",861.649
"2020/06/24",847.17
"2020/06/25",840.794
"2020/06/26",840.794
"2020/06/29",840.794
"2020/06/30",849.992
"2020/07/01",849.992
"2020/07/02",849.992
"2020/07/06",849.992
"2020/07/07",849.992
"2020/07/08",849.992
"2020/07/09",848.798
"2020/07/10",851.325
"2020/07/13",851.325
"2020/07/14",851.325
"2020/07/15",851.325
"2020/07/16",851.325
"2020/07/17",912.951
"2020/07/20",912.951
"2020/07/21",912.951
"2020/07/22",912.951
"2020/07/23",912.951
"2020/07/24",912.951
"2020/07/27",912.951
"2020/07/28",912.951
"2020/07/29",911.955
"2020/07/30",903.082
"2020/07/31",872.703
"2020/08/03",880.312
"2020/08/04",880.312
"2020/08/05",881.131
"2020/08/06",888.277
"2020/08/07",888.277
"2020/08/10",888.277
"2020/08/11",888.277
"2020/08/12",888.277
"2020/08/13",917.245
"2020/08/14",917.245
"2020/08/17",914.728
"2020/08/18",903.565
"2020/08/19",897.762
"2020/08/20",897.762
"2020/08/21",897.762
"2020/08/24",897.762
"2020/08/25",892.264
"2020/08/26",895.413
"2020/08/27",895.679
"2020/08/28",897.229
"2020/08/31",901.759
"2020/09/01",918.281
"2020/09/02",920.225
"2020/09/03",917.699
"2020/09/04",917.699
"2020/09/08",916.199
"2020/09/09",938.159
"2020/09/10",943.37
"2020/09/11",947.12
"2020/09/14",962.211
"2020/09/15",962.211
"2020/09/16",952.99
"2020/09/17",952.99
"2020/09/21",911.191
"2020/09/22",911.191
"2020/09/23",906.68
"2020/09/24",905.35
"2020/09/25",922.709
"2020/09/28",941.23
"2020/09/29",943.091
"2020/09/30",936.341
"2020/10/01",940.04
"2020/10/02",960.99
"2020/10/05",967.93
"2020/10/06",968
"2020/10/07",968
"2020/10/08",992.461
"2020/10/09",992.461
"2020/10/12",984.951
"2020/10/13",975
"2020/10/14",950.05
"2020/10/15",968.401
"2020/10/16",968.401
"2020/10/19",968.401
"2020/10/20",968.401
"2020/10/21",940
"2020/10/22",967.5
"2020/10/23",967.5
"2020/10/26",959.951
"2020/10/27",933
"2020/10/28",915.23
"2020/10/29",915.23
"2020/10/30",924.331
"2020/11/02",932
"2020/11/03",955.881
"2020/11/04",939.321
"2020/11/05",990
"2020/11/06",986.641
"2020/11/09",1016.24
"2020/11/10",1008.781
"2020/11/11",1008.781
"2020/11/12",1008.781
"2020/11/13",1017.391
"2020/11/16",1022.451
"2020/11/17",1020.281
"2020/11/18",1016.881
"2020/11/19",1016.881
"2020/11/20",1016.86
