x,y
"2011/01/03",17.541
"2011/01/04",17.07
"2011/01/05",17.14
"2011/01/06",17.22
"2011/01/07",17.351
"2011/01/10",17.201
"2011/01/11",17.73
"2011/01/12",18.25
"2011/01/13",18.06
"2011/01/14",18.22
"2011/01/18",18.531
"2011/01/19",18.63
"2011/01/20",18.41
"2011/01/21",18.421
"2011/01/24",18.74
"2011/01/25",18.8
"2011/01/26",19.74
"2011/01/27",19.431
"2011/01/28",19.171
"2011/01/31",19.261
"2011/02/01",19.691
"2011/02/02",19.951
"2011/02/03",20.25
"2011/02/04",20.24
"2011/02/07",20.33
"2011/02/08",20.341
"2011/02/09",20.15
"2011/02/10",20.091
"2011/02/11",20.25
"2011/02/14",19.861
"2011/02/15",19.71
"2011/02/16",20.07
"2011/02/17",19.96
"2011/02/18",19.91
"2011/02/22",19.66
"2011/02/23",19.64
"2011/02/24",19.761
"2011/02/25",19.841
"2011/02/28",19.951
"2011/03/01",19.761
"2011/03/02",19.951
"2011/03/03",19.841
"2011/03/04",19.88
"2011/03/07",19.48
"2011/03/08",19.56
"2011/03/09",19.591
"2011/03/10",19.31
"2011/03/11",19.63
"2011/03/14",19.63
"2011/03/15",19.261
"2011/03/16",19.371
"2011/03/17",19.291
"2011/03/18",19.781
"2011/03/21",20.23
"2011/03/22",20.191
"2011/03/23",20.341
"2011/03/24",20.5
"2011/03/25",20.41
"2011/03/28",20.531
"2011/03/29",20.591
"2011/03/30",20.951
"2011/03/31",20.931
"2011/04/01",21.681
"2011/04/04",21.701
"2011/04/05",21.511
"2011/04/06",21.48
"2011/04/07",21.091
"2011/04/08",21.07
"2011/04/11",20.97
"2011/04/12",20.96
"2011/04/13",21.06
"2011/04/14",21.681
"2011/04/15",21.601
"2011/04/18",21.4
"2011/04/19",21.8
"2011/04/20",21.32
"2011/04/21",21.32
"2011/04/25",21.681
"2011/04/26",21.48
"2011/04/27",21.091
"2011/04/28",21.75
"2011/04/29",21.9
"2011/05/02",21.771
"2011/05/03",21.39
"2011/05/04",21.06
"2011/05/05",20.57
"2011/05/06",20.75
"2011/05/09",21.271
"2011/05/10",21.701
"2011/05/11",21.65
"2011/05/12",21.63
"2011/05/13",21.39
"2011/05/16",21.08
"2011/05/17",21.25
"2011/05/18",21.24
"2011/05/19",21.5
"2011/05/20",21.39
"2011/05/23",20.921
"2011/05/24",21.25
"2011/05/25",21.591
"2011/05/26",21.83
"2011/05/27",22.281
"2011/05/31",22.99
"2011/06/01",23.05
"2011/06/02",23.15
"2011/06/03",23.101
"2011/06/06",22.921
"2011/06/07",22.921
"2011/06/08",22.83
"2011/06/09",22.771
"2011/06/10",22.64
"2011/06/13",22.46
"2011/06/14",22.55
"2011/06/15",22.261
"2011/06/16",22.041
"2011/06/17",21.91
"2011/06/20",22.181
"2011/06/21",22.451
"2011/06/22",22.681
"2011/06/23",22.57
"2011/06/24",22.33
"2011/06/27",22.511
"2011/06/28",22.861
"2011/06/29",23.71
"2011/06/30",24.65
"2011/07/01",25.57
"2011/07/05",23.861
"2011/07/06",24.091
"2011/07/07",24.201
"2011/07/08",23.9
"2011/07/11",23.171
"2011/07/12",23.871
"2011/07/13",23.57
"2011/07/14",23.351
"2011/07/15",23.171
"2011/07/18",23.22
"2011/07/19",23.56
"2011/07/20",23.451
"2011/07/21",23.41
"2011/07/22",22.621
"2011/07/25",22.621
"2011/07/26",22.781
"2011/07/27",21.781
"2011/07/28",21.541
"2011/07/29",21.48
"2011/08/01",21.16
"2011/08/02",20.63
"2011/08/03",21.25
"2011/08/04",20.201
"2011/08/05",20.181
"2011/08/08",18.81
"2011/08/09",20.121
"2011/08/10",19.441
"2011/08/11",19.671
"2011/08/12",19.91
"2011/08/15",20.16
"2011/08/16",19.9
"2011/08/17",19.771
"2011/08/18",18.861
"2011/08/19",18.89
"2011/08/22",18.9
"2011/08/23",19.73
"2011/08/24",19.341
"2011/08/25",18.8
"2011/08/26",19.47
"2011/08/29",19.97
"2011/08/30",19.951
"2011/08/31",20.3
"2011/09/01",19.511
"2011/09/02",19.07
"2011/09/06",18.4
"2011/09/07",18.781
"2011/09/08",18.38
"2011/09/09",17.871
"2011/09/12",18.011
"2011/09/13",18.13
"2011/09/14",18.24
"2011/09/15",18.691
"2011/09/16",18.58
"2011/09/19",18.47
"2011/09/20",18.4
"2011/09/21",17.74
"2011/09/22",17.371
"2011/09/23",17.601
"2011/09/26",17.98
"2011/09/27",19.101
"2011/09/28",18.851
"2011/09/29",19.46
"2011/09/30",18.81
"2011/10/03",17.91
"2011/10/04",17.621
"2011/10/05",17.82
"2011/10/06",18.16
"2011/10/07",18.15
"2011/10/10",18.83
"2011/10/11",18.4
"2011/10/12",19.07
"2011/10/13",19.421
"2011/10/14",19.73
"2011/10/17",19.201
"2011/10/18",19.48
"2011/10/19",19.06
"2011/10/20",18.941
"2011/10/21",19.261
"2011/10/24",20.31
"2011/10/25",19.83
"2011/10/26",19.83
"2011/10/27",20.46
"2011/10/28",20.921
"2011/10/31",20.531
"2011/11/01",19.671
"2011/11/02",20.111
"2011/11/03",20.541
"2011/11/04",20.3
"2011/11/07",20.421
"2011/11/08",20.351
"2011/11/09",19.671
"2011/11/10",19.761
"2011/11/11",19.74
"2011/11/14",19.281
"2011/11/15",19.23
"2011/11/16",19.14
"2011/11/17",18.64
"2011/11/18",18.49
"2011/11/21",18.3
"2011/11/22",18.05
"2011/11/23",17.8
"2011/11/25",17.531
"2011/11/28",17.99
"2011/11/29",18.23
"2011/11/30",18.431
"2011/12/01",19.031
"2011/12/02",18.81
"2011/12/05",18.851
"2011/12/06",18.96
"2011/12/07",18.781
"2011/12/08",18.23
"2011/12/09",18.371
"2011/12/12",18.271
"2011/12/13",18.261
"2011/12/14",17.691
"2011/12/15",17.81
"2011/12/16",18.281
"2011/12/19",18.441
"2011/12/20",18.81
"2011/12/21",18.541
"2011/12/22",18.601
"2011/12/23",18.64
"2011/12/27",18.75
"2011/12/28",18.55
"2011/12/29",18.73
"2011/12/30",18.851
