x,y
"2013/01/02",10.538
"2013/01/03",10.464
"2013/01/04",10.431
"2013/01/07",10.349
"2013/01/08",10.226
"2013/01/09",10.161
"2013/01/10",10.358
"2013/01/11",10.202
"2013/01/14",10.243
"2013/01/15",10.341
"2013/01/16",10.259
"2013/01/17",10.079
"2013/01/18",9.915
"2013/01/22",10.087
"2013/01/23",10.022
"2013/01/24",9.964
"2013/01/25",10.03
"2013/01/28",9.956
"2013/01/29",10.022
"2013/01/30",9.833
"2013/01/31",9.833
"2013/02/01",9.759
"2013/02/04",9.661
"2013/02/05",9.8
"2013/02/06",9.981
"2013/02/07",10.095
"2013/02/08",10.063
"2013/02/11",10.194
"2013/02/12",10.3
"2013/02/13",10.472
"2013/02/14",10.612
"2013/02/15",10.48
"2013/02/19",10.571
"2013/02/20",10.349
"2013/02/21",10.251
"2013/02/22",10.333
"2013/02/25",10.12
"2013/02/26",10.145
"2013/02/27",10.392
"2013/02/28",10.409
"2013/03/01",10.335
"2013/03/04",10.219
"2013/03/05",10.335
"2013/03/06",10.368
"2013/03/07",10.45
"2013/03/08",10.491
"2013/03/11",10.425
"2013/03/12",10.458
"2013/03/13",10.434
"2013/03/14",10.574
"2013/03/15",10.665
"2013/03/18",10.607
"2013/03/19",10.59
"2013/03/20",10.879
"2013/03/21",10.722
"2013/03/22",10.772
"2013/03/25",10.739
"2013/03/26",10.821
"2013/03/27",10.855
"2013/03/28",11.003
"2013/04/01",11.003
"2013/04/02",11.003
"2013/04/03",11.011
"2013/04/04",11.011
"2013/04/05",10.987
"2013/04/08",11.02
"2013/04/09",11.02
"2013/04/10",11.061
"2013/04/11",11.036
"2013/04/12",10.978
"2013/04/15",10.838
"2013/04/16",10.879
"2013/04/17",10.698
"2013/04/18",10.78
"2013/04/19",10.599
"2013/04/22",10.582
"2013/04/23",10.838
"2013/04/24",11.432
"2013/04/25",11.746
"2013/04/26",11.746
"2013/04/29",11.895
"2013/04/30",11.969
"2013/05/01",11.828
"2013/05/02",11.862
"2013/05/03",12.274
"2013/05/06",12.282
"2013/05/07",12.274
"2013/05/08",12.282
"2013/05/09",12.431
"2013/05/10",12.464
"2013/05/13",12.58
"2013/05/14",12.819
"2013/05/15",12.943
"2013/05/16",12.753
"2013/05/17",13.322
"2013/05/20",13.463
"2013/05/21",13.364
"2013/05/22",13.042
"2013/05/23",13.001
"2013/05/24",12.926
"2013/05/28",13.009
"2013/05/29",12.951
"2013/05/30",12.951
"2013/05/31",12.768
"2013/06/03",13.042
"2013/06/04",12.934
"2013/06/05",12.452
"2013/06/06",12.469
"2013/06/07",12.776
"2013/06/10",12.643
"2013/06/11",12.452
"2013/06/12",12.278
"2013/06/13",12.535
"2013/06/14",12.394
"2013/06/17",12.552
"2013/06/18",12.618
"2013/06/19",12.402
"2013/06/20",11.887
"2013/06/21",11.846
"2013/06/24",11.597
"2013/06/25",11.804
"2013/06/26",11.904
"2013/06/27",11.879
"2013/06/28",11.821
"2013/07/01",12.004
"2013/07/02",11.979
"2013/07/03",11.862
"2013/07/05",12.062
"2013/07/08",12.087
"2013/07/09",12.27
"2013/07/10",12.294
"2013/07/11",12.494
"2013/07/12",12.485
"2013/07/15",12.535
"2013/07/16",12.477
"2013/07/17",12.311
"2013/07/18",12.286
"2013/07/19",12.552
"2013/07/22",12.452
"2013/07/23",12.477
"2013/07/24",12.577
"2013/07/25",12.693
"2013/07/26",12.668
"2013/07/29",12.785
"2013/07/30",12.618
"2013/07/31",12.618
"2013/08/01",12.834
"2013/08/02",12.793
"2013/08/05",12.743
"2013/08/06",12.519
"2013/08/07",12.485
"2013/08/08",12.569
"2013/08/09",12.535
"2013/08/12",12.552
"2013/08/13",12.635
"2013/08/14",12.56
"2013/08/15",12.386
"2013/08/16",12.485
"2013/08/19",12.228
"2013/08/20",12.02
"2013/08/21",12.087
"2013/08/22",12.145
"2013/08/23",12.27
"2013/08/26",12.253
"2013/08/27",11.813
"2013/08/28",11.854
"2013/08/29",11.863
"2013/08/30",11.746
"2013/09/03",11.645
"2013/09/04",11.863
"2013/09/05",12.089
"2013/09/06",12.047
"2013/09/09",12.239
"2013/09/10",12.432
"2013/09/11",12.457
"2013/09/12",12.122
"2013/09/13",12.248
"2013/09/16",12.122
"2013/09/17",12.256
"2013/09/18",12.566
"2013/09/19",12.44
"2013/09/20",12.273
"2013/09/23",12.398
"2013/09/24",12.448
"2013/09/25",12.482
"2013/09/26",12.499
"2013/09/27",12.323
"2013/09/30",12.206
"2013/10/01",12.331
"2013/10/02",12.156
"2013/10/03",11.963
"2013/10/04",12.239
"2013/10/07",12.114
"2013/10/08",11.712
"2013/10/09",11.721
"2013/10/10",12.097
"2013/10/11",12.089
"2013/10/14",12.055
"2013/10/15",11.938
"2013/10/16",12.064
"2013/10/17",12.407
"2013/10/18",12.549
"2013/10/21",12.624
"2013/10/22",12.842
"2013/10/23",14.657
"2013/10/24",14.623
"2013/10/25",14.515
"2013/10/28",14.473
"2013/10/29",14.649
"2013/10/30",14.222
"2013/10/31",14.297
"2013/11/01",14.331
"2013/11/04",14.439
"2013/11/05",13.804
"2013/11/06",13.845
"2013/11/07",13.645
"2013/11/08",13.871
"2013/11/11",13.879
"2013/11/12",13.996
"2013/11/13",14.181
"2013/11/14",14.131
"2013/11/15",14.316
"2013/11/18",14.122
"2013/11/19",14.19
"2013/11/20",14.173
"2013/11/21",14.425
"2013/11/22",14.526
"2013/11/25",14.375
"2013/11/26",14.375
"2013/11/27",14.451
"2013/11/29",14.375
"2013/12/02",14.358
"2013/12/03",14.122
"2013/12/04",14.122
"2013/12/05",13.996
"2013/12/06",14.4
"2013/12/09",14.324
"2013/12/10",14.526
"2013/12/11",14.257
"2013/12/12",14.316
"2013/12/13",14.206
"2013/12/16",14.35
"2013/12/17",14.493
"2013/12/18",14.619
"2013/12/19",14.661
"2013/12/20",14.669
"2013/12/23",14.779
"2013/12/24",14.846
"2013/12/26",14.922
"2013/12/27",14.955
"2013/12/30",14.964
"2013/12/31",14.998
