x,y
"2019/01/02",59.672
"2019/01/03",58.593
"2019/01/04",60.817
"2019/01/07",61.256
"2019/01/08",61.829
"2019/01/09",62.688
"2019/01/10",63.041
"2019/01/11",63.537
"2019/01/14",62.764
"2019/01/15",63.241
"2019/01/16",63.642
"2019/01/17",63.986
"2019/01/18",64.807
"2019/01/22",64.32
"2019/01/23",64.558
"2019/01/24",64.921
"2019/01/25",65.456
"2019/01/28",64.549
"2019/01/29",65.551
"2019/01/30",65.952
"2019/01/31",66.028
"2019/02/01",66.181
"2019/02/04",66.4
"2019/02/05",66.467
"2019/02/06",66.591
"2019/02/07",66.41
"2019/02/08",67.059
"2019/02/11",67.336
"2019/02/12",68.29
"2019/02/13",68.147
"2019/02/14",68.138
"2019/02/15",68.357
"2019/02/19",67.737
"2019/02/20",79.276
"2019/02/21",78.665
"2019/02/22",79.285
"2019/02/25",79.743
"2019/02/26",79.839
"2019/02/27",80.335
"2019/02/28",80.144
"2019/03/01",80.832
"2019/03/04",80.879
"2019/03/05",80.144
"2019/03/06",79.686
"2019/03/07",79.228
"2019/03/08",78.913
"2019/03/11",80.039
"2019/03/12",80.679
"2019/03/13",80.116
"2019/03/14",79.76
"2019/03/15",79.962
"2019/03/18",80.634
"2019/03/19",80.375
"2019/03/20",80.894
"2019/03/21",81.249
"2019/03/22",80.279
"2019/03/25",80.817
"2019/03/26",81.854
"2019/03/27",82.498
"2019/03/28",82.229
"2019/03/29",82.94
"2019/04/01",84.409
"2019/04/02",84.764
"2019/04/03",85.062
"2019/04/04",84.716
"2019/04/05",84.688
"2019/04/08",85.581
"2019/04/09",84.745
"2019/04/10",85.293
"2019/04/11",85.494
"2019/04/12",85.437
"2019/04/15",85.158
"2019/04/16",84.303
"2019/04/17",82.786
"2019/04/18",83.112
"2019/04/22",82.671
"2019/04/23",83.506
"2019/04/24",83.199
"2019/04/25",82.325
"2019/04/26",82.411
"2019/04/29",82.085
"2019/04/30",82.354
"2019/05/01",76.898
"2019/05/02",75.649
"2019/05/03",76.408
"2019/05/06",76.178
"2019/05/07",75.275
"2019/05/08",75.573
"2019/05/09",75.457
"2019/05/10",76.178
"2019/05/13",74.228
"2019/05/14",74.91
"2019/05/15",75.909
"2019/05/16",76.274
"2019/05/17",75.054
"2019/05/20",74.209
"2019/05/21",74.631
"2019/05/22",74.18
"2019/05/23",74.247
"2019/05/24",74.583
"2019/05/28",73.824
"2019/05/29",73.363
"2019/05/30",74.189
"2019/05/31",73.459
"2019/06/03",73.661
"2019/06/04",75.198
"2019/06/05",75.361
"2019/06/06",75.275
"2019/06/07",75.832
"2019/06/10",77.004
"2019/06/11",77.042
"2019/06/12",77.494
"2019/06/13",77.311
"2019/06/14",77.185
"2019/06/17",77.35
"2019/06/18",78.211
"2019/06/19",78.956
"2019/06/20",79.072
"2019/06/21",78.559
"2019/06/24",78.665
"2019/06/25",77.572
"2019/06/26",77.611
"2019/06/27",77.65
"2019/06/28",77.195
"2019/07/01",77.282
"2019/07/02",77.417
"2019/07/03",77.93
"2019/07/05",77.147
"2019/07/08",76.856
"2019/07/09",76.556
"2019/07/10",76.17
"2019/07/11",76.411
"2019/07/12",77.185
"2019/07/15",77.224
"2019/07/16",78.414
"2019/07/17",78.472
"2019/07/18",79.323
"2019/07/19",78.433
"2019/07/22",78.182
"2019/07/23",77.746
"2019/07/24",76.895
"2019/07/25",75.976
"2019/07/26",75.734
"2019/07/29",76.053
"2019/07/30",74.099
"2019/07/31",76.024
"2019/08/01",74.235
"2019/08/02",73.219
"2019/08/05",72.89
"2019/08/06",74.148
"2019/08/07",74.738
"2019/08/08",76.082
"2019/08/09",76.46
"2019/08/12",75.26
"2019/08/13",76.508
"2019/08/14",74.012
"2019/08/15",74.274
"2019/08/16",74.651
"2019/08/19",75.638
"2019/08/20",76.131
"2019/08/21",77.504
"2019/08/22",77.659
"2019/08/23",75.802
"2019/08/26",76.382
"2019/08/27",77.205
"2019/08/28",77.727
"2019/08/29",78.278
"2019/08/30",78.907
"2019/09/03",78.559
"2019/09/04",79.855
"2019/09/05",80.339
"2019/09/06",80.735
"2019/09/09",82.361
"2019/09/10",81.171
"2019/09/11",81.413
"2019/09/12",82.728
"2019/09/13",83.108
"2019/09/16",82.845
"2019/09/17",82.981
"2019/09/18",83.683
"2019/09/19",83.254
"2019/09/20",82.806
"2019/09/23",82.27
"2019/09/24",81.608
"2019/09/25",82.008
"2019/09/26",82.154
"2019/09/27",82.592
"2019/09/30",82.475
"2019/10/01",82.28
"2019/10/02",80.732
"2019/10/03",81.433
"2019/10/04",82.748
