x,y
"2017/01/03",13.238
"2017/01/04",13.443
"2017/01/05",13.434
"2017/01/06",13.372
"2017/01/09",13.086
"2017/01/10",13.095
"2017/01/11",13.318
"2017/01/12",13.185
"2017/01/13",13.167
"2017/01/17",12.997
"2017/01/18",12.997
"2017/01/19",13.247
"2017/01/20",13.131
"2017/01/23",13.078
"2017/01/24",13.523
"2017/01/25",13.541
"2017/01/26",13.185
"2017/01/27",13.193
"2017/01/30",13.229
"2017/01/31",13.416
"2017/02/01",13.363
"2017/02/02",13.559
"2017/02/03",13.612
"2017/02/06",13.604
"2017/02/07",13.755
"2017/02/08",13.826
"2017/02/09",13.942
"2017/02/10",14.014
"2017/02/13",14.299
"2017/02/14",14.317
"2017/02/15",14.245
"2017/02/16",14.192
"2017/02/17",14.219
"2017/02/21",14.379
"2017/02/22",14.441
"2017/02/23",15.689
"2017/02/24",15.734
"2017/02/27",15.734
"2017/02/28",15.484
"2017/03/01",15.707
"2017/03/02",15.44
"2017/03/03",15.467
"2017/03/06",15.541
"2017/03/07",15.514
"2017/03/08",15.559
"2017/03/09",15.595
"2017/03/10",15.622
"2017/03/13",15.712
"2017/03/14",15.694
"2017/03/15",15.784
"2017/03/16",15.856
"2017/03/17",15.775
"2017/03/20",15.775
"2017/03/21",15.406
"2017/03/22",15.478
"2017/03/23",15.46
"2017/03/24",15.478
"2017/03/27",15.451
"2017/03/28",15.505
"2017/03/29",15.505
"2017/03/30",15.856
"2017/03/31",16.062
"2017/04/03",15.802
"2017/04/04",15.918
"2017/04/05",15.891
"2017/04/06",15.775
"2017/04/07",15.604
"2017/04/10",15.595
"2017/04/11",15.757
"2017/04/12",16.188
"2017/04/13",16.35
"2017/04/17",16.35
"2017/04/18",16.368
"2017/04/19",16.511
"2017/04/20",16.637
"2017/04/21",16.43
"2017/04/24",16.655
"2017/04/25",16.718
"2017/04/26",16.736
"2017/04/27",16.862
"2017/04/28",16.907
"2017/05/01",17.005
"2017/05/02",16.978
"2017/05/03",16.898
"2017/05/04",16.88
"2017/05/05",16.987
"2017/05/08",17.347
"2017/05/09",17.284
"2017/05/10",17.392
"2017/05/11",17.302
"2017/05/12",17.338
"2017/05/15",17.392
"2017/05/16",17.49
"2017/05/17",17.032
"2017/05/18",16.871
"2017/05/19",17.068
"2017/05/22",17.167
"2017/05/23",17.032
"2017/05/24",17.077
"2017/05/25",16.502
"2017/05/26",16.592
"2017/05/30",17.014
"2017/05/31",16.853
"2017/06/01",17.023
"2017/06/02",17.05
"2017/06/05",16.889
"2017/06/06",16.404
"2017/06/07",16.386
"2017/06/08",16.421
"2017/06/09",15.99
"2017/06/12",16.074
"2017/06/13",16.056
"2017/06/14",15.749
"2017/06/15",15.631
"2017/06/16",15.703
"2017/06/19",16.011
"2017/06/20",16.138
"2017/06/21",16.029
"2017/06/22",16.029
"2017/06/23",16.111
"2017/06/26",16.436
"2017/06/27",16.084
"2017/06/28",16.319
"2017/06/29",15.903
"2017/06/30",15.821
"2017/07/03",15.893
"2017/07/05",15.975
"2017/07/06",15.559
"2017/07/07",15.703
"2017/07/10",16.174
"2017/07/11",16.237
"2017/07/12",16.328
"2017/07/13",16.364
"2017/07/14",16.672
