x,y
"2019/01/02",125.28
"2019/01/03",118.831
"2019/01/04",126.761
"2019/01/07",133.28
"2019/01/08",136.84
"2019/01/09",138.411
"2019/01/10",140
"2019/01/11",140
"2019/01/14",140.84
"2019/01/15",146.051
"2019/01/16",144.941
"2019/01/17",149.73
"2019/01/18",155.271
"2019/01/22",151.84
"2019/01/23",152.051
"2019/01/24",149.92
"2019/01/25",151.54
"2019/01/28",150.131
"2019/01/29",146.56
"2019/01/30",152.111
"2019/01/31",158.31
"2019/02/01",159.721
"2019/02/04",163.351
"2019/02/05",163.78
"2019/02/06",164.581
"2019/02/07",160.39
"2019/02/08",165.441
"2019/02/11",167.631
"2019/02/12",172
"2019/02/13",171.87
"2019/02/14",166.17
"2019/02/15",166.09
"2019/02/19",165.62
"2019/02/20",164.23
"2019/02/21",165.271
"2019/02/22",168.76
"2019/02/25",170.04
"2019/02/26",167.691
"2019/02/27",169.5
"2019/02/28",168.381
"2019/03/01",171.92
"2019/03/04",163.991
"2019/03/05",164.56
"2019/03/06",161.241
"2019/03/07",162.191
"2019/03/08",162.571
"2019/03/11",166.04
"2019/03/12",166.881
"2019/03/13",166.821
"2019/03/14",168.26
"2019/03/15",166.911
"2019/03/18",166.051
"2019/03/19",169.34
"2019/03/20",168.661
"2019/03/21",176.221
"2019/03/22",165.631
"2019/03/25",167.191
"2019/03/26",167.691
"2019/03/27",161.601
"2019/03/28",163.42
"2019/03/29",166.211
"2019/04/01",166.73
"2019/04/02",170.9
"2019/04/03",171.801
"2019/04/04",164.411
"2019/04/05",163.991
"2019/04/08",162.53
"2019/04/09",163.131
"2019/04/10",165.12
"2019/04/11",167.411
"2019/04/12",166
"2019/04/15",165.191
"2019/04/16",166.351
"2019/04/17",162.76
"2019/04/18",160.03
"2019/04/22",163.021
"2019/04/23",166.23
"2019/04/24",165.15
"2019/04/25",170.961
"2019/04/26",178.721
"2019/04/29",183.39
"2019/04/30",184.491
"2019/05/01",181.551
"2019/05/02",179.661
"2019/05/03",184.361
"2019/05/06",186.101
"2019/05/07",181.92
"2019/05/08",179.84
"2019/05/09",181.92
"2019/05/10",181.68
"2019/05/13",174.04
"2019/05/14",179.26
"2019/05/15",181.521
"2019/05/16",190.571
"2019/05/17",187.581
"2019/05/20",183.881
"2019/05/21",188.721
"2019/05/22",188.741
"2019/05/23",183.441
"2019/05/24",183.221
"2019/05/28",185.89
"2019/05/29",175.971
"2019/05/30",177.03
"2019/05/31",173.28
"2019/06/03",162.241
"2019/06/04",164.631
