x,y
"2014/01/02",138.687
"2014/01/03",139.517
"2014/01/06",139.038
"2014/01/07",141.812
"2014/01/08",140.511
"2014/01/09",140.07
"2014/01/10",139.98
"2014/01/13",137.663
"2014/01/14",138.979
"2014/01/15",140.339
"2014/01/16",141.101
"2014/01/17",142.096
"2014/01/21",140.855
"2014/01/22",136.235
"2014/01/23",136.594
"2014/01/24",134.284
"2014/01/27",132.983
"2014/01/28",132.199
"2014/01/29",131.862
"2014/01/30",132.58
"2014/01/31",132.071
"2014/02/03",129.246
"2014/02/04",129.201
"2014/02/05",130.248
"2014/02/06",131.285
"2014/02/07",133.224
"2014/02/10",133.141
"2014/02/11",135.065
"2014/02/12",135.471
"2014/02/13",136.674
"2014/02/14",138.064
"2014/02/18",137.688
"2014/02/19",137.508
"2014/02/20",138.493
"2014/02/21",137.388
"2014/02/24",137.884
"2014/02/25",137.719
"2014/02/26",138.342
"2014/02/27",139.252
"2014/02/28",139.177
"2014/03/03",138.493
"2014/03/04",140.131
"2014/03/05",140.657
"2014/03/06",141.033
"2014/03/07",141.063
"2014/03/10",140.094
"2014/03/11",140.372
"2014/03/12",139.966
"2014/03/13",138.222
"2014/03/14",136.952
"2014/03/17",139.658
"2014/03/18",140.409
"2014/03/19",138.831
"2014/03/20",141.229
"2014/03/21",140.304
"2014/03/24",141.492
"2014/03/25",146.595
"2014/03/26",144.776
"2014/03/27",142.679
"2014/03/28",143.145
"2014/03/31",144.679
"2014/04/01",146.189
"2014/04/02",145.475
"2014/04/03",144.829
"2014/04/04",144.137
"2014/04/07",146.204
"2014/04/08",145.28
"2014/04/09",147.798
"2014/04/10",147.076
"2014/04/11",146.708
"2014/04/14",148.647
"2014/04/15",148.083
"2014/04/16",147.617
"2014/04/17",142.814
"2014/04/21",144.513
"2014/04/22",144.423
"2014/04/23",144.107
"2014/04/24",142.972
"2014/04/25",142.529
"2014/04/28",145.167
"2014/04/29",146.648
"2014/04/30",147.67
"2014/05/01",145.46
"2014/05/02",143.889
"2014/05/05",143.754
"2014/05/06",142.83
"2014/05/07",143.109
"2014/05/08",142.814
"2014/05/09",143.699
"2014/05/12",145.581
"2014/05/13",145.294
"2014/05/14",142.671
"2014/05/15",140.962
"2014/05/16",141.416
"2014/05/19",141.37
"2014/05/20",139.775
"2014/05/21",140.909
"2014/05/22",140.373
"2014/05/23",140.569
"2014/05/27",139.692
"2014/05/28",138.407
"2014/05/29",138.921
"2014/05/30",139.375
"2014/06/02",140.38
"2014/06/03",139.382
"2014/06/04",139.488
"2014/06/05",140.599
"2014/06/06",140.894
"2014/06/09",140.781
"2014/06/10",139.322
"2014/06/11",137.78
"2014/06/12",137.001
"2014/06/13",138.014
"2014/06/16",137.855
"2014/06/17",137.787
"2014/06/18",138.8
"2014/06/19",138.21
"2014/06/20",137.25
"2014/06/23",137.696
"2014/06/24",136.744
"2014/06/25",136.623
"2014/06/26",136.358
"2014/06/27",137.371
"2014/06/30",137.039
"2014/07/01",140.879
"2014/07/02",142.421
"2014/07/03",142.527
"2014/07/07",142.157
"2014/07/08",141.537
"2014/07/09",142.444
"2014/07/10",141.9
"2014/07/11",142.127
"2014/07/14",143.533
"2014/07/15",142.497
"2014/07/16",145.423
"2014/07/17",145.521
"2014/07/18",145.528
"2014/07/21",144.281
"2014/07/22",146.73
"2014/07/23",146.383
"2014/07/24",147.6
"2014/07/25",146.965
"2014/07/28",148.008
"2014/07/29",147.093
"2014/07/30",146.662
"2014/07/31",144.901
"2014/08/01",142.996
"2014/08/04",143.366
"2014/08/05",141.446
"2014/08/06",141.423
"2014/08/07",140.153
"2014/08/08",141.925
"2014/08/11",142.564
"2014/08/12",142.465
"2014/08/13",142.929
"2014/08/14",142.876
"2014/08/15",142.496
"2014/08/18",144.001
"2014/08/19",144.541
"2014/08/20",144.564
"2014/08/21",145.423
"2014/08/22",144.8
"2014/08/25",145.37
"2014/08/26",146.762
"2014/08/27",146.199
"2014/08/28",146.009
"2014/08/29",146.237
"2014/09/02",145.674
"2014/09/03",145.971
"2014/09/04",145.005
"2014/09/05",145.4
"2014/09/08",144.594
"2014/09/09",144.48
"2014/09/10",145.659
"2014/09/11",145.796
"2014/09/12",145.461
"2014/09/15",145.864
"2014/09/16",146.739
"2014/09/17",146.617
"2014/09/18",147.34
"2014/09/19",147.53
"2014/09/22",146.853
"2014/09/23",145.72
"2014/09/24",146.245
"2014/09/25",143.735
"2014/09/26",144.534
"2014/09/29",144.214
"2014/09/30",144.359
"2014/10/01",142.336
"2014/10/02",142.138
"2014/10/03",143.477
"2014/10/06",143.758
"2014/10/07",141.226
