x,y
"2012/01/03",4.959
"2012/01/04",4.936
"2012/01/05",5.011
"2012/01/06",5.003
"2012/01/09",5.135
"2012/01/10",5.189
"2012/01/11",5.277
"2012/01/12",4.811
"2012/01/13",4.74
"2012/01/17",4.818
"2012/01/18",4.806
"2012/01/19",4.797
"2012/01/20",4.852
"2012/01/23",4.9
"2012/01/24",4.972
"2012/01/25",5.031
"2012/01/26",5.088
"2012/01/27",5.039
"2012/01/30",5.037
"2012/01/31",5.102
"2012/02/01",5.147
"2012/02/02",5.15
"2012/02/03",5.297
"2012/02/06",5.227
"2012/02/07",5.197
"2012/02/08",5.171
"2012/02/09",5.224
"2012/02/10",5.169
"2012/02/13",5.199
"2012/02/14",5.31
"2012/02/15",5.455
"2012/02/16",5.512
"2012/02/17",5.53
"2012/02/21",5.524
"2012/02/22",5.576
"2012/02/23",5.535
"2012/02/24",5.533
"2012/02/27",5.448
"2012/02/28",5.429
"2012/02/29",5.352
"2012/03/01",5.37
"2012/03/02",5.353
"2012/03/05",5.296
"2012/03/06",5.174
"2012/03/07",5.294
"2012/03/08",5.356
"2012/03/09",5.4
"2012/03/12",5.344
"2012/03/13",5.47
"2012/03/14",5.447
"2012/03/15",5.48
"2012/03/16",5.453
"2012/03/19",5.391
"2012/03/20",5.349
"2012/03/21",5.357
"2012/03/22",5.24
"2012/03/23",5.292
"2012/03/26",5.327
"2012/03/27",5.342
"2012/03/28",5.188
"2012/03/29",5.239
"2012/03/30",5.292
"2012/04/02",5.323
"2012/04/03",5.344
"2012/04/04",5.286
"2012/04/05",5.325
"2012/04/09",5.267
"2012/04/10",5.218
"2012/04/11",5.24
"2012/04/12",5.267
"2012/04/13",4.561
"2012/04/16",4.407
"2012/04/17",4.411
"2012/04/18",4.343
"2012/04/19",4.373
"2012/04/20",4.329
"2012/04/23",4.237
"2012/04/24",4.244
"2012/04/25",4.279
"2012/04/26",4.349
"2012/04/27",4.367
"2012/04/30",4.389
"2012/05/01",4.395
"2012/05/02",4.418
"2012/05/03",4.335
"2012/05/04",4.238
"2012/05/07",4.162
"2012/05/08",4.177
"2012/05/09",4.122
"2012/05/10",4.125
"2012/05/11",4.058
"2012/05/14",4.018
"2012/05/15",4.091
"2012/05/16",4.028
"2012/05/17",3.942
"2012/05/18",3.978
"2012/05/21",3.986
"2012/05/22",4.039
"2012/05/23",3.994
"2012/05/24",4.065
"2012/05/25",3.997
"2012/05/29",4.091
"2012/05/30",4.002
"2012/05/31",3.963
"2012/06/01",3.971
"2012/06/04",4.019
"2012/06/05",4.075
"2012/06/06",4.232
"2012/06/07",4.131
"2012/06/08",4.107
"2012/06/11",4.041
"2012/06/12",4.155
"2012/06/13",4.123
"2012/06/14",4.176
"2012/06/15",4.236
"2012/06/18",4.191
"2012/06/19",4.166
"2012/06/20",4.138
"2012/06/21",3.988
"2012/06/22",4.02
"2012/06/25",3.997
"2012/06/26",4.006
"2012/06/27",4.071
"2012/06/28",4.03
"2012/06/29",4.242
"2012/07/02",4.276
"2012/07/03",4.335
"2012/07/05",4.198
"2012/07/06",4.1
"2012/07/09",4.147
"2012/07/10",4.097
"2012/07/11",4.107
"2012/07/12",3.648
"2012/07/13",3.786
"2012/07/16",3.703
"2012/07/17",3.691
"2012/07/18",3.746
"2012/07/19",3.781
"2012/07/20",3.722
"2012/07/23",3.653
"2012/07/24",3.609
"2012/07/25",3.594
"2012/07/26",3.639
"2012/07/27",3.727
"2012/07/30",3.718
"2012/07/31",3.726
"2012/08/01",3.756
"2012/08/02",3.694
"2012/08/03",3.77
"2012/08/06",3.829
"2012/08/07",3.897
"2012/08/08",3.902
"2012/08/09",3.915
"2012/08/10",3.934
"2012/08/13",3.898
"2012/08/14",3.874
"2012/08/15",3.896
"2012/08/16",3.962
"2012/08/17",4.009
"2012/08/20",4.017
"2012/08/21",4.094
"2012/08/22",4.095
"2012/08/23",4.106
"2012/08/24",4.108
"2012/08/27",4.069
"2012/08/28",4.056
"2012/08/29",4.025
"2012/08/30",3.993
"2012/08/31",4.004
"2012/09/04",3.973
"2012/09/05",3.989
"2012/09/06",4.203
"2012/09/07",4.299
"2012/09/10",4.266
"2012/09/11",4.316
"2012/09/12",4.34
"2012/09/13",4.456
"2012/09/14",4.533
"2012/09/17",4.537
"2012/09/18",4.489
"2012/09/19",4.473
"2012/09/20",4.506
"2012/09/21",4.587
"2012/09/24",4.542
"2012/09/25",4.47
"2012/09/26",4.454
"2012/09/27",4.493
"2012/09/28",4.57
"2012/10/01",4.656
"2012/10/02",4.657
"2012/10/03",4.659
"2012/10/04",4.674
"2012/10/05",4.589
"2012/10/08",4.508
"2012/10/09",4.468
"2012/10/10",4.412
"2012/10/11",4.54
"2012/10/12",4.193
"2012/10/15",4.196
"2012/10/16",4.223
"2012/10/17",4.181
"2012/10/18",4.211
"2012/10/19",4.14
"2012/10/22",4.167
"2012/10/23",4.104
"2012/10/24",4.074
"2012/10/25",4.119
"2012/10/26",4.043
"2012/10/31",4.114
"2012/11/01",4.161
"2012/11/02",4.151
"2012/11/05",4.147
"2012/11/06",4.169
"2012/11/07",4.102
"2012/11/08",4.062
"2012/11/09",4.079
"2012/11/12",4.055
"2012/11/13",3.987
"2012/11/14",3.952
"2012/11/15",3.966
"2012/11/16",4.032
"2012/11/19",4.1
"2012/11/20",3.984
"2012/11/21",4.014
"2012/11/23",4.124
"2012/11/26",4.156
"2012/11/27",4.131
"2012/11/28",4.116
"2012/11/29",4.231
"2012/11/30",4.212
"2012/12/03",4.169
"2012/12/04",4.172
"2012/12/05",4.121
"2012/12/06",4.072
"2012/12/07",4.057
"2012/12/10",4.085
"2012/12/11",4.074
"2012/12/12",4.055
"2012/12/13",3.958
"2012/12/14",3.949
"2012/12/17",3.928
"2012/12/18",3.983
"2012/12/19",4.016
"2012/12/20",4.021
"2012/12/21",4.043
"2012/12/24",3.974
"2012/12/26",3.993
"2012/12/27",3.951
"2012/12/28",3.96
"2012/12/31",4.008
