x,y
"2006/01/03",16.568
"2006/01/04",16.788
"2006/01/05",17.021
"2006/01/06",17.047
"2006/01/09",17.151
"2006/01/10",16.924
"2006/01/11",16.937
"2006/01/12",16.827
"2006/01/13",16.71
"2006/01/17",16.535
"2006/01/18",14.643
"2006/01/19",14.514
"2006/01/20",14.099
"2006/01/23",13.833
"2006/01/24",13.788
"2006/01/25",13.743
"2006/01/26",13.924
"2006/01/27",14.041
"2006/01/30",14.028
"2006/01/31",13.775
"2006/02/01",13.963
"2006/02/02",13.736
"2006/02/03",13.502
"2006/02/06",13.417
"2006/02/07",13.456
"2006/02/08",13.456
"2006/02/09",13.671
"2006/02/10",13.86
"2006/02/13",13.756
"2006/02/14",13.912
"2006/02/15",13.899
"2006/02/16",13.899
"2006/02/17",13.417
"2006/02/21",13.424
"2006/02/22",13.118
"2006/02/23",13.209
"2006/02/24",13.254
"2006/02/27",13.359
"2006/02/28",13.411
"2006/03/01",13.541
"2006/03/02",13.339
"2006/03/03",13.228
"2006/03/06",13.215
"2006/03/07",13.059
"2006/03/08",13.027
"2006/03/09",12.857
"2006/03/10",12.922
"2006/03/13",12.844
"2006/03/14",12.864
"2006/03/15",12.968
"2006/03/16",12.792
"2006/03/17",12.721
"2006/03/20",12.773
"2006/03/21",12.877
"2006/03/22",13.007
"2006/03/23",12.825
"2006/03/24",12.76
"2006/03/27",12.857
"2006/03/28",12.747
"2006/03/29",12.903
"2006/03/30",12.825
"2006/03/31",12.669
"2006/04/03",12.597
"2006/04/04",12.564
"2006/04/05",12.682
"2006/04/06",12.617
"2006/04/07",12.525
"2006/04/10",12.604
"2006/04/11",12.473
"2006/04/12",12.447
"2006/04/13",12.662
"2006/04/17",12.493
"2006/04/18",12.623
"2006/04/19",12.734
"2006/04/20",12.662
"2006/04/21",12.408
"2006/04/24",12.311
"2006/04/25",12.467
"2006/04/26",12.688
"2006/04/27",13.072
"2006/04/28",13.007
"2006/05/01",12.688
"2006/05/02",12.753
"2006/05/03",12.537
"2006/05/04",12.655
"2006/05/05",12.766
"2006/05/08",13.159
"2006/05/09",13.022
"2006/05/10",12.812
"2006/05/11",12.668
"2006/05/12",12.459
"2006/05/15",12.642
"2006/05/16",12.472
"2006/05/17",12.21
"2006/05/18",12.204
"2006/05/19",12.014
"2006/05/22",11.785
"2006/05/23",11.746
"2006/05/24",11.706
"2006/05/25",11.811
"2006/05/26",11.922
"2006/05/30",11.654
"2006/05/31",11.791
"2006/06/01",11.804
"2006/06/02",11.929
"2006/06/05",11.765
"2006/06/06",11.641
"2006/06/07",11.379
"2006/06/08",11.196
"2006/06/09",11.229
"2006/06/12",11.032
"2006/06/13",11.202
"2006/06/14",11.602
"2006/06/15",11.857
"2006/06/16",11.975
"2006/06/19",11.935
"2006/06/20",11.876
"2006/06/21",12.04
"2006/06/22",11.942
"2006/06/23",11.778
"2006/06/26",11.962
"2006/06/27",11.811
"2006/06/28",12.21
"2006/06/29",12.642
"2006/06/30",12.433
"2006/07/03",12.668
"2006/07/05",12.269
"2006/07/06",12.334
"2006/07/07",12.145
"2006/07/10",11.896
"2006/07/11",12.217
"2006/07/12",11.7
"2006/07/13",11.595
"2006/07/14",11.7
"2006/07/17",11.674
"2006/07/18",11.916
"2006/07/19",12.099
"2006/07/20",11.189
"2006/07/21",11.222
"2006/07/24",11.438
"2006/07/25",11.477
"2006/07/26",11.451
"2006/07/27",11.432
"2006/07/28",11.896
"2006/07/31",11.778
"2006/08/01",11.556
"2006/08/02",11.51
"2006/08/03",11.405
"2006/08/04",11.51
"2006/08/07",11.398
"2006/08/08",11.424
"2006/08/09",11.451
"2006/08/10",11.681
"2006/08/11",11.457
"2006/08/14",11.76
"2006/08/15",11.931
"2006/08/16",12.247
"2006/08/17",12.214
"2006/08/18",12.109
"2006/08/21",12.01
"2006/08/22",12.069
"2006/08/23",12.096
"2006/08/24",12.214
"2006/08/25",12.438
"2006/08/28",12.754
"2006/08/29",12.951
"2006/08/30",13.056
"2006/08/31",12.879
"2006/09/01",13.083
"2006/09/05",13.155
"2006/09/06",12.708
"2006/09/07",12.648
"2006/09/08",12.8
"2006/09/11",12.767
"2006/09/12",12.997
"2006/09/13",13.05
"2006/09/14",13.017
"2006/09/15",12.839
"2006/09/18",12.931
"2006/09/19",12.78
"2006/09/20",12.826
"2006/09/21",12.629
"2006/09/22",12.55
"2006/09/25",12.774
"2006/09/26",13.135
"2006/09/27",13.418
"2006/09/28",13.668
"2006/09/29",13.537
"2006/10/02",13.451
"2006/10/03",13.537
"2006/10/04",13.701
"2006/10/05",13.675
"2006/10/06",13.576
"2006/10/09",13.57
"2006/10/10",13.747
"2006/10/11",13.747
"2006/10/12",14.142
"2006/10/13",14.215
"2006/10/16",14.221
"2006/10/17",13.754
"2006/10/18",13.892
"2006/10/19",13.84
"2006/10/20",14.037
"2006/10/23",14.116
"2006/10/24",14.228
"2006/10/25",14.294
"2006/10/26",14.327
"2006/10/27",13.886
"2006/10/30",13.991
"2006/10/31",14.044
"2006/11/01",13.833
"2006/11/02",13.609
"2006/11/03",13.563
"2006/11/06",13.768
"2006/11/07",13.755
"2006/11/08",13.695
"2006/11/09",13.503
"2006/11/10",13.609
"2006/11/13",13.887
"2006/11/14",14.469
"2006/11/15",14.76
"2006/11/16",14.766
"2006/11/17",14.614
"2006/11/20",14.727
"2006/11/21",14.264
"2006/11/22",14.37
"2006/11/24",14.277
"2006/11/27",13.9
"2006/11/28",13.874
"2006/11/29",14.046
"2006/11/30",14.151
"2006/12/01",13.841
"2006/12/04",14.032
"2006/12/05",13.966
"2006/12/06",13.821
"2006/12/07",13.656
"2006/12/08",13.675
"2006/12/11",13.689
"2006/12/12",13.708
"2006/12/13",13.689
"2006/12/14",13.735
"2006/12/15",13.861
"2006/12/18",13.781
"2006/12/19",13.662
"2006/12/20",13.622
"2006/12/21",13.47
"2006/12/22",13.279
"2006/12/26",13.325
"2006/12/27",13.49
"2006/12/28",13.503
"2006/12/29",13.391
