x,y
"2011/01/03",45.257
"2011/01/04",44.767
"2011/01/05",44.267
"2011/01/06",43.867
"2011/01/07",43.949
"2011/01/10",43.368
"2011/01/11",42.732
"2011/01/12",42.305
"2011/01/13",42.106
"2011/01/14",42.669
"2011/01/18",43.005
"2011/01/19",43.05
"2011/01/20",42.85
"2011/01/21",42.56
"2011/01/24",42.796
"2011/01/25",42.233
"2011/01/26",42.796
"2011/01/27",42.968
"2011/01/28",42.478
"2011/01/31",42.623
"2011/02/01",43.204
"2011/02/02",43.422
"2011/02/03",43.777
"2011/02/04",43.958
"2011/02/07",44.313
"2011/02/08",44.53
"2011/02/09",44.385
"2011/02/10",45.902
"2011/02/11",45.975
"2011/02/14",46.129
"2011/02/15",45.212
"2011/02/16",45.52
"2011/02/17",45.811
"2011/02/18",49.144
"2011/02/22",47.991
"2011/02/23",47.228
"2011/02/24",46.937
"2011/02/25",47.591
"2011/02/28",47.755
"2011/03/01",46.701
"2011/03/02",47.028
"2011/03/03",48.045
"2011/03/04",47.964
"2011/03/07",47.164
"2011/03/08",47.328
"2011/03/09",46.919
"2011/03/10",45.275
"2011/03/11",44.921
"2011/03/14",44.894
"2011/03/15",44.485
"2011/03/16",44.058
"2011/03/17",43.986
"2011/03/18",45.339
"2011/03/21",45.829
"2011/03/22",45.239
"2011/03/23",45.793
"2011/03/24",46.465
"2011/03/25",46.656
"2011/03/28",46.374
"2011/03/29",47.001
"2011/03/30",47.391
"2011/03/31",48.236
"2011/04/01",48.999
"2011/04/04",49.117
"2011/04/05",48.581
"2011/04/06",48.736
"2011/04/07",48.772
"2011/04/08",48.263
"2011/04/11",48.645
"2011/04/12",47.936
"2011/04/13",48.263
"2011/04/14",49.299
"2011/04/15",49.462
"2011/04/18",49.181
"2011/04/19",49.462
"2011/04/20",50.924
"2011/04/21",50.27
"2011/04/25",49.98
"2011/04/26",49.943
"2011/04/27",50.625
"2011/04/28",50.497
"2011/04/29",50.461
"2011/05/02",50.062
"2011/05/03",50.161
"2011/05/04",49.544
"2011/05/05",49.026
"2011/05/06",48.845
"2011/05/09",49.171
"2011/05/10",49.853
"2011/05/11",49.444
"2011/05/12",50.761
"2011/05/13",50.27
"2011/05/16",49.317
