x,y
"2018/01/02",42.151
"2018/01/03",42.75
"2018/01/04",42.96
"2018/01/05",43.92
"2018/01/08",44.57
"2018/01/09",45.151
"2018/01/10",44.341
"2018/01/11",44.92
"2018/01/12",44.82
"2018/01/16",44.75
"2018/01/17",46.01
"2018/01/18",45.771
"2018/01/19",46.331
"2018/01/22",46.48
"2018/01/23",46.55
"2018/01/24",46.03
"2018/01/25",45.741
"2018/01/26",46.581
"2018/01/29",47.651
"2018/01/30",47.201
"2018/01/31",46.721
"2018/02/01",47.151
"2018/02/02",46.381
"2018/02/05",44.841
"2018/02/06",45.151
"2018/02/07",45.23
"2018/02/08",43.811
"2018/02/09",43.26
"2018/02/12",44.03
"2018/02/13",44.471
"2018/02/14",45.37
"2018/02/15",45.98
"2018/02/16",45.87
"2018/02/20",45.701
"2018/02/21",45.57
"2018/02/22",45.57
"2018/02/23",46.291
"2018/02/26",47.75
"2018/02/27",47.431
"2018/02/28",47.01
"2018/03/01",46.581
"2018/03/02",49.42
"2018/03/05",50.541
"2018/03/06",52.55
"2018/03/07",52.611
"2018/03/08",52.591
"2018/03/09",54.07
"2018/03/12",54.62
"2018/03/13",53.87
"2018/03/14",53.581
"2018/03/15",53.381
"2018/03/16",53.39
"2018/03/19",52.69
"2018/03/20",52.701
"2018/03/21",53.16
"2018/03/22",51.89
"2018/03/23",50.811
"2018/03/26",52.19
"2018/03/27",51.341
"2018/03/28",51.23
"2018/03/29",52.39
"2018/04/02",51.14
"2018/04/03",51.631
"2018/04/04",52.021
"2018/04/05",52.05
"2018/04/06",50.57
"2018/04/09",51.291
"2018/04/10",52.831
"2018/04/11",53.111
"2018/04/12",53.841
"2018/04/13",53.89
"2018/04/16",53.8
"2018/04/17",54.51
"2018/04/18",54.57
"2018/04/19",54.111
"2018/04/20",53.561
"2018/04/23",54.23
"2018/04/24",53.611
"2018/04/25",53.53
"2018/04/26",53.791
"2018/04/27",52.32
"2018/04/30",51.681
"2018/05/01",51.35
"2018/05/02",51.21
"2018/05/03",51.631
"2018/05/04",52.431
"2018/05/07",52.241
"2018/05/08",52.73
"2018/05/09",53.151
"2018/05/10",53.091
"2018/05/11",53.64
"2018/05/14",53.41
"2018/05/15",53.451
"2018/05/16",53.53
"2018/05/17",53.76
"2018/05/18",53.831
"2018/05/21",54
"2018/05/22",53.831
"2018/05/23",53.591
"2018/05/24",53.44
"2018/05/25",53.3
"2018/05/29",53.03
"2018/05/30",52.991
"2018/05/31",58.741
"2018/06/01",59.811
"2018/06/04",61.111
"2018/06/05",61.361
"2018/06/06",61.92
"2018/06/07",60.401
"2018/06/08",60.991
"2018/06/11",61.69
"2018/06/12",61.6
"2018/06/13",61.401
"2018/06/14",61.221
"2018/06/15",61.23
"2018/06/18",61.5
"2018/06/19",61.241
"2018/06/20",60.98
"2018/06/21",60.53
"2018/06/22",60.1
"2018/06/25",58.741
"2018/06/26",59.361
"2018/06/27",58.55
"2018/06/28",59.07
"2018/06/29",59.03
"2018/07/02",59.681
"2018/07/03",59.451
"2018/07/05",59.5
"2018/07/06",59.831
"2018/07/09",60.14
"2018/07/10",60.42
"2018/07/11",59.741
"2018/07/12",60.081
"2018/07/13",59.971
"2018/07/16",59.62
"2018/07/17",60.3
"2018/07/18",60.71
"2018/07/19",60.92
"2018/07/20",60.591
"2018/07/23",59.611
"2018/07/24",59.16
"2018/07/25",59.631
"2018/07/26",60.41
"2018/07/27",59.16
"2018/07/30",57.46
"2018/07/31",58
"2018/08/01",58.741
"2018/08/02",59.69
"2018/08/03",59.311
"2018/08/06",60.131
"2018/08/07",60.39
"2018/08/08",60.46
"2018/08/09",60.25
"2018/08/10",59.931
"2018/08/13",59.791
"2018/08/14",60.491
"2018/08/15",58.931
"2018/08/16",59.64
"2018/08/17",59.82
"2018/08/20",60.19
"2018/08/21",60.44
"2018/08/22",64.17
"2018/08/23",62.971
"2018/08/24",62.89
"2018/08/27",64.52
"2018/08/28",64.111
"2018/08/29",64.45
"2018/08/30",64.32
"2018/08/31",64.89
"2018/09/04",65.481
"2018/09/05",65.551
"2018/09/06",65.74
"2018/09/07",65.651
"2018/09/10",66.09
"2018/09/11",66.5
"2018/09/12",66.13
"2018/09/13",66.401
"2018/09/14",65.801
"2018/09/17",64.14
"2018/09/18",65.2
"2018/09/19",64.931
"2018/09/20",64.861
"2018/09/21",64.63
"2018/09/24",64.911
"2018/09/25",65.511
"2018/09/26",64.95
"2018/09/27",65.651
"2018/09/28",66.28
"2018/10/01",66.111
"2018/10/02",65.791
"2018/10/03",66.111
"2018/10/04",65.49
"2018/10/05",65.2
"2018/10/08",63.971
"2018/10/09",64.46
"2018/10/10",61.39
"2018/10/11",60.44
"2018/10/12",62.021
"2018/10/15",61.471
"2018/10/16",63.081
"2018/10/17",63.23
"2018/10/18",63.07
"2018/10/19",61.78
"2018/10/22",61.94
"2018/10/23",61.611
"2018/10/24",58.491
"2018/10/25",59.381
"2018/10/26",58.53
"2018/10/29",56.51
"2018/10/30",57.131
"2018/10/31",57.081
"2018/11/01",57.561
"2018/11/02",57.181
"2018/11/05",58.341
"2018/11/06",58.701
"2018/11/07",60.67
"2018/11/08",60.811
"2018/11/09",59.19
"2018/11/12",58.151
"2018/11/13",57.85
"2018/11/14",57.46
"2018/11/15",58.73
"2018/11/16",57.991
"2018/11/19",55.57
"2018/11/20",54.35
"2018/11/21",57.331
"2018/11/23",56.581
"2018/11/26",58.53
"2018/11/27",59.401
"2018/11/28",61.5
"2018/11/29",61.521
"2018/11/30",61.82
"2018/12/03",62.41
"2018/12/04",60.98
"2018/12/06",60.71
"2018/12/07",58.681
"2018/12/10",59.611
"2018/12/11",59.53
"2018/12/12",60.67
"2018/12/13",60.62
"2018/12/14",61.491
"2018/12/17",59.901
"2018/12/18",60.721
"2018/12/19",60.07
"2018/12/20",58.57
"2018/12/21",57.131
"2018/12/24",56.041
"2018/12/26",58.701
"2018/12/27",59.451
"2018/12/28",60.131
"2018/12/31",62.081
