x,y
"2012/01/03",29.87
"2012/01/04",29.524
"2012/01/05",29.908
"2012/01/06",30.04
"2012/01/09",30.323
"2012/01/10",30.568
"2012/01/11",31.04
"2012/01/12",30.713
"2012/01/13",30.147
"2012/01/17",30.543
"2012/01/18",31.481
"2012/01/19",32.117
"2012/01/20",32.412
"2012/01/23",31.827
"2012/01/24",32.261
"2012/01/25",32.249
"2012/01/26",31.632
"2012/01/27",32.935
"2012/01/30",32.142
"2012/01/31",32.167
"2012/02/01",32.538
"2012/02/02",32.431
"2012/02/03",32.714
"2012/02/06",31.991
"2012/02/07",32.161
"2012/02/08",32.299
"2012/02/09",31.953
"2012/02/10",31.097
"2012/02/13",30.915
"2012/02/14",31.217
"2012/02/15",31.047
"2012/02/16",32.124
"2012/02/17",31.801
"2012/02/21",30.559
"2012/02/22",30.616
"2012/02/23",30.774
"2012/02/24",30.267
"2012/02/27",30.584
"2012/02/28",31.097
"2012/02/29",30.673
"2012/03/01",30.476
"2012/03/02",30.267
"2012/03/05",29.792
"2012/03/06",30.001
"2012/03/07",30.191
"2012/03/08",30.394
"2012/03/09",31.351
"2012/03/12",31.579
"2012/03/13",32.061
"2012/03/14",32.105
"2012/03/15",32.885
"2012/03/16",32.955
"2012/03/19",33.189
"2012/03/20",33.398
"2012/03/21",33.392
"2012/03/22",33.138
"2012/03/23",33.519
"2012/03/26",34.279
"2012/03/27",34.508
"2012/03/28",34.26
"2012/03/29",34.292
"2012/03/30",34.495
"2012/04/02",34.653
"2012/04/03",34.197
"2012/04/04",33.684
"2012/04/05",34.013
"2012/04/09",33.772
"2012/04/10",32.999
"2012/04/11",33.722
"2012/04/12",34.058
"2012/04/13",33.417
"2012/04/16",33.392
"2012/04/17",33.899
"2012/04/18",33.905
"2012/04/19",33.829
"2012/04/20",33.36
"2012/04/23",32.891
"2012/04/24",32.726
"2012/04/25",33.722
"2012/04/26",34.932
"2012/04/27",33.145
"2012/04/30",33.043
"2012/05/01",33.107
"2012/05/02",32.872
"2012/05/03",32.213
"2012/05/04",31.605
"2012/05/07",31.522
"2012/05/08",31.63
"2012/05/09",31.712
"2012/05/10",31.917
"2012/05/11",31.936
"2012/05/14",31.904
"2012/05/15",31.687
"2012/05/16",30.072
"2012/05/17",29.516
"2012/05/18",29.082
"2012/05/21",29.491
"2012/05/22",29.363
"2012/05/23",29.299
"2012/05/24",29.197
"2012/05/25",29.459
"2012/05/29",29.899
"2012/05/30",29.344
"2012/05/31",29.255
"2012/06/01",28.444
"2012/06/04",28.501
"2012/06/05",28.706
"2012/06/06",29.702
"2012/06/07",29.325
"2012/06/08",30.212
"2012/06/11",29.995
"2012/06/12",30.416
"2012/06/13",30.282
"2012/06/14",30.199
"2012/06/15",30.838
"2012/06/18",31.546
"2012/06/19",31.629
"2012/06/20",31.757
"2012/06/21",30.908
"2012/06/22",30.953
"2012/06/25",30.04
"2012/06/26",30.295
"2012/06/27",30.71
"2012/06/28",30.321
"2012/06/29",31.438
"2012/07/02",31.246
"2012/07/03",31.253
"2012/07/05",31.151
"2012/07/06",29.402
"2012/07/09",29.121
"2012/07/10",29.038
"2012/07/11",29.07
"2012/07/12",29.121
"2012/07/13",29.178
"2012/07/16",29.102
"2012/07/17",29.376
"2012/07/18",31.087
"2012/07/19",31.495
"2012/07/20",31.419
"2012/07/23",30.787
"2012/07/24",30.704
"2012/07/25",31.24
"2012/07/26",31.699
"2012/07/27",32.497
"2012/07/30",32.651
"2012/07/31",32.497
"2012/08/01",32.414
"2012/08/02",32.938
"2012/08/03",33.257
"2012/08/06",33.212
"2012/08/07",33.691
"2012/08/08",33.774
"2012/08/09",34.128
"2012/08/10",34.166
"2012/08/13",34.057
"2012/08/14",33.633
"2012/08/15",33.8
"2012/08/16",34.289
"2012/08/17",34.308
"2012/08/20",34.282
"2012/08/21",34.469
"2012/08/22",34.263
"2012/08/23",34.128
"2012/08/24",34.321
"2012/08/27",34.076
"2012/08/28",33.227
"2012/08/29",33.594
"2012/08/30",32.732
"2012/08/31",33.002
"2012/09/04",33.523
"2012/09/05",32.906
"2012/09/06",33.716
"2012/09/07",33.35
"2012/09/10",33.555
"2012/09/11",33.337
"2012/09/12",33.118
"2012/09/13",33.112
"2012/09/14",33.755
"2012/09/17",33.35
"2012/09/18",32.706
"2012/09/19",31.15
"2012/09/20",30.61
"2012/09/21",30.655
"2012/09/24",30.314
"2012/09/25",30.134
"2012/09/26",30.127
"2012/09/27",30.809
"2012/09/28",30.687
"2012/10/01",30.417
"2012/10/02",30.584
"2012/10/03",30.346
"2012/10/04",30.327
"2012/10/05",30.307
"2012/10/08",30.127
"2012/10/09",29.889
"2012/10/10",29.297
"2012/10/11",28.879
"2012/10/12",29.04
"2012/10/15",29.433
"2012/10/16",29.786
"2012/10/17",29.413
"2012/10/18",29.954
"2012/10/19",29.317
"2012/10/22",30.192
"2012/10/23",29.973
"2012/10/24",30.314
"2012/10/25",30.32
"2012/10/26",29.992
"2012/10/31",29.941
"2012/11/01",31.336
"2012/11/02",30.809
"2012/11/05",31.021
"2012/11/06",31.452
"2012/11/07",30.179
"2012/11/08",29.368
"2012/11/09",29.741
"2012/11/12",30.616
"2012/11/13",29.632
"2012/11/14",29.027
"2012/11/15",28.534
"2012/11/16",28.768
"2012/11/19",28.716
"2012/11/20",28.768
"2012/11/21",28.638
"2012/11/23",29.313
"2012/11/26",29.28
"2012/11/27",29.034
"2012/11/28",29.546
"2012/11/29",29.572
"2012/11/30",29.508
"2012/12/03",29.456
"2012/12/04",30.624
"2012/12/05",30.111
"2012/12/06",30.474
"2012/12/07",30.624
"2012/12/10",30.773
"2012/12/11",30.773
"2012/12/12",30.552
"2012/12/13",30.247
"2012/12/14",30.617
"2012/12/17",30.728
"2012/12/18",31.046
"2012/12/19",31.097
"2012/12/20",31.48
"2012/12/21",31.389
"2012/12/24",31.026
"2012/12/26",30.942
"2012/12/27",30.779
"2012/12/28",30.513
"2012/12/31",30.994
