x,y
"2018/01/02",178.847
"2018/01/03",181.889
"2018/01/04",182.721
"2018/01/05",185.574
"2018/01/08",186.973
"2018/01/09",186.68
"2018/01/10",181.096
"2018/01/11",178.696
"2018/01/12",178.119
"2018/01/16",179.896
"2018/01/17",193.776
"2018/01/18",194.125
"2018/01/19",196.091
"2018/01/22",197.659
"2018/01/23",203.215
"2018/01/24",198.17
"2018/01/25",188.267
"2018/01/26",191.404
"2018/01/29",185.168
"2018/01/30",180.548
"2018/01/31",180.963
"2018/02/01",178.686
"2018/02/02",169.19
"2018/02/05",160.96
"2018/02/06",168.51
"2018/02/07",162.17
"2018/02/08",153.288
"2018/02/09",156.727
"2018/02/12",163.417
"2018/02/13",163.048
"2018/02/14",172.922
"2018/02/15",175.474
"2018/02/16",177.552
"2018/02/20",182.777
"2018/02/21",178.8
"2018/02/22",177.978
"2018/02/23",182.456
"2018/02/26",187.492
"2018/02/27",182.806
"2018/02/28",181.285
"2018/03/01",179.593
"2018/03/02",183.807
"2018/03/05",187.748
"2018/03/06",196.974
"2018/03/07",200.573
"2018/03/08",201.521
"2018/03/09",213.087
"2018/03/12",216.592
"2018/03/13",212.158
"2018/03/14",210.899
"2018/03/15",211.315
"2018/03/16",210.217
"2018/03/19",206.105
"2018/03/20",207.574
"2018/03/21",212.452
"2018/03/22",203.491
"2018/03/23",191.944
"2018/03/26",203.624
"2018/03/27",191.934
"2018/03/28",185.863
"2018/03/29",192.446
"2018/04/02",183.646
"2018/04/03",187.53
"2018/04/04",191.035
"2018/04/05",184.735
"2018/04/06",180.596
"2018/04/09",182.935
"2018/04/10",189.614
"2018/04/11",190.267
"2018/04/12",195.155
"2018/04/13",192.995
"2018/04/16",192.815
"2018/04/17",201.132
"2018/04/18",193.024
"2018/04/19",180.349
"2018/04/20",181.789
"2018/04/23",181.742
"2018/04/24",176.02
"2018/04/25",176.826
"2018/04/26",180.359
"2018/04/27",177.385
"2018/04/30",175.301
"2018/05/01",180.349
"2018/05/02",179.525
"2018/05/03",179.44
"2018/05/04",185.162
"2018/05/07",183.277
"2018/05/08",184.584
"2018/05/09",189.187
"2018/05/10",193.251
"2018/05/11",190.921
"2018/05/14",193.27
"2018/05/15",191.527
"2018/05/16",195.998
"2018/05/17",192.607
"2018/05/18",185.18
"2018/05/21",189.329
"2018/05/22",192.275
"2018/05/23",192.588
"2018/05/24",193.592
"2018/05/25",191.376
"2018/05/29",189.718
"2018/05/30",191.186
"2018/05/31",187.729
"2018/06/01",191.991
"2018/06/04",193.801
"2018/06/05",192.229
"2018/06/06",190.105
"2018/06/07",179.839
"2018/06/08",179.077
"2018/06/11",174.962
"2018/06/12",178.029
"2018/06/13",175.801
"2018/06/14",172.543
"2018/06/15",169.915
"2018/06/18",165.905
"2018/06/19",165.096
"2018/06/20",166.229
"2018/06/21",167.667
"2018/06/22",166.381
"2018/06/25",162.867
"2018/06/26",165.648
"2018/06/27",161.715
"2018/06/28",162.734
"2018/06/29",164.62
"2018/07/02",164.81
"2018/07/03",159.286
"2018/07/05",163.639
"2018/07/06",165.581
"2018/07/09",168.591
"2018/07/10",168.001
"2018/07/11",161.201
"2018/07/12",163.162
"2018/07/13",163.61
"2018/07/16",163.61
"2018/07/17",168.801
"2018/07/18",172.686
"2018/07/19",169.743
"2018/07/20",169.343
"2018/07/23",166.515
"2018/07/24",165.134
"2018/07/25",164.572
"2018/07/26",168.82
"2018/07/27",180.972
"2018/07/30",178.896
"2018/07/31",181.562
"2018/08/01",177.42
"2018/08/02",178.191
"2018/08/03",178.372
"2018/08/06",179.343
"2018/08/07",177.058
"2018/08/08",180.972
"2018/08/09",175.705
"2018/08/10",169.62
"2018/08/13",169.667
"2018/08/14",168.277
"2018/08/15",164.601
"2018/08/16",165.991
"2018/08/17",161.82
"2018/08/20",163.124
"2018/08/21",166.086
"2018/08/22",164.839
"2018/08/23",164.543
"2018/08/24",164.248
"2018/08/27",167.82
"2018/08/28",165.848
"2018/08/29",164.401
"2018/08/30",164.258
"2018/08/31",164.848
"2018/09/04",163.772
"2018/09/05",163.848
"2018/09/06",152.429
"2018/09/07",151.981
"2018/09/10",151.867
"2018/09/11",149.029
"2018/09/12",144.205
"2018/09/13",146.842
"2018/09/14",147.168
"2018/09/17",145.864
"2018/09/18",147.35
"2018/09/19",146.909
