x,y
"2019/01/02",69.215
"2019/01/03",64.336
"2019/01/04",66.945
"2019/01/07",68.905
"2019/01/08",70.777
"2019/01/09",73.581
"2019/01/10",74.328
"2019/01/11",74.822
"2019/01/14",72.019
"2019/01/15",72.766
"2019/01/16",72.834
"2019/01/17",73.872
"2019/01/18",75.317
"2019/01/22",72.931
"2019/01/23",72.135
"2019/01/24",76.093
"2019/01/25",78.218
"2019/01/28",77.849
"2019/01/29",77.112
"2019/01/30",78.082
"2019/01/31",77.965
"2019/02/01",79.421
"2019/02/04",80.109
"2019/02/05",80.75
"2019/02/06",86.638
"2019/02/07",85.435
"2019/02/08",84.795
"2019/02/11",86.298
"2019/02/12",88.772
"2019/02/13",88.462
"2019/02/14",87.889
"2019/02/15",88.374
"2019/02/19",87.977
"2019/02/20",87.319
"2019/02/21",86.686
"2019/02/22",86.725
"2019/02/25",87.475
"2019/02/26",86.745
"2019/02/27",84.806
"2019/02/28",84.612
"2019/03/01",86.335
"2019/03/04",86.267
"2019/03/05",85.001
"2019/03/06",84.232
"2019/03/07",82.254
"2019/03/08",82.839
"2019/03/11",84.543
"2019/03/12",84.056
"2019/03/13",82.849
"2019/03/14",81.816
"2019/03/15",83.862
"2019/03/18",83.112
"2019/03/19",83.862
"2019/03/20",82.089
"2019/03/21",85.108
"2019/03/22",83.199
"2019/03/25",81.641
"2019/03/26",82.06
"2019/03/27",79.255
"2019/03/28",79.04
"2019/03/29",80.803
"2019/04/01",85.186
"2019/04/02",85.439
"2019/04/03",87.952
"2019/04/04",88.897
"2019/04/05",90.504
"2019/04/08",91.615
"2019/04/09",90.485
"2019/04/10",91.8
"2019/04/11",91.527
"2019/04/12",92.881
"2019/04/15",93.115
"2019/04/16",95.228
"2019/04/17",96.689
"2019/04/18",96.144
"2019/04/22",95.062
"2019/04/23",95.608
"2019/04/24",96.27
"2019/04/25",94.946
"2019/04/26",95.851
"2019/04/29",96.153
"2019/04/30",97.293
"2019/05/01",96.387
"2019/05/02",97.517
"2019/05/03",98.131
"2019/05/06",94.459
"2019/05/07",91.702
"2019/05/08",89.16
"2019/05/09",87.056
"2019/05/10",86.92
"2019/05/13",81.436
"2019/05/14",82.459
"2019/05/15",83.569
"2019/05/16",82.868
"2019/05/17",81.095
"2019/05/20",77.814
"2019/05/21",80.172
"2019/05/22",80.054
"2019/05/23",79.82
"2019/05/24",78.675
"2019/05/28",77.394
"2019/05/29",78.802
"2019/05/30",79.575
"2019/05/31",78.294
"2019/06/03",78.02
"2019/06/04",82.432
"2019/06/05",80.544
"2019/06/06",81.326
"2019/06/07",81.855
"2019/06/10",83.889
"2019/06/11",83.488
"2019/06/12",81.992
"2019/06/13",82.275
"2019/06/14",81.385
"2019/06/17",79.467
"2019/06/18",83.156
"2019/06/19",82.911
"2019/06/20",83.723
"2019/06/21",83.254
"2019/06/24",83.283
"2019/06/25",82.119
"2019/06/26",85.279
"2019/06/27",85.249
"2019/06/28",84.819
"2019/07/01",89.417
"2019/07/02",87.793
"2019/07/03",87.822
"2019/07/05",87.294
"2019/07/08",86.022
"2019/07/09",87.284
"2019/07/10",87.421
"2019/07/11",87.783
"2019/07/12",89.72
"2019/07/15",90.591
"2019/07/16",88.781
"2019/07/17",88.791
"2019/07/18",90.884
"2019/07/19",90.307
"2019/07/22",91.53
"2019/07/23",93.496
"2019/07/24",97.674
"2019/07/25",95.922
"2019/07/26",95.981
"2019/07/29",96.245
"2019/07/30",94.885
"2019/07/31",92.371
"2019/08/01",89.612
"2019/08/02",86.149
"2019/08/05",81.806
"2019/08/06",83.214
"2019/08/07",86.501
"2019/08/08",88.83
"2019/08/09",85.944
"2019/08/12",85.406
"2019/08/13",88.419
"2019/08/14",85.024
"2019/08/15",84.956
"2019/08/16",86.462
"2019/08/19",88.096
"2019/08/20",87.316
"2019/08/21",87.444
"2019/08/22",87.994
"2019/08/23",83.082
"2019/08/26",83.23
"2019/08/27",82.857
"2019/08/28",83.377
"2019/08/29",85.037
"2019/08/30",84.801
"2019/09/03",83.387
"2019/09/04",84.988
"2019/09/05",87.257
"2019/09/06",88.917
"2019/09/09",90.243
"2019/09/10",90.931
"2019/09/11",93.73
"2019/09/12",93.78
"2019/09/13",93.318
"2019/09/16",92.778
"2019/09/17",92.1
"2019/09/18",91.913
"2019/09/19",90.852
"2019/09/20",88.848
"2019/09/23",90.292
"2019/09/24",89.035
"2019/09/25",91.363
"2019/09/26",90.734
"2019/09/27",89.674
