x,y
"2016/01/04",8.237
"2016/01/05",7.975
"2016/01/06",7.535
"2016/01/07",7.61
"2016/01/08",7.694
"2016/01/11",7.788
"2016/01/12",7.938
"2016/01/13",7.76
"2016/01/14",7.807
"2016/01/15",7.591
"2016/01/19",7.273
"2016/01/20",7.404
"2016/01/21",7.591
"2016/01/22",7.657
"2016/01/25",7.657
"2016/01/26",7.788
"2016/01/27",7.666
"2016/01/28",7.844
"2016/01/29",8.284
"2016/02/01",8.359
"2016/02/02",8.116
"2016/02/03",8.677
"2016/02/04",8.705
"2016/02/05",8.387
"2016/02/08",8.284
"2016/02/09",8.144
"2016/02/10",8.031
"2016/02/11",7.872
"2016/02/12",8.059
"2016/02/16",8.537
"2016/02/17",8.705
"2016/02/18",8.687
"2016/02/19",8.574
"2016/02/22",8.705
"2016/02/23",8.668
"2016/02/24",8.883
"2016/02/25",8.939
"2016/02/26",8.93
"2016/02/29",8.939
"2016/03/01",9.126
"2016/03/02",9.304
"2016/03/03",9.173
"2016/03/04",9.126
"2016/03/07",9.52
"2016/03/08",9.211
"2016/03/09",9.239
"2016/03/10",9.36
"2016/03/11",9.623
"2016/03/14",9.604
"2016/03/15",9.566
"2016/03/16",9.613
"2016/03/17",9.613
"2016/03/18",9.707
"2016/03/21",9.81
"2016/03/22",9.744
"2016/03/23",9.632
"2016/03/24",9.641
"2016/03/28",9.594
"2016/03/29",9.707
"2016/03/30",9.717
"2016/03/31",9.707
"2016/04/01",9.359
"2016/04/04",9.058
"2016/04/05",10.244
"2016/04/06",10.272
"2016/04/07",10.065
"2016/04/08",9.905
"2016/04/11",10.065
"2016/04/12",10.037
"2016/04/13",10.15
"2016/04/14",9.848
"2016/04/15",9.585
"2016/04/18",9.321
"2016/04/19",9.227
"2016/04/20",9.302
"2016/04/21",9.236
"2016/04/22",9.585
"2016/04/25",9.368
"2016/04/26",9.378
"2016/04/27",9.773
"2016/04/28",9.83
"2016/04/29",9.397
"2016/05/02",9.18
"2016/05/03",9.086
"2016/05/04",8.926
"2016/05/05",8.992
"2016/05/06",9.011
"2016/05/09",9.095
"2016/05/10",9.171
"2016/05/11",9.152
"2016/05/12",8.954
"2016/05/13",8.963
"2016/05/16",9.133
"2016/05/17",9.161
"2016/05/18",9.227
"2016/05/19",9.161
"2016/05/20",9.359
"2016/05/23",9.349
"2016/05/24",9.425
"2016/05/25",9.472
"2016/05/26",9.557
"2016/05/27",9.481
"2016/05/31",9.632
"2016/06/01",9.651
"2016/06/02",9.679
"2016/06/03",9.575
"2016/06/06",9.425
"2016/06/07",9.51
"2016/06/08",9.585
"2016/06/09",9.66
"2016/06/10",9.3
"2016/06/13",9.196
"2016/06/14",9.386
"2016/06/15",9.509
"2016/06/16",9.764
"2016/06/17",9.49
"2016/06/20",9.603
"2016/06/21",9.556
"2016/06/22",9.679
"2016/06/23",9.859
"2016/06/24",9.262
"2016/06/27",8.637
"2016/06/28",8.742
"2016/06/29",8.94
"2016/06/30",9.026
"2016/07/01",9.026
"2016/07/05",8.874
"2016/07/06",8.94
"2016/07/07",9.253
"2016/07/08",9.471
"2016/07/11",9.471
"2016/07/12",9.518
"2016/07/13",9.48
"2016/07/14",9.556
"2016/07/15",9.471
"2016/07/18",9.546
"2016/07/19",9.329
"2016/07/20",10.645
"2016/07/21",10.683
"2016/07/22",11.09
"2016/07/25",10.929
"2016/07/26",11.024
"2016/07/27",11.052
"2016/07/28",11.261
"2016/07/29",11.128
"2016/08/01",11.223
"2016/08/02",10.759
"2016/08/03",10.702
"2016/08/04",10.806
"2016/08/05",10.806
"2016/08/08",10.806
"2016/08/09",10.977
"2016/08/10",10.863
"2016/08/11",10.816
"2016/08/12",10.797
"2016/08/15",11.081
"2016/08/16",10.929
"2016/08/17",10.995
"2016/08/18",11.033
"2016/08/19",11.507
"2016/08/22",11.772
"2016/08/23",11.573
"2016/08/24",11.469
"2016/08/25",11.535
"2016/08/26",11.62
"2016/08/29",11.649
"2016/08/30",11.649
"2016/08/31",11.744
"2016/09/01",12.189
"2016/09/02",12.321
"2016/09/06",12.255
"2016/09/07",11.961
"2016/09/08",11.886
"2016/09/09",11.658
"2016/09/12",11.876
"2016/09/13",11.791
"2016/09/14",11.8
"2016/09/15",11.905
"2016/09/16",12.066
"2016/09/19",12.217
"2016/09/20",11.924
"2016/09/21",12.236
"2016/09/22",12.274
"2016/09/23",12.321
"2016/09/26",12.245
"2016/09/27",12.454
"2016/09/28",12.531
"2016/09/29",12.597
"2016/09/30",12.626
"2016/10/03",12.388
"2016/10/04",12.388
"2016/10/05",12.531
"2016/10/06",12.54
"2016/10/07",12.474
"2016/10/10",12.531
"2016/10/11",12.207
"2016/10/12",12.312
"2016/10/13",12.369
"2016/10/14",12.369
"2016/10/17",12.245
"2016/10/18",12.378
"2016/10/19",12.283
"2016/10/20",12.416
"2016/10/21",12.274
"2016/10/24",12.435
"2016/10/25",12.521
"2016/10/26",12.749
"2016/10/27",12.483
"2016/10/28",12.464
"2016/10/31",12.397
"2016/11/01",12.321
"2016/11/02",12.312
"2016/11/03",12.017
"2016/11/04",11.912
"2016/11/07",12.226
"2016/11/08",12.083
"2016/11/09",12.083
"2016/11/10",11.884
"2016/11/11",12.35
"2016/11/14",12.55
"2016/11/15",12.778
"2016/11/16",12.778
"2016/11/17",12.711
"2016/11/18",14.081
"2016/11/21",14.034
"2016/11/22",14.091
"2016/11/23",13.977
"2016/11/25",13.948
"2016/11/28",13.777
"2016/11/29",13.682
"2016/11/30",13.644
"2016/12/01",13.301
"2016/12/02",13.397
"2016/12/05",13.406
"2016/12/06",13.435
"2016/12/07",13.731
"2016/12/08",13.617
"2016/12/09",13.712
"2016/12/12",13.54
"2016/12/13",13.674
"2016/12/14",13.626
"2016/12/15",13.846
"2016/12/16",13.683
"2016/12/19",13.569
"2016/12/20",13.703
"2016/12/21",13.741
"2016/12/22",13.655
"2016/12/23",13.683
"2016/12/27",13.703
"2016/12/28",13.511
"2016/12/29",13.483
"2016/12/30",13.253
