x,y
"2009/01/02",15.472
"2009/01/05",15.616
"2009/01/06",15.799
"2009/01/07",14.848
"2009/01/08",15.312
"2009/01/09",14.855
"2009/01/12",14.817
"2009/01/13",15.084
"2009/01/14",14.528
"2009/01/15",14.642
"2009/01/16",15
"2009/01/20",14.064
"2009/01/21",14.749
"2009/01/22",13.021
"2009/01/23",13.09
"2009/01/26",13.417
"2009/01/27",13.44
"2009/01/28",13.729
"2009/01/29",13.387
"2009/01/30",13.014
"2009/02/02",13.569
"2009/02/03",14.079
"2009/02/04",14.178
"2009/02/05",14.49
"2009/02/06",14.962
"2009/02/09",14.794
"2009/02/10",14.307
"2009/02/11",14.619
"2009/02/12",14.657
"2009/02/13",14.528
"2009/02/17",13.861
"2009/02/18",13.884
"2009/02/19",13.723
"2009/02/20",13.792
"2009/02/23",13.187
"2009/02/24",13.156
"2009/02/25",12.996
"2009/02/26",12.582
"2009/02/27",12.375
"2009/03/02",12.099
"2009/03/03",12.168
"2009/03/04",12.352
"2009/03/05",11.701
"2009/03/06",11.708
"2009/03/09",11.609
"2009/03/10",12.628
"2009/03/11",13.111
"2009/03/12",13.034
"2009/03/13",12.758
"2009/03/16",12.452
"2009/03/17",12.95
"2009/03/18",12.996
"2009/03/19",13.133
"2009/03/20",13.072
"2009/03/23",14.045
"2009/03/24",13.739
"2009/03/25",13.701
"2009/03/26",14.428
"2009/03/27",13.892
"2009/03/30",13.394
"2009/03/31",14.076
"2009/04/01",14.796
"2009/04/02",14.781
"2009/04/03",14.367
"2009/04/06",14.375
"2009/04/07",14.375
"2009/04/08",14.704
"2009/04/09",15.072
"2009/04/13",15.011
"2009/04/14",14.827
"2009/04/15",14.428
"2009/04/16",15.141
"2009/04/17",14.712
"2009/04/20",14.26
"2009/04/21",14.536
"2009/04/22",14.39
"2009/04/23",14.497
"2009/04/24",16.022
"2009/04/27",15.631
"2009/04/28",15.271
"2009/04/29",15.516
"2009/04/30",15.524
"2009/05/01",15.509
"2009/05/04",15.47
"2009/05/05",15.164
"2009/05/06",15.164
"2009/05/07",14.804
"2009/05/08",14.88
"2009/05/11",14.804
"2009/05/12",15.241
"2009/05/13",15.133
"2009/05/14",15.371
"2009/05/15",15.493
"2009/05/18",15.785
"2009/05/19",15.661
"2009/05/20",15.715
"2009/05/21",15.283
"2009/05/22",15.229
"2009/05/26",15.684
"2009/05/27",15.522
"2009/05/28",15.769
"2009/05/29",16.108
"2009/06/01",16.502
"2009/06/02",16.502
"2009/06/03",16.756
"2009/06/04",16.833
"2009/06/05",17.072
"2009/06/08",17.003
"2009/06/09",17.026
"2009/06/10",17.388
"2009/06/11",17.604
"2009/06/12",17.99
"2009/06/15",18.059
"2009/06/16",18.082
"2009/06/17",18.26
"2009/06/18",18.121
"2009/06/19",18.561
"2009/06/22",17.951
"2009/06/23",17.998
"2009/06/24",18.098
"2009/06/25",18.345
"2009/06/26",18.005
"2009/06/29",18.399
"2009/06/30",18.329
"2009/07/01",18.537
"2009/07/02",18.021
"2009/07/06",17.89
"2009/07/07",17.373
"2009/07/08",17.396
"2009/07/09",17.304
"2009/07/10",17.265
"2009/07/13",17.913
"2009/07/14",17.82
"2009/07/15",18.599
"2009/07/16",18.846
"2009/07/17",18.73
"2009/07/20",18.915
"2009/07/21",19.147
"2009/07/22",19.123
"2009/07/23",19.709
"2009/07/24",18.082
"2009/07/27",17.82
"2009/07/28",18.098
"2009/07/29",18.352
"2009/07/30",18.36
"2009/07/31",18.136
"2009/08/03",18.375
"2009/08/04",18.329
"2009/08/05",18.36
"2009/08/06",18.09
"2009/08/07",18.167
"2009/08/10",18.059
"2009/08/11",17.836
"2009/08/12",18.144
"2009/08/13",18.214
"2009/08/14",18.268
"2009/08/17",17.928
"2009/08/18",18.285
"2009/08/19",18.339
"2009/08/20",18.355
"2009/08/21",18.929
"2009/08/24",19.107
"2009/08/25",19.107
"2009/08/26",19.037
"2009/08/27",19.146
"2009/08/28",19.138
"2009/08/31",19.115
"2009/09/01",18.611
"2009/09/02",18.502
"2009/09/03",18.696
"2009/09/04",19.091
"2009/09/08",19.246
"2009/09/09",19.215
"2009/09/10",19.386
"2009/09/11",19.277
"2009/09/14",19.386
"2009/09/15",19.541
"2009/09/16",19.541
"2009/09/17",19.619
"2009/09/18",19.588
"2009/09/21",19.619
"2009/09/22",19.983
"2009/09/23",19.937
"2009/09/24",20.115
"2009/09/25",19.813
"2009/09/28",20.03
"2009/09/29",19.968
"2009/09/30",19.944
"2009/10/01",19.293
"2009/10/02",19.355
"2009/10/05",19.107
"2009/10/06",19.471
"2009/10/07",19.464
"2009/10/08",19.906
"2009/10/09",19.813
"2009/10/12",19.944
"2009/10/13",20.014
"2009/10/14",20.13
"2009/10/15",20.712
"2009/10/16",20.549
"2009/10/19",20.441
"2009/10/20",20.448
"2009/10/21",20.611
"2009/10/22",20.619
"2009/10/23",21.728
"2009/10/26",22.24
"2009/10/27",22.17
"2009/10/28",21.728
"2009/10/29",21.883
"2009/10/30",21.503
"2009/11/02",21.619
"2009/11/03",21.348
"2009/11/04",21.759
"2009/11/05",22.077
"2009/11/06",22.116
"2009/11/09",22.48
"2009/11/10",22.495
"2009/11/11",22.581
"2009/11/12",22.767
"2009/11/13",22.976
"2009/11/16",22.906
"2009/11/17",23.366
"2009/11/18",23.452
"2009/11/19",23.195
"2009/11/20",23.07
"2009/11/23",23.319
"2009/11/24",23.296
"2009/11/25",23.202
"2009/11/27",22.758
"2009/11/30",22.906
"2009/12/01",23.374
"2009/12/02",23.195
"2009/12/03",23.234
"2009/12/04",23.35
"2009/12/07",23.202
"2009/12/08",23.031
"2009/12/09",23.14
"2009/12/10",23.265
"2009/12/11",23.249
"2009/12/14",23.452
"2009/12/15",23.382
"2009/12/16",23.444
"2009/12/17",23.054
"2009/12/18",23.646
"2009/12/21",23.771
"2009/12/22",24.005
"2009/12/23",24.082
"2009/12/24",24.145
"2009/12/28",24.277
"2009/12/29",24.449
"2009/12/30",24.114
"2009/12/31",23.74
