x,y
"2011/01/03",30.725
"2011/01/04",33.18
"2011/01/05",33.23
"2011/01/06",33.105
"2011/01/07",32.454
"2011/01/10",32.145
"2011/01/11",32.02
"2011/01/12",31.67
"2011/01/13",31.578
"2011/01/14",31.937
"2011/01/18",31.461
"2011/01/19",31.152
"2011/01/20",30.902
"2011/01/21",30.994
"2011/01/24",32.254
"2011/01/25",32.287
"2011/01/26",32.737
"2011/01/27",32.187
"2011/01/28",31.67
"2011/01/31",32.345
"2011/02/01",32.554
"2011/02/02",32.212
"2011/02/03",32.362
"2011/02/04",32.796
"2011/02/07",33.714
"2011/02/08",33.255
"2011/02/09",32.996
"2011/02/10",32.854
"2011/02/11",32.821
"2011/02/14",32.562
"2011/02/15",32.37
"2011/02/16",32.345
"2011/02/17",32.47
"2011/02/18",32.546
"2011/02/22",31.736
"2011/02/23",31.194
"2011/02/24",31.311
"2011/02/25",31.82
"2011/02/28",32.237
"2011/03/01",31.861
"2011/03/02",32.779
"2011/03/03",33.597
"2011/03/04",33.497
"2011/03/07",33.555
"2011/03/08",34.698
"2011/03/09",34.431
"2011/03/10",33.622
"2011/03/11",34.406
"2011/03/14",34.197
"2011/03/15",33.797
"2011/03/16",33.905
"2011/03/17",34.364
"2011/03/18",34.731
"2011/03/21",35.073
"2011/03/22",35.591
"2011/03/23",36.008
"2011/03/24",37.092
"2011/03/25",36.667
"2011/03/28",36.684
"2011/03/29",36.809
"2011/03/30",37.176
"2011/03/31",37.284
"2011/04/01",37.042
"2011/04/04",36.959
"2011/04/05",36.85
"2011/04/06",36.934
"2011/04/07",36.909
"2011/04/08",36.592
"2011/04/11",36.867
"2011/04/12",36.583
"2011/04/13",36.859
"2011/04/14",36.667
"2011/04/15",36.55
"2011/04/18",36.25
"2011/04/19",36.6
"2011/04/20",36.709
"2011/04/21",36.875
"2011/04/25",36.792
"2011/04/26",36.275
"2011/04/27",36.225
"2011/04/28",38.928
"2011/04/29",38.277
"2011/05/02",38.035
"2011/05/03",37.701
"2011/05/04",37.309
"2011/05/05",37.81
"2011/05/06",38.394
"2011/05/09",38.844
"2011/05/10",39.387
"2011/05/11",39.295
"2011/05/12",39.412
"2011/05/13",38.919
"2011/05/16",38.619
"2011/05/17",38.811
"2011/05/18",39.278
"2011/05/19",39.295
"2011/05/20",39.028
"2011/05/23",38.502
"2011/05/24",38.669
"2011/05/25",38.786
"2011/05/26",39.111
"2011/05/27",39.695
"2011/05/31",39.937
"2011/06/01",39.111
"2011/06/02",39.462
"2011/06/03",38.769
"2011/06/06",38.753
"2011/06/07",38.919
"2011/06/08",38.085
