x,y
"2006/01/03",13.511
"2006/01/04",14.051
"2006/01/05",14.181
"2006/01/06",14.471
"2006/01/09",14.7
"2006/01/10",14.57
"2006/01/11",14.75
"2006/01/12",14.57
"2006/01/13",14.511
"2006/01/17",13.971
"2006/01/18",14.061
"2006/01/19",14.33
"2006/01/20",14.011
"2006/01/23",14.181
"2006/01/24",14.101
"2006/01/25",14.11
"2006/01/26",14.351
"2006/01/27",14.7
"2006/01/30",14.931
"2006/01/31",14.681
"2006/02/01",15.021
"2006/02/02",14.95
"2006/02/03",14.891
"2006/02/06",16.011
"2006/02/07",16.361
"2006/02/08",16.351
"2006/02/09",16.261
"2006/02/10",16.4
"2006/02/13",16.191
"2006/02/14",16.63
"2006/02/15",16.781
"2006/02/16",16.99
"2006/02/17",16.65
"2006/02/21",16.08
"2006/02/22",16.31
"2006/02/23",15.75
"2006/02/24",15.881
"2006/02/27",15.65
"2006/02/28",15.511
"2006/03/01",15.95
"2006/03/02",15.851
"2006/03/03",15.891
"2006/03/06",15.601
"2006/03/07",14.98
"2006/03/08",14.87
"2006/03/09",14.521
"2006/03/10",14.471
"2006/03/13",14.78
"2006/03/14",15.08
"2006/03/15",15.011
"2006/03/16",14.591
"2006/03/17",14.771
"2006/03/20",14.82
"2006/03/21",15
"2006/03/22",14.551
"2006/03/23",14.431
"2006/03/24",14.471
"2006/03/27",14.771
"2006/03/28",14.431
"2006/03/29",14.891
"2006/03/30",14.82
"2006/03/31",14.721
"2006/04/03",15.45
"2006/04/04",15.641
"2006/04/05",15.561
"2006/04/06",15.58
"2006/04/07",15.25
"2006/04/10",14.91
"2006/04/11",15.101
"2006/04/12",15.32
"2006/04/13",15.04
"2006/04/17",15.12
"2006/04/18",16.031
"2006/04/19",16.5
"2006/04/20",16.8
"2006/04/21",16.4
"2006/04/24",16.4
"2006/04/25",16.47
"2006/04/26",16.8
"2006/04/27",17.4
"2006/04/28",16.97
"2006/05/01",16.74
"2006/05/02",16.75
"2006/05/03",16.73
"2006/05/04",16.96
"2006/05/05",17.05
"2006/05/08",17.24
"2006/05/09",17.25
"2006/05/10",16.611
"2006/05/11",16.111
"2006/05/12",15.811
"2006/05/15",15.83
"2006/05/16",15.971
"2006/05/17",15.631
"2006/05/18",15.36
"2006/05/19",15.771
"2006/05/22",15.561
"2006/05/23",15.24
"2006/05/24",15.461
"2006/05/25",16.171
"2006/05/26",16.371
"2006/05/30",16.06
"2006/05/31",16.56
"2006/06/01",16.871
"2006/06/02",16.46
"2006/06/05",16.031
"2006/06/06",16.261
"2006/06/07",15.82
"2006/06/08",15.53
"2006/06/09",15.53
"2006/06/12",15.141
"2006/06/13",14.851
"2006/06/14",15.261
"2006/06/15",16.041
"2006/06/16",16.351
"2006/06/19",15.891
"2006/06/20",15.971
"2006/06/21",15.95
"2006/06/22",16.181
"2006/06/23",16.421
"2006/06/26",16.681
"2006/06/27",16.031
"2006/06/28",15.961
"2006/06/29",15.12
"2006/06/30",15.061
"2006/07/03",15.4
"2006/07/05",15
"2006/07/06",15.311
"2006/07/07",14.86
"2006/07/10",14.53
"2006/07/11",15.07
"2006/07/12",14.811
"2006/07/13",14.32
"2006/07/14",14.4
"2006/07/17",14.211
"2006/07/18",14.551
"2006/07/19",14.971
"2006/07/20",14.53
"2006/07/21",14.15
"2006/07/24",14.351
"2006/07/25",15.04
"2006/07/26",15.33
