x,y
"2011/01/03",17.174
"2011/01/04",17.138
"2011/01/05",17.283
"2011/01/06",17.516
"2011/01/07",17.436
"2011/01/10",18.061
"2011/01/11",18.323
"2011/01/12",18.439
"2011/01/13",18.693
"2011/01/14",18.89
"2011/01/18",19.122
"2011/01/19",18.846
"2011/01/20",18.606
"2011/01/21",18.991
"2011/01/24",19.609
"2011/01/25",19.202
"2011/01/26",19.26
"2011/01/27",19.253
"2011/01/28",18.781
"2011/01/31",18.766
"2011/02/01",19.02
"2011/02/02",19.064
"2011/02/03",18.904
"2011/02/04",18.999
"2011/02/07",19.006
"2011/02/08",18.853
"2011/02/09",18.875
"2011/02/10",19.071
"2011/02/11",19.362
"2011/02/14",20.35
"2011/02/15",20.35
"2011/02/16",20.161
"2011/02/17",20.147
"2011/02/18",20.579
"2011/02/22",19.898
"2011/02/23",19.451
"2011/02/24",19.576
"2011/02/25",20.235
"2011/02/28",20.198
"2011/03/01",19.605
"2011/03/02",19.766
"2011/03/03",20.315
"2011/03/04",20.147
"2011/03/07",19.583
"2011/03/08",19.619
"2011/03/09",18.865
"2011/03/10",18.631
"2011/03/11",18.719
"2011/03/14",18.667
"2011/03/15",18.126
"2011/03/16",17.327
"2011/03/17",17.562
"2011/03/18",17.715
"2011/03/21",18.206
"2011/03/22",18.096
"2011/03/23",18.126
"2011/03/24",18.689
"2011/03/25",18.733
"2011/03/28",18.55
"2011/03/29",18.77
"2011/03/30",18.704
"2011/03/31",18.748
"2011/04/01",18.843
"2011/04/04",18.558
"2011/04/05",18.726
"2011/04/06",18.931
"2011/04/07",18.938
"2011/04/08",18.704
"2011/04/11",18.492
"2011/04/12",18.06
"2011/04/13",18.213
"2011/04/14",18.045
"2011/04/15",18.287
"2011/04/18",17.986
"2011/04/19",18.016
"2011/04/20",18.741
"2011/04/21",19.151
"2011/04/25",19.436
"2011/04/26",19.773
"2011/04/27",19.854
"2011/04/28",19.993
"2011/04/29",20.022
"2011/05/02",19.883
"2011/05/03",19.722
"2011/05/04",19.744
"2011/05/05",20.11
"2011/05/06",20.418
