x,y
"2018/01/02",131.73
"2018/01/03",132.911
"2018/01/04",133.851
"2018/01/05",135.01
"2018/01/08",135.301
"2018/01/09",135.45
"2018/01/10",136.23
"2018/01/11",137.581
"2018/01/12",138.191
"2018/01/16",139.79
"2018/01/17",140.79
"2018/01/18",141.131
"2018/01/19",142.271
"2018/01/22",143.9
"2018/01/23",144.43
"2018/01/24",145.441
"2018/01/25",145.54
"2018/01/26",149.741
"2018/01/29",147.09
"2018/01/30",146.59
"2018/01/31",148.87
"2018/02/01",152.81
"2018/02/02",149.76
"2018/02/05",147.39
"2018/02/06",149.021
"2018/02/07",153.17
"2018/02/08",140.101
"2018/02/09",145.161
"2018/02/12",147.241
"2018/02/13",147.551
"2018/02/14",147.741
"2018/02/15",152.54
"2018/02/16",154.03
"2018/02/20",156.76
"2018/02/21",157.581
"2018/02/22",156.051
"2018/02/23",160.4
"2018/02/26",160.571
"2018/02/27",163.34
"2018/02/28",161.01
"2018/03/01",159.571
"2018/03/02",166.67
"2018/03/05",168.301
"2018/03/06",171.071
"2018/03/07",173.06
"2018/03/08",172.991
"2018/03/09",172.76
"2018/03/12",174.43
"2018/03/13",173.961
"2018/03/14",175.34
"2018/03/15",173.831
"2018/03/16",169.98
"2018/03/19",169.81
"2018/03/20",172.111
"2018/03/21",173.191
"2018/03/22",168.76
"2018/03/23",164.771
"2018/03/26",171.45
"2018/03/27",162.821
"2018/03/28",159.68
"2018/03/29",165.45
"2018/04/02",161.62
"2018/04/03",161.771
"2018/04/04",164.691
"2018/04/05",165.771
"2018/04/06",162.941
"2018/04/09",162.89
"2018/04/10",166.581
"2018/04/11",166.5
"2018/04/12",168.571
"2018/04/13",166.9
"2018/04/16",169.45
"2018/04/17",174.54
"2018/04/18",174.301
"2018/04/19",172.991
"2018/04/20",168.9
"2018/04/23",167.51
"2018/04/24",160.661
"2018/04/25",158
"2018/04/26",165.161
"2018/04/27",163.18
"2018/04/30",166.14
"2018/05/01",165.42
"2018/05/02",165.5
"2018/05/03",168.73
"2018/05/04",171.221
"2018/05/07",176.021
"2018/05/08",176.03
"2018/05/09",180.04
"2018/05/10",178.98
"2018/05/11",178.87
"2018/05/14",173.73
"2018/05/15",173.42
"2018/05/16",171.15
"2018/05/17",171.711
"2018/05/18",173.941
"2018/05/21",171.45
"2018/05/22",170.26
"2018/05/23",173.961
"2018/05/24",175.521
"2018/05/25",176.721
"2018/05/29",176.301
"2018/05/30",178.471
"2018/05/31",177.611
"2018/06/01",181.51
"2018/06/04",183.5
"2018/06/05",186.09
"2018/06/06",186.42
"2018/06/07",177.45
"2018/06/08",178.191
"2018/06/11",180.081
"2018/06/12",181.84
"2018/06/13",181.23
"2018/06/14",185.34
"2018/06/15",186.351
"2018/06/18",186.411
"2018/06/19",183.611
"2018/06/20",184.76
"2018/06/21",180.271
"2018/06/22",176.7
"2018/06/25",171.39
"2018/06/26",170.851
"2018/06/27",167.971
"2018/06/28",172.411
"2018/06/29",172.471
"2018/07/02",177.601
"2018/07/03",177.191
"2018/07/05",179.43
"2018/07/06",182.161
"2018/07/09",184.851
"2018/07/10",185.601
"2018/07/11",187.18
"2018/07/12",194.661
"2018/07/13",191.06
"2018/07/16",189.081
"2018/07/17",191.2
"2018/07/18",192.01
"2018/07/19",190.04
"2018/07/20",191.081
"2018/07/23",190.5
"2018/07/24",184.911
"2018/07/25",183.861
"2018/07/26",192.321
"2018/07/27",183.95
"2018/07/30",178.81
"2018/07/31",175.961
"2018/08/01",177.941
"2018/08/02",182.84
"2018/08/03",180.881
"2018/08/06",184.661
"2018/08/07",185.741
"2018/08/08",186.131
"2018/08/09",188.34
"2018/08/10",187.471
"2018/08/13",185.021
"2018/08/14",184.491
"2018/08/15",182.73
"2018/08/16",182.03
"2018/08/17",180.831
"2018/08/20",181.361
"2018/08/21",182.101
"2018/08/22",182.411
"2018/08/23",184.851
"2018/08/24",193.56
"2018/08/27",193.25
"2018/08/28",194.26
"2018/08/29",200.23
"2018/08/30",198.45
"2018/08/31",196.361
"2018/09/04",200.26
"2018/09/05",190.76
"2018/09/06",193.18
"2018/09/07",196.98
"2018/09/10",199.01
"2018/09/11",199.5
"2018/09/12",202.771
"2018/09/13",204.581
"2018/09/14",202.971
"2018/09/17",192.821
"2018/09/18",191.881
"2018/09/19",186
"2018/09/20",187.351
"2018/09/21",189.691
"2018/09/24",193.12
"2018/09/25",197.611
"2018/09/26",195.711
"2018/09/27",195.081
"2018/09/28",195.631
"2018/10/01",194.611
"2018/10/02",192.9
"2018/10/03",196.2
"2018/10/04",187.441
"2018/10/05",186.601
"2018/10/08",180.26
"2018/10/09",181.411
"2018/10/10",172.14
"2018/10/11",174.971
"2018/10/12",184.45
"2018/10/15",180.911
"2018/10/16",192.721
"2018/10/17",190.26
"2018/10/18",185.18
"2018/10/19",177.15
