x,y
"2017/01/03",100.801
"2017/01/04",103.153
"2017/01/05",100.534
"2017/01/06",101.878
"2017/01/09",106.009
"2017/01/10",105.208
"2017/01/11",103.914
"2017/01/12",102.214
"2017/01/13",102.204
"2017/01/17",99.912
"2017/01/18",101.73
"2017/01/19",103.914
"2017/01/20",102.777
"2017/01/23",103.845
"2017/01/24",106.058
"2017/01/25",106.513
"2017/01/26",108.351
"2017/01/27",110.445
"2017/01/30",108.716
"2017/01/31",107.886
"2017/02/01",112.6
"2017/02/02",114.023
"2017/02/03",113.024
"2017/02/06",115.92
"2017/02/07",117.718
"2017/02/08",117.204
"2017/02/09",115.001
"2017/02/10",112.274
"2017/02/13",107.096
"2017/02/14",107.491
"2017/02/15",107.708
"2017/02/16",105.979
"2017/02/17",105.959
"2017/02/21",109.754
"2017/02/22",109.586
"2017/02/23",99.424
"2017/02/24",100.384
"2017/02/27",103.303
"2017/02/28",100.404
"2017/03/01",101.7
"2017/03/02",97.95
"2017/03/03",97.386
"2017/03/06",96.634
"2017/03/07",97.693
"2017/03/08",97.515
"2017/03/09",97.495
"2017/03/10",98.069
"2017/03/13",100.77
"2017/03/14",100.701
"2017/03/15",101.463
"2017/03/16",102.709
"2017/03/17",104.945
"2017/03/20",108.289
"2017/03/21",104.787
"2017/03/22",106.924
"2017/03/23",105.954
"2017/03/24",106.33
"2017/03/27",107.102
"2017/03/28",106.548
"2017/03/29",106.202
"2017/03/30",108.24
"2017/03/31",107.775
"2017/04/03",107.231
"2017/04/04",99.711
"2017/04/05",98.969
"2017/04/06",99.692
"2017/04/07",99.266
"2017/04/10",96.733
"2017/04/11",97.08
"2017/04/12",96.278
"2017/04/13",94.478
"2017/04/17",98.178
"2017/04/18",98.237
"2017/04/19",98.623
"2017/04/20",100.186
"2017/04/21",100.602
"2017/04/24",101.858
"2017/04/25",103.629
"2017/04/26",102.917
"2017/04/27",104.52
"2017/04/28",103.194
"2017/05/01",105.509
"2017/05/02",102.383
"2017/05/03",103.145
"2017/05/04",102.749
"2017/05/05",102.759
"2017/05/08",101.68
"2017/05/09",101.849
"2017/05/10",120.004
"2017/05/11",125.159
"2017/05/12",126.534
"2017/05/15",132.886
"2017/05/16",135.359
"2017/05/17",126.366
"2017/05/18",131.659
"2017/05/19",134.699
"2017/05/22",137.572
"2017/05/23",135.72
"2017/05/24",137.245
"2017/05/25",136.938
"2017/05/26",140.484
"2017/05/30",143.485
"2017/05/31",142.97
"2017/06/01",142.98
"2017/06/02",142.266
"2017/06/05",146.595
"2017/06/06",145.931
"2017/06/07",147.694
"2017/06/08",158.411
"2017/06/09",148.169
"2017/06/12",148.536
"2017/06/13",149.952
"2017/06/14",150.269
"2017/06/15",150.913
"2017/06/16",150.17
"2017/06/19",155.816
"2017/06/20",155.588
"2017/06/21",157.945
"2017/06/22",156.856
"2017/06/23",152.359
"2017/06/26",150.695
"2017/06/27",145.178
"2017/06/28",150.299
"2017/06/29",145.277
"2017/06/30",143.178
"2017/07/03",137.998
"2017/07/05",141.682
"2017/07/06",142.108
"2017/07/07",145.357
"2017/07/10",152.23
"2017/07/11",154.389
"2017/07/12",160.956
"2017/07/13",159.094
"2017/07/14",163.373
"2017/07/17",162.679
"2017/07/18",164.373
"2017/07/19",163.521
"2017/07/20",165.898
"2017/07/21",166.492
"2017/07/24",164.561
"2017/07/25",163.769
"2017/07/26",165.66
"2017/07/27",160.193
"2017/07/28",162.818
"2017/07/31",160.956
"2017/08/01",162.917
"2017/08/02",162.818
"2017/08/03",164.888
"2017/08/04",165.611
"2017/08/07",170.702
"2017/08/08",168.671
"2017/08/09",170.464
"2017/08/10",163.165
"2017/08/11",154.469
"2017/08/14",166.79
"2017/08/15",165.383
"2017/08/16",163.571
"2017/08/17",159.926
"2017/08/18",159.956
"2017/08/21",157.628
"2017/08/22",161.137
"2017/08/23",164.359
"2017/08/24",163.754
"2017/08/25",162.386
"2017/08/28",163.536
"2017/08/29",163.269
"2017/08/30",164.24
"2017/08/31",167.967
"2017/09/01",168.979
"2017/09/05",164.468
"2017/09/06",164.369
