x,y
"2012/01/03",15.562
"2012/01/04",15.718
"2012/01/05",16.039
"2012/01/06",16.428
"2012/01/09",17.186
"2012/01/10",16.952
"2012/01/11",17.089
"2012/01/12",17.108
"2012/01/13",16.68
"2012/01/17",16.709
"2012/01/18",18.449
"2012/01/19",18.702
"2012/01/20",19.985
"2012/01/23",19.975
"2012/01/24",21.142
"2012/01/25",20.452
"2012/01/26",20.704
"2012/01/27",21.161
"2012/01/30",20.286
"2012/01/31",20.636
"2012/02/01",21.453
"2012/02/02",21.443
"2012/02/03",22.114
"2012/02/06",21.132
"2012/02/07",21.171
"2012/02/08",21.268
"2012/02/09",21.375
"2012/02/10",21.025
"2012/02/13",21.988
"2012/02/14",22.989
"2012/02/15",24.252
"2012/02/16",25.108
"2012/02/17",24.661
"2012/02/21",23.572
"2012/02/22",22.989
"2012/02/23",23.863
"2012/02/24",24.281
"2012/02/27",24.194
"2012/02/28",24.388
"2012/02/29",24.106
"2012/03/01",23.611
"2012/03/02",22.93
"2012/03/05",22.405
"2012/03/06",21.919
"2012/03/07",22.814
"2012/03/08",24.272
"2012/03/09",24.923
"2012/03/12",23.893
"2012/03/13",24.175
"2012/03/14",24.942
"2012/03/15",24.904
"2012/03/16",25.535
"2012/03/19",25.594
"2012/03/20",25.137
"2012/03/21",25.322
"2012/03/22",25.535
"2012/03/23",26.216
"2012/03/26",26.119
"2012/03/27",26.157
"2012/03/28",26.138
"2012/03/29",25.866
"2012/03/30",25.866
"2012/04/02",25.39
"2012/04/03",24.69
"2012/04/04",24.787
"2012/04/05",25.04
"2012/04/09",24.456
"2012/04/10",23.047
"2012/04/11",23.193
"2012/04/12",24.106
"2012/04/13",23.475
"2012/04/16",24.048
"2012/04/17",24.262
"2012/04/18",24.32
"2012/04/19",23.416
"2012/04/20",22.542
"2012/04/23",22.775
"2012/04/24",23.232
"2012/04/25",23.397
"2012/04/26",24.32
"2012/04/27",25.584
"2012/04/30",25.127
"2012/05/01",25.04
"2012/05/02",25.273
"2012/05/03",24.631
"2012/05/04",23.689
"2012/05/07",23.271
"2012/05/08",23.426
"2012/05/09",22.872
"2012/05/10",22.872
"2012/05/11",23.416
"2012/05/14",22.746
"2012/05/15",22.308
"2012/05/16",20.909
"2012/05/17",19.888
"2012/05/18",19.101
"2012/05/21",20.491
"2012/05/22",20.539
"2012/05/23",21.2
"2012/05/24",20.656
"2012/05/25",21.229
"2012/05/29",21.628
"2012/05/30",20.928
"2012/05/31",20.52
"2012/06/01",18.867
"2012/06/04",18.284
"2012/06/05",18.848
"2012/06/06",19.616
"2012/06/07",19.324
"2012/06/08",19.684
"2012/06/11",19.227
"2012/06/12",19.674
"2012/06/13",19.392
"2012/06/14",19.616
"2012/06/15",19.83
"2012/06/18",20.043
"2012/06/19",20.491
"2012/06/20",20.967
"2012/06/21",19.635
"2012/06/22",20.724
"2012/06/25",20.121
"2012/06/26",20.423
"2012/06/27",20.734
"2012/06/28",20.879
"2012/06/29",22.58
"2012/07/02",22.464
"2012/07/03",22.911
"2012/07/05",22.493
"2012/07/06",21.715
"2012/07/09",21.511
"2012/07/10",20.568
"2012/07/11",20.393
"2012/07/12",19.655
"2012/07/13",19.81
"2012/07/16",19.8
"2012/07/17",19.47
"2012/07/18",21.249
"2012/07/19",22.299
"2012/07/20",21.783
"2012/07/23",21.365
"2012/07/24",21.988
"2012/07/25",21.842
"2012/07/26",22.415
"2012/07/27",23.154
"2012/07/30",22.474
"2012/07/31",21.958
"2012/08/01",21.443
"2012/08/02",20.947
"2012/08/03",21.676
"2012/08/06",22.211
"2012/08/07",23.582
"2012/08/08",23.144
"2012/08/09",23.066
"2012/08/10",23.582
"2012/08/13",23.319
"2012/08/14",23.854
"2012/08/15",24.311
"2012/08/16",25.02
"2012/08/17",25.312
"2012/08/20",24.262
"2012/08/21",23.62
"2012/08/22",23.066
"2012/08/23",23.057
"2012/08/24",23.076
"2012/08/27",23.825
"2012/08/28",23.154
"2012/08/29",22.853
"2012/08/30",22.182
"2012/08/31",22.668
"2012/09/04",22.318
"2012/09/05",22.58
"2012/09/06",23.786
"2012/09/07",24.126
"2012/09/10",22.891
"2012/09/11",23.98
"2012/09/12",24.311
"2012/09/13",25.691
"2012/09/14",25.924
"2012/09/17",25.73
"2012/09/18",25.885
"2012/09/19",25.584
"2012/09/20",25.117
"2012/09/21",24.991
"2012/09/24",24.709
"2012/09/25",23.523
"2012/09/26",23.096
"2012/09/27",24.661
