x,y
"2018/01/02",26.46
"2018/01/03",26.49
"2018/01/04",26.57
"2018/01/05",26.541
"2018/01/08",26.39
"2018/01/09",26.421
"2018/01/10",26.511
"2018/01/11",26.57
"2018/01/12",27
"2018/01/16",26.351
"2018/01/17",26.781
"2018/01/18",27
"2018/01/19",29.181
"2018/01/22",29.8
"2018/01/23",30.38
"2018/01/24",30.791
"2018/01/25",30.521
"2018/01/26",30.98
"2018/01/29",30.41
"2018/01/30",29.8
"2018/01/31",29.451
"2018/02/01",29.861
"2018/02/02",29.3
"2018/02/05",28.531
"2018/02/06",28.841
"2018/02/07",29.4
"2018/02/08",28.56
"2018/02/09",28.871
"2018/02/12",30.63
"2018/02/13",31.57
"2018/02/14",33.92
"2018/02/15",33.361
"2018/02/16",34.75
"2018/02/20",35.841
"2018/02/21",35.331
"2018/02/22",35.82
"2018/02/23",36.491
"2018/02/26",37.701
"2018/02/27",37.741
"2018/02/28",38.591
"2018/03/01",36.401
"2018/03/02",37.48
"2018/03/05",38.841
"2018/03/06",38.221
"2018/03/07",39.14
"2018/03/08",42.6
"2018/03/09",39.71
"2018/03/12",39.69
"2018/03/13",40.5
"2018/03/14",39.701
"2018/03/15",38.741
"2018/03/16",38.57
"2018/03/19",37.991
"2018/03/20",38.991
"2018/03/21",39.51
"2018/03/22",39.21
"2018/03/23",38.381
"2018/03/26",39.8
"2018/03/27",38.46
"2018/03/28",38.271
"2018/03/29",39.85
"2018/04/02",39.021
"2018/04/03",38.991
"2018/04/04",39.561
"2018/04/05",38.98
"2018/04/06",38.64
"2018/04/09",38.66
"2018/04/10",39.221
"2018/04/11",40.35
"2018/04/12",40.75
"2018/04/13",40.591
"2018/04/16",40.6
"2018/04/17",41.561
"2018/04/18",41.541
"2018/04/19",41.081
"2018/04/20",41.971
"2018/04/23",43.32
"2018/04/24",41.96
"2018/04/25",42
"2018/04/26",42.78
"2018/04/27",41.741
"2018/04/30",42.811
"2018/05/01",43.44
"2018/05/02",44.581
"2018/05/03",45.541
"2018/05/04",45.76
"2018/05/07",47.05
"2018/05/08",47.75
"2018/05/09",49.28
"2018/05/10",50.401
"2018/05/11",50.5
"2018/05/14",48.151
"2018/05/15",48.521
"2018/05/16",48.991
"2018/05/17",49.23
"2018/05/18",49.721
"2018/05/21",50.541
"2018/05/22",48.51
"2018/05/23",49.521
"2018/05/24",50.681
"2018/05/25",51.881
"2018/05/29",53.66
"2018/05/30",55.361
"2018/05/31",56.21
"2018/06/01",57.35
"2018/06/04",57.361
"2018/06/05",54.581
"2018/06/06",54.14
"2018/06/07",50.881
"2018/06/08",51.28
"2018/06/11",51.611
"2018/06/12",52.94
"2018/06/13",52.591
"2018/06/14",52.811
"2018/06/15",54.48
"2018/06/18",55
"2018/06/19",52.931
"2018/06/20",53.69
"2018/06/21",53.221
"2018/06/22",51.89
"2018/06/25",49.021
"2018/06/26",49.57
"2018/06/27",48.311
"2018/06/28",50.381
"2018/06/29",50.37
"2018/07/02",51.42
"2018/07/03",50.82
"2018/07/05",51.591
"2018/07/06",52.57
"2018/07/09",51.861
"2018/07/10",50.931
"2018/07/11",51.16
"2018/07/12",54.66
"2018/07/13",54.151
"2018/07/16",54.07
"2018/07/17",55.831
"2018/07/18",56.35
"2018/07/19",55.98
"2018/07/20",56.331
"2018/07/23",57.151
"2018/07/24",55.12
"2018/07/25",57.381
"2018/07/26",57.791
"2018/07/27",55.111
"2018/07/30",49.811
"2018/07/31",49.651
"2018/08/01",52.01
"2018/08/02",54.591
"2018/08/03",52.931
"2018/08/06",55.381
"2018/08/07",54.87
"2018/08/08",54.91
"2018/08/09",56.71
"2018/08/10",56.111
"2018/08/13",54.92
"2018/08/14",55.561
"2018/08/15",54.451
"2018/08/16",54.861
"2018/08/17",55.23
"2018/08/20",56.03
"2018/08/21",56.081
"2018/08/22",57.26
"2018/08/23",58.51
"2018/08/24",59.951
"2018/08/27",59.51
"2018/08/28",60.471
"2018/08/29",61.94
"2018/08/30",61.69
"2018/08/31",61.831
"2018/09/04",63.12
"2018/09/05",59.881
"2018/09/06",60.201
"2018/09/07",71.92
"2018/09/10",72.081
"2018/09/11",72.901
"2018/09/12",74.17
"2018/09/13",72.49
"2018/09/14",72.13
"2018/09/17",69.511
"2018/09/18",69.871
"2018/09/19",69.84
"2018/09/20",71
"2018/09/21",68.5
"2018/09/24",68.52
"2018/09/25",69.42
"2018/09/26",69.59
"2018/09/27",70.411
"2018/09/28",70.361
"2018/10/01",71.82
"2018/10/02",68.1
"2018/10/03",68.27
"2018/10/04",65.081
"2018/10/05",65.111
"2018/10/08",61.311
"2018/10/09",59.69
"2018/10/10",55.42
"2018/10/11",54.64
"2018/10/12",57.591
"2018/10/15",58.221
"2018/10/16",61.91
"2018/10/17",62.26
"2018/10/18",59.39
"2018/10/19",55.76
"2018/10/22",57.42
"2018/10/23",57.271
"2018/10/24",52.78
"2018/10/25",54.94
"2018/10/26",51.94
"2018/10/29",52.48
"2018/10/30",53.53
"2018/10/31",58.361
"2018/11/01",59.931
"2018/11/02",57.771
"2018/11/05",56.53
"2018/11/06",56.1
"2018/11/07",62.6
"2018/11/08",61.491
"2018/11/09",59.28
"2018/11/12",54.62
"2018/11/13",55
"2018/11/14",54.861
"2018/11/15",58.021
"2018/11/16",57.71
"2018/11/19",48.67
"2018/11/20",47.82
"2018/11/21",51.69
