x,y
"2012/01/03",22.732
"2012/01/04",22.864
"2012/01/05",23.374
"2012/01/06",23.673
"2012/01/09",23.814
"2012/01/10",23.761
"2012/01/11",23.69
"2012/01/12",23.937
"2012/01/13",24.087
"2012/01/17",24.369
"2012/01/18",24.968
"2012/01/19",25.162
"2012/01/20",25.294
"2012/01/23",25.012
"2012/01/24",25.118
"2012/01/25",25.118
"2012/01/26",24.924
"2012/01/27",25.038
"2012/01/30",25.197
"2012/01/31",24.853
"2012/02/01",25.444
"2012/02/02",25.382
"2012/02/03",25.646
"2012/02/06",25.549
"2012/02/07",25.505
"2012/02/08",25.311
"2012/02/09",25.452
"2012/02/10",25.109
"2012/02/13",25.047
"2012/02/14",24.88
"2012/02/15",24.651
"2012/02/16",25.505
"2012/02/17",25.364
"2012/02/21",25.32
"2012/02/22",25.153
"2012/02/23",25.382
"2012/02/24",25.77
"2012/02/27",25.778
"2012/02/28",25.893
"2012/02/29",25.77
"2012/03/01",26.28
"2012/03/02",26.395
"2012/03/05",26.642
"2012/03/06",26.377
"2012/03/07",26.624
"2012/03/08",26.492
"2012/03/09",26.545
"2012/03/12",26.175
"2012/03/13",26.545
"2012/03/14",26.289
"2012/03/15",26.483
"2012/03/16",26.201
"2012/03/19",26.219
"2012/03/20",26.518
"2012/03/21",25.91
"2012/03/22",25.223
"2012/03/23",25.153
"2012/03/26",25.69
"2012/03/27",25.858
"2012/03/28",25.866
"2012/03/29",25.814
"2012/03/30",25.69
"2012/04/02",26.016
"2012/04/03",25.893
"2012/04/04",25.69
"2012/04/05",26.043
"2012/04/09",25.61
"2012/04/10",25.027
"2012/04/11",24.842
"2012/04/12",25.336
"2012/04/13",25.213
"2012/04/16",25.283
"2012/04/17",25.848
"2012/04/18",25.716
"2012/04/19",25.61
"2012/04/20",25.495
"2012/04/23",25.142
"2012/04/24",25.328
"2012/04/25",25.486
"2012/04/26",25.619
"2012/04/27",25.813
"2012/04/30",25.954
"2012/05/01",26.104
"2012/05/02",26.228
"2012/05/03",25.937
"2012/05/04",25.08
"2012/05/07",24.648
"2012/05/08",24.657
"2012/05/09",24.524
"2012/05/10",23.853
"2012/05/11",23.836
"2012/05/14",23.8
"2012/05/15",23.889
"2012/05/16",23.588
"2012/05/17",23.174
"2012/05/18",22.609
"2012/05/21",23.182
"2012/05/22",23.271
"2012/05/23",23.553
"2012/05/24",23.059
"2012/05/25",23.076
"2012/05/29",23.359
"2012/05/30",23.103
"2012/05/31",23.368
"2012/06/01",22.953
"2012/06/04",23.129
"2012/06/05",23.58
"2012/06/06",24.304
"2012/06/07",23.995
