x,y
"2012/07/20",53.131
"2012/07/23",51.51
"2012/07/24",55.5
"2012/07/25",58.951
"2012/07/26",59.881
"2012/07/27",57
"2012/07/30",55
"2012/07/31",57.14
"2012/08/01",56.181
"2012/08/02",55.1
"2012/08/03",54.791
"2012/08/06",54.78
"2012/08/07",56.8
"2012/08/08",60.931
"2012/08/09",61.331
"2012/08/10",61.32
"2012/08/13",62.721
"2012/08/14",59.8
"2012/08/15",62.73
"2012/08/16",66.5
"2012/08/17",67.291
"2012/08/20",65.471
"2012/08/21",64.32
"2012/08/22",63.25
"2012/08/23",64.14
"2012/08/24",64.77
"2012/08/27",63.69
"2012/08/28",63.901
"2012/08/29",64.731
"2012/08/30",63.431
"2012/08/31",64.38
"2012/09/04",70.21
"2012/09/05",70
"2012/09/06",71.411
"2012/09/07",70.74
"2012/09/10",71.75
"2012/09/11",66.6
"2012/09/12",64.861
"2012/09/13",67.981
"2012/09/14",66.99
"2012/09/17",67.911
"2012/09/18",69.181
"2012/09/19",68
"2012/09/20",65.051
"2012/09/21",64.02
"2012/09/24",64.661
"2012/09/25",64.17
"2012/09/26",63.25
"2012/09/27",65.07
"2012/09/28",61.57
"2012/10/01",60.6
"2012/10/02",62
"2012/10/03",65.861
"2012/10/04",65.761
"2012/10/05",62
"2012/10/08",62.07
"2012/10/09",61.96
"2012/10/10",61.44
"2012/10/11",60.96
"2012/10/12",62.96
"2012/10/15",65.551
"2012/10/16",65.57
"2012/10/17",65.5
"2012/10/18",61.901
"2012/10/19",60.021
"2012/10/22",60
"2012/10/23",59.75
"2012/10/24",59.75
"2012/10/25",58.05
"2012/10/26",56.3
"2012/10/31",54.98
"2012/11/01",56.19
"2012/11/02",54.6
"2012/11/05",55.8
"2012/11/06",55.42
"2012/11/07",53.901
"2012/11/08",51.96
"2012/11/09",52
"2012/11/12",52.3
"2012/11/13",53.19
"2012/11/14",52.39
"2012/11/15",51.401
"2012/11/16",53.25
"2012/11/19",56.01
"2012/11/20",54.42
"2012/11/21",55.451
"2012/11/23",55.41
"2012/11/26",55.881
"2012/11/27",56.041
"2012/11/28",54.581
"2012/11/29",55.87
"2012/11/30",54.42
"2012/12/03",51.66
"2012/12/04",53.651
"2012/12/05",52.1
"2012/12/06",51.3
"2012/12/07",51.311
"2012/12/10",48.82
"2012/12/11",48.89
"2012/12/12",49.25
"2012/12/13",48.96
"2012/12/14",49.791
"2012/12/17",50.01
"2012/12/18",51.96
"2012/12/19",52.091
"2012/12/20",51.78
"2012/12/21",54.66
"2012/12/24",54.78
"2012/12/26",53.291
"2012/12/27",52.87
"2012/12/28",52.631
"2012/12/31",53.521
