x,y
"2016/01/04",35.971
"2016/01/05",34.87
"2016/01/06",34.991
"2016/01/07",35.541
"2016/01/08",33.26
"2016/01/11",32.96
"2016/01/12",33.23
"2016/01/13",30.9
"2016/01/14",31.81
"2016/01/15",32.021
"2016/01/19",31.041
"2016/01/20",30.82
"2016/01/21",31.421
"2016/01/22",32.3
"2016/01/25",31.24
"2016/01/26",30.5
"2016/01/27",28.781
"2016/01/28",29.22
"2016/01/29",30.15
"2016/02/01",31.341
"2016/02/02",30.9
"2016/02/03",30.271
"2016/02/04",30.97
"2016/02/05",26.511
"2016/02/08",24.24
"2016/02/09",22.5
"2016/02/10",23.58
"2016/02/11",24.361
"2016/02/12",24.33
"2016/02/16",26.041
"2016/02/17",27.261
"2016/02/18",27.81
"2016/02/19",27.951
"2016/02/22",29.271
"2016/02/23",29.31
"2016/02/24",30.21
"2016/02/25",30.261
"2016/02/26",31.841
"2016/02/29",31.88
"2016/03/01",33.14
"2016/03/02",33.26
"2016/03/03",32.631
"2016/03/04",32.71
"2016/03/07",33.061
"2016/03/08",31.88
"2016/03/09",32.311
"2016/03/10",31.58
"2016/03/11",32.05
"2016/03/14",32.741
"2016/03/15",31.63
"2016/03/16",32.381
"2016/03/17",33.471
"2016/03/18",33.901
"2016/03/21",34.05
"2016/03/22",33.94
"2016/03/23",33.591
"2016/03/24",33.701
"2016/03/28",34.081
"2016/03/29",35.021
"2016/03/30",35.241
"2016/03/31",35.6
"2016/04/01",35.431
"2016/04/04",35.8
"2016/04/05",34.431
"2016/04/06",35.521
"2016/04/07",34.151
"2016/04/08",34.3
"2016/04/11",33.14
"2016/04/12",33.561
"2016/04/13",34.82
"2016/04/14",35.05
"2016/04/15",34.701
"2016/04/18",35.53
"2016/04/19",36.66
"2016/04/20",36.861
"2016/04/21",37.471
"2016/04/22",37.41
"2016/04/25",36.591
"2016/04/26",37.111
"2016/04/27",37.951
"2016/04/28",38.26
"2016/04/29",38.21
"2016/05/02",38.951
"2016/05/03",38.28
"2016/05/04",40.05
"2016/05/05",38.69
"2016/05/06",37.46
"2016/05/09",38.541
"2016/05/10",39.651
"2016/05/11",39.57
"2016/05/12",38.841
"2016/05/13",39.28
"2016/05/16",39.96
"2016/05/17",39.401
"2016/05/18",40.741
"2016/05/19",40.111
"2016/05/20",40.881
"2016/05/23",40.791
"2016/05/24",41.651
"2016/05/25",39.811
"2016/05/26",41.25
"2016/05/27",40.841
"2016/05/31",40.44
"2016/06/01",41.07
"2016/06/02",41.1
"2016/06/03",40.951
"2016/06/06",40.8
"2016/06/07",41.32
"2016/06/08",41.611
"2016/06/09",41.41
"2016/06/10",41.07
"2016/06/13",41.181
"2016/06/14",41.401
"2016/06/15",42.111
"2016/06/16",41.98
"2016/06/17",41.861
"2016/06/20",42.431
"2016/06/21",42.6
"2016/06/22",41.75
"2016/06/23",43.16
"2016/06/24",40.87
"2016/06/27",39.32
"2016/06/28",40.39
"2016/06/29",41.651
"2016/06/30",43.21
"2016/07/01",43.581
"2016/07/05",43.401
"2016/07/06",44.041
"2016/07/07",44.85
"2016/07/08",45.48
"2016/07/11",46.05
"2016/07/12",46.491
"2016/07/13",45.651
"2016/07/14",46.25
"2016/07/15",46.201
"2016/07/18",46.71
"2016/07/19",46.291
"2016/07/20",47.39
