x,y
"2014/01/02",58.729
"2014/01/03",58.385
"2014/01/06",58.233
"2014/01/07",58.665
"2014/01/08",59.017
"2014/01/09",59.202
"2014/01/10",59.17
"2014/01/13",58.649
"2014/01/14",58.785
"2014/01/15",59.682
"2014/01/16",59.851
"2014/01/17",59.859
"2014/01/21",60.443
"2014/01/22",60.7
"2014/01/23",60.772
"2014/01/24",59.338
"2014/01/27",58.633
"2014/01/28",57.664
"2014/01/29",56.967
"2014/01/30",58.681
"2014/01/31",59.45
"2014/02/03",58.729
"2014/02/04",58.08
"2014/02/05",57.968
"2014/02/06",58.665
"2014/02/07",59.602
"2014/02/10",59.826
"2014/02/11",60.571
"2014/02/12",61.212
"2014/02/13",61.228
"2014/02/14",61.1
"2014/02/18",60.555
"2014/02/19",60.692
"2014/02/20",60.836
"2014/02/21",60.563
"2014/02/24",60.419
"2014/02/25",60.003
"2014/02/26",60.115
"2014/02/27",60.227
"2014/02/28",60.307
"2014/03/03",59.253
"2014/03/04",61.249
"2014/03/05",61.699
"2014/03/06",61.965
"2014/03/07",61.796
"2014/03/10",62.021
"2014/03/11",61.731
"2014/03/12",61.941
"2014/03/13",60.862
"2014/03/14",60.146
"2014/03/17",61.981
"2014/03/18",62.327
"2014/03/19",61.812
"2014/03/20",62.85
"2014/03/21",62.922
"2014/03/24",62.56
"2014/03/25",63.22
"2014/03/26",63.019
"2014/03/27",63.615
"2014/03/28",63.8
"2014/03/31",63.462
"2014/04/01",64.459
"2014/04/02",64.492
"2014/04/03",64.822
"2014/04/04",63.196
"2014/04/07",62.834
"2014/04/08",63.486
"2014/04/09",64.323
"2014/04/10",62.826
"2014/04/11",62.778
"2014/04/14",63.687
"2014/04/15",63.969
"2014/04/16",64.524
"2014/04/17",65.441
"2014/04/21",65.127
"2014/04/22",64.87
"2014/04/23",64.95
"2014/04/24",62.665
"2014/04/25",62.456
"2014/04/28",62.81
"2014/04/29",63.188
"2014/04/30",63.341
"2014/05/01",63.566
"2014/05/02",63.566
"2014/05/05",64.025
"2014/05/06",63.824
"2014/05/07",63.84
"2014/05/08",63.977
"2014/05/09",63.977
"2014/05/12",64.355
"2014/05/13",64.677
"2014/05/14",64.709
"2014/05/15",64.202
"2014/05/16",63.912
"2014/05/19",64.226
"2014/05/20",64.266
"2014/05/21",64.113
"2014/05/22",64.025
"2014/05/23",64.282
"2014/05/27",64.749
"2014/05/28",64.556
"2014/05/29",64.532
"2014/05/30",64.741
"2014/06/02",65.105
"2014/06/03",65.04
"2014/06/04",64.652
"2014/06/05",64.442
"2014/06/06",65.024
"2014/06/09",64.676
"2014/06/10",64.054
"2014/06/11",64.078
"2014/06/12",64.183
"2014/06/13",63.997
"2014/06/16",63.625
"2014/06/17",64.037
"2014/06/18",64.062
"2014/06/19",64.515
"2014/06/20",64.604
"2014/06/23",64.256
"2014/06/24",63.73
"2014/06/25",63.139
"2014/06/26",63.722
"2014/06/27",63.9
"2014/06/30",64.07
"2014/07/01",64.498
"2014/07/02",64.854
"2014/07/03",65.518
"2014/07/07",65.38
"2014/07/08",65.243
"2014/07/09",65.34
"2014/07/10",65.065
"2014/07/11",64.393
"2014/07/14",64.329
"2014/07/15",64.264
"2014/07/16",64.409
"2014/07/17",63.188
"2014/07/18",64.223
"2014/07/21",64.45
"2014/07/22",65.955
