x,y
"2017/01/03",52.901
"2017/01/04",54.51
"2017/01/05",53.361
"2017/01/06",53.861
"2017/01/09",54.37
"2017/01/10",56.401
"2017/01/11",56.8
"2017/01/12",56.841
"2017/01/13",58.57
"2017/01/17",57.26
"2017/01/18",59.17
"2017/01/19",58.311
"2017/01/20",61.021
"2017/01/23",61.85
"2017/01/24",62.5
"2017/01/25",64.041
"2017/01/26",63.341
"2017/01/27",63.651
"2017/01/30",64.291
"2017/01/31",64.21
"2017/02/01",64.551
"2017/02/02",63.35
"2017/02/03",63.96
"2017/02/06",64.361
"2017/02/07",64.75
"2017/02/08",66.2
"2017/02/09",66.28
"2017/02/10",66.27
"2017/02/13",66.53
"2017/02/14",66.441
"2017/02/15",67.17
"2017/02/16",67.151
"2017/02/17",67.121
"2017/02/21",67.57
"2017/02/22",67.551
"2017/02/23",67.2
"2017/02/24",66.191
"2017/02/27",67.621
"2017/02/28",66.1
"2017/03/01",67.85
"2017/03/02",66.111
"2017/03/03",66.21
"2017/03/06",66.42
"2017/03/07",66.89
"2017/03/08",66.401
"2017/03/09",66.651
"2017/03/10",67.111
"2017/03/13",67.681
"2017/03/14",67.85
"2017/03/15",68.95
"2017/03/16",68.221
"2017/03/17",67.42
"2017/03/20",67.581
"2017/03/21",65.53
"2017/03/22",66.53
"2017/03/23",66.831
"2017/03/24",67.64
"2017/03/27",68.371
"2017/03/28",68.25
"2017/03/29",67.85
"2017/03/30",69.081
"2017/03/31",68.56
"2017/04/03",68.051
"2017/04/04",68.32
"2017/04/05",68.6
"2017/04/06",69.291
"2017/04/07",71.331
"2017/04/10",70.64
"2017/04/11",70.2
"2017/04/12",68.761
"2017/04/13",68.481
"2017/04/17",69.07
"2017/04/18",69.541
"2017/04/19",69.99
"2017/04/20",71.03
"2017/04/21",70.161
"2017/04/24",70.941
"2017/04/25",71.31
"2017/04/26",70.971
"2017/04/27",71.121
"2017/04/28",68.03
"2017/05/01",68.611
"2017/05/02",68.34
"2017/05/03",68.051
"2017/05/04",67.02
"2017/05/05",66.901
"2017/05/08",65.651
"2017/05/09",66.161
"2017/05/10",66.791
"2017/05/11",67.02
"2017/05/12",67.801
