x,y
"2019/01/02",80.981
"2019/01/03",78.42
"2019/01/04",82.17
"2019/01/07",86.611
"2019/01/08",88.371
"2019/01/09",87.401
"2019/01/10",87.181
"2019/01/11",86.911
"2019/01/14",84.95
"2019/01/15",87.06
"2019/01/16",87.1
"2019/01/17",88.14
"2019/01/18",91.25
"2019/01/22",88.78
"2019/01/23",88.78
"2019/01/24",89.27
"2019/01/25",91.5
"2019/01/28",88.67
"2019/01/29",86.67
"2019/01/30",89.31
"2019/01/31",92.441
"2019/02/01",94.42
"2019/02/04",96.06
"2019/02/05",96.481
"2019/02/06",96.39
"2019/02/07",96.96
"2019/02/08",100.901
"2019/02/11",99.871
"2019/02/12",105.911
"2019/02/13",103.111
"2019/02/14",103.84
"2019/02/15",104.67
"2019/02/19",104
"2019/02/20",103.901
"2019/02/21",104.09
"2019/02/22",105.941
"2019/02/25",105.651
"2019/02/26",105.361
"2019/02/27",105.56
"2019/02/28",105.291
"2019/03/01",105.75
"2019/03/04",103.56
"2019/03/05",104.32
"2019/03/06",102.25
"2019/03/07",101.581
"2019/03/08",101.89
"2019/03/11",104.56
"2019/03/12",105.02
"2019/03/13",105.791
"2019/03/14",106.53
"2019/03/15",106.191
"2019/03/18",106.331
"2019/03/19",107.74
"2019/03/20",107.67
"2019/03/21",111.57
"2019/03/22",106.59
"2019/03/25",106.301
"2019/03/26",108.191
"2019/03/27",106.02
"2019/03/28",107.49
"2019/03/29",107.801
"2019/04/01",109.331
"2019/04/02",110.041
"2019/04/03",110.59
"2019/04/04",104.74
"2019/04/05",106.35
"2019/04/08",103.331
"2019/04/09",103.27
"2019/04/10",103.291
"2019/04/11",105.6
"2019/04/12",105.731
"2019/04/15",106.261
"2019/04/16",105.181
"2019/04/17",104.21
"2019/04/18",105.5
"2019/04/22",108.38
"2019/04/23",111.31
"2019/04/24",111.6
"2019/04/25",113.161
"2019/04/26",115.361
"2019/04/29",116.011
"2019/04/30",116.371
"2019/05/01",114.871
"2019/05/02",115.49
"2019/05/03",119.46
"2019/05/06",121.06
"2019/05/07",118.151
"2019/05/08",118.051
"2019/05/09",122.92
"2019/05/10",122.731
"2019/05/13",115.75
"2019/05/14",118.191
"2019/05/15",119.14
"2019/05/16",124.59
"2019/05/17",123.56
"2019/05/20",120.99
"2019/05/21",122.471
"2019/05/22",122.57
"2019/05/23",119.31
"2019/05/24",121.721
"2019/05/28",122.161
"2019/05/29",119.1
"2019/05/30",120.761
"2019/05/31",119.85
"2019/06/03",114.28
"2019/06/04",118.1
"2019/06/05",119.681
"2019/06/06",121.651
"2019/06/07",122.24
"2019/06/10",122.901
"2019/06/11",118.75
"2019/06/12",117.81
"2019/06/13",118.161
"2019/06/14",118.041
"2019/06/17",116.95
"2019/06/18",117.861
"2019/06/19",117.681
"2019/06/20",119.71
"2019/06/21",114.691
"2019/06/24",113.721
"2019/06/25",111.161
"2019/06/26",110.92
"2019/06/27",114.45
"2019/06/28",114.92
"2019/07/01",115.84
"2019/07/02",114.81
"2019/07/03",116.151
"2019/07/05",118.151
"2019/07/08",119.681
"2019/07/09",121.981
"2019/07/10",122.39
"2019/07/11",122.371
"2019/07/12",122.971
"2019/07/15",123.331
"2019/07/16",121.71
"2019/07/17",123.721
"2019/07/18",123.46
"2019/07/19",121.011
"2019/07/22",120.981
"2019/07/23",120.52
"2019/07/24",124.941
"2019/07/25",123
"2019/07/26",127.39
"2019/07/29",126.151
"2019/07/30",140.111
"2019/07/31",141.98
"2019/08/01",140.98
"2019/08/02",140.29
"2019/08/05",131.331
"2019/08/06",132.67
"2019/08/07",135.37
"2019/08/08",139.79
"2019/08/09",139.84
"2019/08/12",138.39
"2019/08/13",140.911
"2019/08/14",138.071
"2019/08/15",139.2
"2019/08/16",138.611
"2019/08/19",138.571
"2019/08/20",137.56
"2019/08/21",139.941
"2019/08/22",142.31
"2019/08/23",141.5
"2019/08/26",143.09
"2019/08/27",142.76
"2019/08/28",141.29
"2019/08/29",142.601
"2019/08/30",141.131
"2019/09/03",140.79
"2019/09/04",141.361
"2019/09/05",140.51
"2019/09/06",135.611
"2019/09/09",131.59
"2019/09/10",124.06
"2019/09/11",124.121
"2019/09/12",127.361
"2019/09/13",127.151
"2019/09/16",126.371
"2019/09/17",130.68
"2019/09/18",130.611
"2019/09/19",133.331
"2019/09/20",133.56
"2019/09/23",133.101
"2019/09/24",127.261
"2019/09/25",128.06
"2019/09/26",126.721
"2019/09/27",123.85
"2019/09/30",125.661
