x,y
"2009/01/02",29.809
"2009/01/05",29.052
"2009/01/06",29.484
"2009/01/07",29.736
"2009/01/08",30.624
"2009/01/09",30.021
"2009/01/12",28.751
"2009/01/13",29.541
"2009/01/14",27.913
"2009/01/15",28.165
"2009/01/16",28.971
"2009/01/20",27.107
"2009/01/21",28.515
"2009/01/22",28.58
"2009/01/23",27.49
"2009/01/26",27.726
"2009/01/27",28.279
"2009/01/28",29.525
"2009/01/29",29.264
"2009/01/30",28.8
"2009/02/02",28.979
"2009/02/03",29.744
"2009/02/04",29.435
"2009/02/05",30.567
"2009/02/06",31.128
"2009/02/09",31.429
"2009/02/10",30.037
"2009/02/11",30.241
"2009/02/12",30.046
"2009/02/13",30.217
"2009/02/17",28.93
"2009/02/18",28.58
"2009/02/19",27.717
"2009/02/20",27.302
"2009/02/23",26.781
"2009/02/24",27.888
"2009/02/25",27.058
"2009/02/26",26.374
"2009/02/27",26.163
"2009/03/02",25.796
"2009/03/03",26.244
"2009/03/04",26.952
"2009/03/05",26.155
"2009/03/06",25.894
"2009/03/09",25.87
"2009/03/10",27.498
"2009/03/11",27.473
"2009/03/12",27.433
"2009/03/13",27.286
"2009/03/16",27.392
"2009/03/17",28.23
"2009/03/18",29.516
"2009/03/19",30.705
"2009/03/20",29.378
"2009/03/23",30.55
"2009/03/24",29.891
"2009/03/25",30.143
"2009/03/26",30.746
"2009/03/27",28.751
"2009/03/30",28.157
"2009/03/31",28.727
"2009/04/01",29.085
"2009/04/02",30.021
"2009/04/03",30.444
"2009/04/06",30.225
"2009/04/07",29.858
"2009/04/08",30.86
"2009/04/09",31.421
"2009/04/13",31.763
"2009/04/14",31.486
"2009/04/15",31.91
"2009/04/16",31.958
"2009/04/17",31.381
"2009/04/20",30.518
"2009/04/21",31.169
"2009/04/22",31.454
"2009/04/23",32.748
"2009/04/24",33.831
"2009/04/27",32.471
"2009/04/28",32.838
"2009/04/29",31.307
"2009/04/30",31.006
"2009/05/01",30.558
"2009/05/04",31.779
"2009/05/05",31.332
"2009/05/06",31.12
"2009/05/07",30.526
"2009/05/08",31.958
"2009/05/11",32.52
"2009/05/12",32.577
"2009/05/13",32.772
"2009/05/14",33.009
"2009/05/15",32.491
"2009/05/18",33.774
"2009/05/19",34.039
"2009/05/20",34.097
"2009/05/21",34.138
"2009/05/22",34.528
"2009/05/26",35.397
"2009/05/27",34.287
"2009/05/28",35.14
"2009/05/29",35.885
"2009/06/01",36.374
"2009/06/02",37.143
"2009/06/03",36.407
"2009/06/04",35.86
"2009/06/05",34.991
"2009/06/08",35.223
