x,y
"2020/01/02",407.81
"2020/01/03",404.291
"2020/01/06",413.33
"2020/01/07",414.5
"2020/01/08",418.101
"2020/01/09",430.201
"2020/01/10",429.171
"2020/01/13",440.25
"2020/01/14",441.221
"2020/01/15",448.511
"2020/01/16",451.3
"2020/01/17",454.881
"2020/01/21",465.441
"2020/01/22",464.761
"2020/01/23",469.25
"2020/01/24",465.481
"2020/01/27",451.11
"2020/01/28",467.661
"2020/01/29",471.671
"2020/01/30",476.881
"2020/01/31",465.661
"2020/02/03",469.391
"2020/02/04",485.46
"2020/02/05",475.56
"2020/02/06",472.981
"2020/02/07",478.691
"2020/02/10",491.691
"2020/02/11",492.75
"2020/02/12",531.25
"2020/02/13",532.97
"2020/02/14",531.22
"2020/02/18",536.41
"2020/02/19",543.211
"2020/02/20",535.581
"2020/02/21",520.66
"2020/02/24",490.96
"2020/02/25",466.46
"2020/02/26",471.18
"2020/02/27",438.37
"2020/02/28",463.31
"2020/03/02",488.4
"2020/03/03",476.941
"2020/03/04",512.23
"2020/03/05",498.221
"2020/03/06",472.071
"2020/03/09",418.321
"2020/03/10",450.34
"2020/03/11",422.31
"2020/03/12",377.78
"2020/03/13",390.9
"2020/03/16",322.291
"2020/03/17",355.09
"2020/03/18",336.83
"2020/03/19",332.5
"2020/03/20",346.06
"2020/03/23",375.391
"2020/03/24",430
"2020/03/25",446.601
"2020/03/26",447.411
"2020/03/27",421.62
"2020/03/30",430.381
"2020/03/31",416.93
"2020/04/01",384.671
"2020/04/02",346.3
"2020/04/03",357.65
"2020/04/06",392.65
"2020/04/07",378.541
"2020/04/08",414.511
"2020/04/09",417.74
"2020/04/13",447.451
"2020/04/14",496.06
"2020/04/15",497.171
"2020/04/16",526.43
"2020/04/17",590.391
"2020/04/20",629.901
"2020/04/21",585
"2020/04/22",626.56
"2020/04/23",620.49
"2020/04/24",643.191
"2020/04/27",628.581
"2020/04/28",633.651
"2020/04/29",639.99
"2020/04/30",632.29
"2020/05/01",613.641
"2020/05/04",658.891
"2020/05/05",686.11
"2020/05/06",733.531
"2020/05/07",722.761
"2020/05/08",708.97
"2020/05/11",750.341
"2020/05/12",742.281
"2020/05/13",754.381
"2020/05/14",754.29
"2020/05/15",767
"2020/05/18",738.021
"2020/05/19",753.011
"2020/05/20",778
"2020/05/21",802.35
"2020/05/22",825.17
"2020/05/26",767.891
"2020/05/27",750
"2020/05/28",744.43
"2020/05/29",757.8
"2020/06/01",758
"2020/06/02",779.5
"2020/06/03",762.021
"2020/06/04",735.191
"2020/06/05",727.771
"2020/06/08",730.67
"2020/06/09",741.701
"2020/06/10",743.641
"2020/06/11",725.12
"2020/06/12",742.581
"2020/06/15",805.47
"2020/06/16",805.761
"2020/06/17",817.36
"2020/06/18",863.56
"2020/06/19",881
"2020/06/22",904.81
"2020/06/23",911.341
"2020/06/24",897
"2020/06/25",916.321
"2020/06/26",910
"2020/06/29",922.42
"2020/06/30",949.201
"2020/07/01",1016.641
"2020/07/02",1029.97
"2020/07/06",986.771
"2020/07/07",1013.99
"2020/07/08",1017.3
"2020/07/09",1040.021
"2020/07/10",1031.86
"2020/07/13",968.75
"2020/07/14",974.41
"2020/07/15",959.451
"2020/07/16",925.49
"2020/07/17",928.131
"2020/07/20",1009.391
"2020/07/21",952.831
"2020/07/22",957.331
"2020/07/23",928.41
"2020/07/24",929.81
"2020/07/27",976.391
"2020/07/28",985
"2020/07/29",1053.59
"2020/07/30",1048.84
"2020/07/31",1024
"2020/08/03",1083.051
"2020/08/04",1080
"2020/08/05",1094.651
"2020/08/06",1088.131
"2020/08/07",1053.12
"2020/08/10",1005.56
"2020/08/11",971.99
"2020/08/12",991
"2020/08/13",999.901
"2020/08/14",987.901
"2020/08/17",1012.961
"2020/08/18",1024.71
"2020/08/19",1009.11
"2020/08/20",1039.62
"2020/08/21",1021.12
"2020/08/24",999.321
"2020/08/25",1037.19
"2020/08/26",1089.33
"2020/08/27",1053.5
"2020/08/28",1042.061
"2020/08/31",1066.421
"2020/09/01",1134.32
"2020/09/02",1074.59
"2020/09/03",1015.701
"2020/09/04",973.021
"2020/09/08",917.401
"2020/09/09",949.31
"2020/09/10",934.17
"2020/09/11",914.5
"2020/09/14",931.831
"2020/09/15",929.391
"2020/09/16",885.18
"2020/09/17",870.761
"2020/09/18",901.341
"2020/09/21",927.891
"2020/09/22",954.25
"2020/09/23",918.81
"2020/09/24",908.61
"2020/09/25",960.92
"2020/09/28",966.5
"2020/09/29",1025.7
"2020/09/30",1022.97
"2020/10/01",1054.431
"2020/10/02",1028.99
"2020/10/05",1065.531
"2020/10/06",1041.25
"2020/10/07",1073.431
"2020/10/08",1069.21
"2020/10/09",1096
"2020/10/12",1090
"2020/10/13",1106.59
"2020/10/14",1082.12
"2020/10/15",1078.301
"2020/10/16",1067.21
"2020/10/19",1069
"2020/10/20",1056.49
"2020/10/21",1022.011
"2020/10/22",1007.071
"2020/10/23",1026.22
"2020/10/26",1038.051
"2020/10/27",1082.891
"2020/10/28",1026.71
"2020/10/29",977
"2020/10/30",925.43
"2020/11/02",914.99
"2020/11/03",941.72
"2020/11/04",996
"2020/11/05",1036.5
"2020/11/06",1045
"2020/11/09",902.6
"2020/11/10",885.761
"2020/11/11",947.18
"2020/11/12",925.8
"2020/11/13",918.3
"2020/11/16",919.22
"2020/11/17",914.021
"2020/11/18",931.43
"2020/11/19",966.771
"2020/11/20",988.511
