x,y
"2011/01/03",33.263
"2011/01/04",33.062
"2011/01/05",33.108
"2011/01/06",32.925
"2011/01/07",32.952
"2011/01/10",33.062
"2011/01/11",33.245
"2011/01/12",33.282
"2011/01/13",32.568
"2011/01/14",32.806
"2011/01/18",32.797
"2011/01/19",32.861
"2011/01/20",32.395
"2011/01/21",31.288
"2011/01/24",31.864
"2011/01/25",32.139
"2011/01/26",31.938
"2011/01/27",32.34
"2011/01/28",31.8
"2011/01/31",31.398
"2011/02/01",31.764
"2011/02/02",31.81
"2011/02/03",33.337
"2011/02/04",32.578
"2011/02/07",31.974
"2011/02/08",32.221
"2011/02/09",32.047
"2011/02/10",31.846
"2011/02/11",31.91
"2011/02/14",32.002
"2011/02/15",31.7
"2011/02/16",32.751
"2011/02/17",33.227
"2011/02/18",33.291
"2011/02/22",33.062
"2011/02/23",32.76
"2011/02/24",32.678
"2011/02/25",33.355
"2011/02/28",33.684
"2011/03/01",33.163
"2011/03/02",33.09
"2011/03/03",33.245
"2011/03/04",32.87
"2011/03/07",32.148
"2011/03/08",32.294
"2011/03/09",31.992
"2011/03/10",31.325
"2011/03/11",30.584
"2011/03/14",28.417
"2011/03/15",28.253
"2011/03/16",27.32
"2011/03/17",28.71
"2011/03/18",28.838
"2011/03/21",29.643
"2011/03/22",29.515
"2011/03/23",29.396
"2011/03/24",29.606
"2011/03/25",29.451
"2011/03/28",29.115
"2011/03/29",29.355
"2011/03/30",29.695
"2011/03/31",29.281
"2011/04/01",29.318
"2011/04/04",28.931
"2011/04/05",28.619
"2011/04/06",28.113
"2011/04/07",27.901
"2011/04/08",28.131
"2011/04/11",27.818
"2011/04/12",27.22
"2011/04/13",27.395
"2011/04/14",27.312
"2011/04/15",27.312
"2011/04/18",26.908
"2011/04/19",27.331
"2011/04/20",27.726
"2011/04/21",28.058
"2011/04/25",27.68
"2011/04/26",27.404
"2011/04/27",26.705
"2011/04/28",26.117
"2011/04/29",26.043
"2011/05/02",26.494
"2011/05/03",26.163
"2011/05/04",26.107
"2011/05/05",25.739
"2011/05/06",25.813
"2011/05/09",26.383
"2011/05/10",26.668
"2011/05/11",26.034
"2011/05/12",25.969
"2011/05/13",25.371
"2011/05/16",25.592
"2011/05/17",25.822
"2011/05/18",25.574
