x,y
"2010/01/04",22.441
"2010/01/05",22.25
"2010/01/06",22.21
"2010/01/07",22.15
"2010/01/08",22.31
"2010/01/11",22.121
"2010/01/12",21.8
"2010/01/13",22.011
"2010/01/14",22.191
"2010/01/15",21.97
"2010/01/19",21.98
"2010/01/20",21.98
"2010/01/21",22.22
"2010/01/22",21.89
"2010/01/25",21.74
"2010/01/26",21.46
"2010/01/27",21.531
"2010/01/28",21.14
"2010/01/29",21.271
"2010/02/01",21.361
"2010/02/02",21.341
"2010/02/03",21.4
"2010/02/04",21.05
"2010/02/05",21.171
"2010/02/08",20.951
"2010/02/09",21.06
"2010/02/10",21.14
"2010/02/11",21.07
"2010/02/12",21.511
"2010/02/16",21.21
"2010/02/17",22.101
"2010/02/18",21.791
"2010/02/19",21.351
"2010/02/22",22.041
"2010/02/23",21.9
"2010/02/24",22.041
"2010/02/25",22.021
"2010/02/26",21.9
"2010/03/01",22.08
"2010/03/02",22.21
"2010/03/03",22.191
"2010/03/04",22.271
"2010/03/05",22.441
"2010/03/08",22.46
"2010/03/09",22.541
"2010/03/10",22.75
"2010/03/11",22.65
"2010/03/12",22.75
"2010/03/15",22.65
"2010/03/16",22.621
"2010/03/17",22.66
"2010/03/18",22.771
"2010/03/19",22.541
"2010/03/22",22.8
"2010/03/23",22.781
"2010/03/24",22.81
"2010/03/25",22.55
"2010/03/26",22.5
"2010/03/29",22.441
"2010/03/30",22.47
"2010/03/31",22.371
"2010/04/01",22.55
"2010/04/05",23.011
"2010/04/06",22.91
"2010/04/07",22.73
"2010/04/08",22.701
"2010/04/09",23.041
"2010/04/12",23.06
"2010/04/13",23.281
"2010/04/14",23.38
"2010/04/15",23.16
"2010/04/16",23.08
"2010/04/19",23.031
"2010/04/20",23.22
"2010/04/21",23.24
"2010/04/22",23.15
"2010/04/23",23.14
"2010/04/26",23.181
"2010/04/27",22.8
"2010/04/28",22.99
"2010/04/29",23.13
"2010/04/30",22.66
"2010/05/03",22.9
"2010/05/04",22.361
"2010/05/05",22.091
"2010/05/06",21.75
"2010/05/07",21.33
"2010/05/10",21.99
"2010/05/11",21.96
"2010/05/12",22.451
"2010/05/13",22.361
"2010/05/14",21.921
"2010/05/17",22.271
"2010/05/18",21.96
"2010/05/19",21.8
"2010/05/20",21.05
"2010/05/21",21.25
"2010/05/24",21.011
"2010/05/25",21.31
"2010/05/26",21.521
"2010/05/27",21.64
"2010/05/28",21.421
"2010/06/01",21.23
"2010/06/02",21.701
"2010/06/03",22.16
"2010/06/04",21.591
"2010/06/07",20.941
"2010/06/08",20.98
"2010/06/09",21.06
"2010/06/10",21.261
"2010/06/11",21.75
"2010/06/14",21.89
"2010/06/15",22.341
"2010/06/16",22.341
"2010/06/17",22.39
"2010/06/18",22.41
"2010/06/21",22.23
"2010/06/22",22.07
"2010/06/23",22.031
"2010/06/24",21.691
"2010/06/25",21.82
"2010/06/28",21.96
"2010/06/29",21.291
"2010/06/30",20.871
"2010/07/01",20.64
"2010/07/02",20.511
"2010/07/06",20.46
"2010/07/07",21.48
"2010/07/08",21.41
"2010/07/09",21.451
"2010/07/12",21.56
"2010/07/13",21.98
"2010/07/14",21.83
"2010/07/15",21.761
"2010/07/16",21.15
"2010/07/19",21.351
"2010/07/20",21.541
"2010/07/21",21.171
"2010/07/22",21.871
"2010/07/23",21.96
"2010/07/26",22.191
"2010/07/27",22.14
"2010/07/28",21.74
"2010/07/29",21.82
"2010/07/30",21.841
"2010/08/02",22.39
"2010/08/03",22.31
"2010/08/04",22.691
"2010/08/05",22.771
"2010/08/06",22.841
"2010/08/09",23.011
"2010/08/10",22.74
"2010/08/11",22
"2010/08/12",21.601
"2010/08/13",21.63
"2010/08/16",21.771
"2010/08/17",22.091
"2010/08/18",22.281
"2010/08/19",23.06
"2010/08/20",23.111
"2010/08/23",23.121
"2010/08/24",22.9
"2010/08/25",22.9
"2010/08/26",22.8
"2010/08/27",23.07
"2010/08/30",22.931
"2010/08/31",22.861
"2010/09/01",23.08
"2010/09/02",23.361
"2010/09/03",23.691
"2010/09/07",23.49
"2010/09/08",23.74
"2010/09/09",23.761
"2010/09/10",23.58
"2010/09/13",24.171
"2010/09/14",24.171
"2010/09/15",24.281
"2010/09/16",24.32
"2010/09/17",24.39
"2010/09/20",24.781
"2010/09/21",24.591
"2010/09/22",24.521
"2010/09/23",24.32
"2010/09/24",24.81
"2010/09/27",24.65
"2010/09/28",24.861
"2010/09/29",24.64
"2010/09/30",24.771
"2010/10/01",24.9
"2010/10/04",24.56
"2010/10/05",25.031
"2010/10/06",24.73
"2010/10/07",24.931
"2010/10/08",24.951
"2010/10/11",24.97
"2010/10/12",25.111
"2010/10/13",25.38
"2010/10/14",25.22
"2010/10/15",25.341
"2010/10/18",25.32
"2010/10/19",24.781
"2010/10/20",24.97
"2010/10/21",25.05
"2010/10/22",25.48
"2010/10/25",25.511
"2010/10/26",25.5
"2010/10/27",25.371
"2010/10/28",25.32
"2010/10/29",25.58
"2010/11/01",25.451
"2010/11/02",25.591
"2010/11/03",25.57
"2010/11/04",25.71
"2010/11/05",25.841
"2010/11/08",25.75
"2010/11/09",25.56
"2010/11/10",25.591
"2010/11/11",25.33
"2010/11/12",25.13
"2010/11/15",25.021
"2010/11/16",24.74
"2010/11/17",24.701
"2010/11/18",25.22
"2010/11/19",25.041
"2010/11/22",25.371
"2010/11/23",25.08
"2010/11/24",25.71
"2010/11/26",25.691
"2010/11/29",25.8
"2010/11/30",25.691
"2010/12/01",26.511
"2010/12/02",25.851
"2010/12/03",26.25
"2010/12/06",26.361
"2010/12/07",26.451
"2010/12/08",26.58
"2010/12/09",26.56
"2010/12/10",26.75
"2010/12/13",26.72
"2010/12/14",26.861
"2010/12/15",26.791
"2010/12/16",26.98
"2010/12/17",27.14
"2010/12/20",27.101
"2010/12/21",27.24
"2010/12/22",27.25
"2010/12/23",27.24
"2010/12/27",27.21
"2010/12/28",27.101
"2010/12/29",27.07
"2010/12/30",27.06
"2010/12/31",26.91
